id,name,type,rare,RST,RPoint,attack,defense,ruin,speed,attack_grow,defense_grow,ruin_grow,speed_grow,skill0_type,skill0_id,skill1_type,skill1_id,skill2_type,skill2_id,icon,name_en
63,{德莉法}·{特典},1,5,2,"1,0,0,0",70,47,70,44,1.76,1.18,1.76,1.1,2,82,2,123,2,139,63,Derifa·Sp
64,{忒菲丝}·{特典},1,5,4,"0,0,1,0",42,43,71,74,1.06,1.09,1.78,1.87,2,74,1,33,1,57,64,Thefis·Sp
65,{厄洛丝}·{特典},3,5,3,"0,0.2,0,0.8",48,62,42,79,1.2,1.57,1.05,1.98,2,68,2,141,1,25,65,Eros·Sp
66,{斯莉德}·{特典},3,5,4,"0,0,1,0",49,54,78,50,1.24,1.36,1.95,1.25,1,42,1,35,4,27,66,Slider·Sp
67,{缪西卡},2,5,4,"0,0,1,0",60,40,70,62,1.5,1,1.75,1.55,1,41,1,70,2,128,67,Mousika
68,{罗兰}·{特典},3,5,1,"0,1,0,0",42,79,45,64,1.06,1.98,1.14,1.62,1,36,1,46,1,78,68,Roland·Sp
69,{须佐真希}·{特典},1,5,2,"1,0,0,0",77,58,44,52,1.94,1.45,1.1,1.31,3,18,3,27,2,83,69,SusaMaki·Sp
70,{克图格亚}·{特典},3,5,2,"1,0,0,0",76,50,61,44,1.91,1.25,1.53,1.11,2,73,2,122,3,23,70,Cthugha·Sp
71,{荒}·{特典},2,5,4,"0,0,1,0",44,65,75,47,1.11,1.63,1.88,1.18,1,47,1,32,2,136,71,Susabi·Sp
72,{拉法叶}·{特典},2,5,1,"0,1,0,0",42,75,48,66,1.06,1.88,1.21,1.65,1,37,1,27,3,28,72,Lafayette·Sp
73,{贝拉拉},3,5,2,"1,0,0,0",79,45,44,62,1.98,1.13,1.12,1.57,4,15,4,21,1,79,73,Belala
74,{米娅}·{特典},2,5,2,"1,0,0,0",79,46,57,49,1.98,1.15,1.43,1.24,2,71,2,142,2,100,74,Mia·Sp
75,{瓦妮莎}·{特典},2,5,2,"1,0,0,0",66,45,53,67,1.66,1.13,1.33,1.68,2,77,2,91,1,61,75,Vanessa·Sp
76,{巴托里}·{特典},2,5,2,"1,0,0,0",76,42,61,52,1.9,1.05,1.53,1.32,2,72,2,101,2,130,76,Batory·Sp
77,{佐伊}·{特典},1,5,2,"0,0,0,1",67,42,48,74,1.68,1.07,1.2,1.85,3,19,3,32,3,15,77,Zoe·Sp
78,{达菲}·{特典},2,5,2,"1,0,0,0",74,45,42,70,1.87,1.13,1.05,1.75,4,26,4,12,4,13,78,Duffy·Sp
79,{伊丽丝}·{特典},3,5,2,"1,0,0,0",79,44,60,47,1.98,1.12,1.52,1.18,2,85,2,64,2,87,79,Iris·Sp
80,{达比}·{特典},2,5,3,"0,1,0,0",55,76,58,42,1.38,1.92,1.45,1.05,2,88,1,58,1,56,80,Darby·Sp
81,{万能进阶卡},3,5,1,"0,0,0,0",58,58,58,58,1.45,1.45,1.45,1.45,1,1010,0,0,0,0,81,Universal Advanced Card
82,{万能宝鉴卡},3,5,1,"0,0,0,0",58,58,58,58,1.45,1.45,1.45,1.45,1,1010,0,0,0,0,82,Universal Codex Card
83,{技能经验卡},1,5,1,"0,0,0,0",58,58,58,58,1.45,1.45,1.45,1.45,1,1010,0,0,0,0,83,Skill Exp Card
84,{梦可可},1,5,3,"0,1,0,0",42,75,48,66,1.07,1.88,1.2,1.65,2,86,2,62,2,134,84,Monccoco
86,{希娜伽},3,5,2,"1,0,0,0",78,50,55,48,1.97,1.25,1.38,1.2,2,80,2,64,2,102,86,Synaga
88,{珀瑞斯}·{特典},1,5,2,"0,1,0,0",67,62,40,62,1.68,1.55,1.02,1.55,1,50,1,64,4,22,88,Perris·Sp
90,{雅雅},1,5,3,"0,0,0,1",52,60,42,78,1.3,1.5,1.05,1.95,2,93,2,59,1,29,90,Yaya
92,{尤缇迦}·{特典},1,5,1,"0,1,0,0",46,74,46,64,1.17,1.86,1.15,1.62,2,94,2,58,2,140,92,Utija·Sp
93,{乌蒂亚}·{特典},3,5,2,"1,0,0,0",73,43,66,48,1.84,1.08,1.66,1.22,2,95,2,129,4,18,93,Utia·Sp
95,{阿古丽娅},1,5,2,"1,0,0,0",74,52,62,43,1.87,1.3,1.55,1.08,2,97,2,66,4,23,95,Aguria
96,{莱恩娜},2,5,2,"1,0,0,0",79,53,42,57,1.98,1.34,1.05,1.43,2,98,3,36,4,17,96,Lenna
97,{觉},2,5,3,"0,0,0,1",43,72,50,66,1.08,1.82,1.25,1.65,1,52,1,49,2,99,97,Satoru
98,{阿古丽娅}·{特典},1,5,2,"1,0,0,0",74,41,61,54,1.86,1.03,1.54,1.37,2,111,2,112,4,25,98,Aguria·Sp
99,{蒂尔},2,5,2,"1,0,0,0",77,48,62,44,1.93,1.2,1.55,1.12,2,113,2,133,2,138,99,Thiel
100,{斐拉},1,5,2,"1,0,0,0",78,44,56,54,1.95,1.1,1.4,1.35,3,29,3,26,3,25,100,Phila
101,{奥兰多},1,5,3,"0,0,0,1",47,74,45,64,1.18,1.86,1.14,1.62,1,63,2,114,3,26,101,orlando
102,{突破卡},3,5,1,"0,0,0,0",58,58,58,58,1.45,1.45,1.45,1.45,1,1010,0,0,0,0,102,Breakthrough Card
103,{夏蒂},3,5,2,"1,0,0,0",76,48,58,48,1.92,1.2,1.46,1.22,2,115,2,65,2,87,103,Shady
104,{贝缇娜},2,5,2,"0,0,0,1",65,44,50,72,1.64,1.1,1.25,1.81,3,30,3,25,3,17,104,Bettina
105,{德琳},1,5,3,"0.5,0.5,0,0",64,74,47,46,1.62,1.85,1.18,1.15,1,65,1,66,1,83,105,Madeline
106,{哈娜},2,5,2,"1,0,0,0",76,50,60,45,1.9,1.25,1.52,1.13,4,19,4,20,1,80,106,Hana
107,{尤蕾拉},2,5,3,"0,0,0,1",48,62,43,78,1.2,1.57,1.08,1.95,1,67,1,68,3,24,107,Eurella
108,{多莉},3,5,2,"1,0,0,0",79,54,49,49,1.98,1.35,1.24,1.23,2,116,2,117,2,126,108,Dolly
109,{莉薇娅},3,5,3,"0,1,0,0",53,76,42,60,1.33,1.92,1.05,1.5,2,119,2,120,2,121,109,Livia
110,{塞雷娜},2,5,4,"0,0,1,0",56,44,76,54,1.4,1.11,1.92,1.37,1,71,1,72,2,135,110,Serena
111,{露娜},2,5,3,"0,1,0,0",53,78,40,59,1.33,1.97,1.02,1.48,1,73,1,74,1,77,111,Luna
112,{瑶琳},1,5,3,"0,0,0,1",44,66,48,74,1.1,1.65,1.2,1.85,1,75,1,76,1,60,112,Yao Lin
113,{露米},3,5,3,"0,0.5,0,0.5",42,71,43,74,1.06,1.78,1.09,1.87,1,84,1,85,3,37,113,Lumi
114,{瑟拉},2,5,2,"1,0,0,0",76,48,58,48,1.92,1.2,1.46,1.22,2,145,2,146,4,28,114,Sera
115,{费伊},3,5,3,"0,1,0,0",43,72,50,66,1.08,1.82,1.25,1.65,1,86,1,87,1,88,115,Faye
116,{妮克丝},3,5,1,"0.5,0,0,0.5",70,48,42,72,1.75,1.2,1.05,1.8,2,147,2,148,3,38,116,Nyx
117,{妮娅},1,5,2,"1,0,0,0",78,45,52,56,1.95,1.13,1.32,1.4,4,29,4,30,4,31,117,Niya
118,{伊莎贝尔},1,5,4,"0,0,0.5,0.5",44,48,70,70,1.1,1.2,1.75,1.75,2,149,1,89,3,39,118,Isabelle
119,{克罗洛丝}·{特典},1,5,3,"0,1,0,0",46,74,46,64,1.17,1.86,1.15,1.62,1,90,2,150,1,91,119,Crolos·Sp
120,{妮克丝}·{特典},3,5,2,"1,0,0,0",77,53,45,56,1.93,1.34,1.13,1.4,2,151,1,92,3,40,120,Nyx·Sp
121,{费伊}·{特典},3,5,3,"0,1,0,0",48,75,44,64,1.2,1.88,1.1,1.62,1,93,4,32,3,41,121,Faye·Sp
122,{雅雅}·{特典},1,5,3,"0,1,0,0",50,72,42,68,1.25,1.8,1.05,1.7,1,94,1,95,3,42,122,Yaya·Sp
1001,{铁甲将军},2,5,4,"0.5,0,0.5,0",105,99,141,75,1.75,1.65,2.35,1.25,0,0,0,0,0,0,1001,Crocodile
1002,{摩因},2,5,4,"0.5,0,0.5,0",105,99,141,75,1.75,1.65,2.35,1.25,0,0,0,0,0,0,1002,Moin
1003,{库里雷蒙},2,5,3,"0.5,0.5,0,0",105,141,99,75,1.75,2.35,1.65,1.25,0,0,0,0,0,0,1003,Currymont
1004,{赤达鲁},2,5,4,"0.5,0,0.5,0",105,99,141,75,1.75,1.65,2.35,1.25,0,0,0,0,0,0,1004,Chidaru
1005,{莫里卡特},2,5,3,"0.5,0.5,0,0",105,141,99,75,1.75,2.35,1.65,1.25,0,0,0,0,0,0,1005,Moricart
1006,{杜丽莎},2,5,4,"0.5,0,0.5,0",105,99,141,75,1.75,1.65,2.35,1.25,0,0,0,0,0,0,1006,Teresa
1007,{克拉肯},2,5,4,"0.5,0,0.5,0",105,99,141,75,1.75,1.65,2.35,1.25,0,0,0,0,0,0,1007,Kraken
1008,{贝塞德},2,5,3,"0.5,0.5,0,0",105,141,99,75,1.75,2.35,1.65,1.25,0,0,0,0,0,0,1008,Bayside
1009,{卡塔},2,5,4,"0.5,0,0.5,0",105,99,141,75,1.75,1.65,2.35,1.25,0,0,0,0,0,0,1009,Carta
1010,{强壮蛮族} 3★,1,3,2,"0.7,0,0.3,0",57,37,28,29,1.43,0.93,0.7,0.74,0,0,0,0,0,0,1010,Strong Barbarian 3★
1011,{坚韧蛮族} 3★,1,3,3,"0.4,0.6,0,0",38,57,27,29,0.95,1.43,0.68,0.74,0,0,0,0,0,0,1010,Tough Barbarian 3★
1012,{莽撞蛮族} 3★,1,3,4,"0.4,0,0.6,0",34,31,57,29,0.85,0.78,1.43,0.74,0,0,0,0,0,0,1010,Reckless Barbarian 3★
1013,{敏捷蛮族} 3★,1,3,1,"0,0,0.4,0.6",36,30,28,57,0.9,0.75,0.72,1.43,0,0,0,0,0,0,1010,Agile Barbarian 3★
1014,{强壮蛮族} 4★,1,4,2,"0.7,0,0.3,0",64,42,39,46,1.62,1.05,0.98,1.15,0,0,0,0,0,0,1010,Strong Barbarian 4★
1015,{坚韧蛮族} 4★,1,4,3,"0.4,0.6,0,0",38,64,38,50,0.95,1.62,0.97,1.26,0,0,0,0,0,0,1010,Tough Barbarian 4★
1016,{莽撞蛮族} 4★,1,4,4,"0.4,0,0.6,0",38,42,64,46,0.95,1.07,1.62,1.16,0,0,0,0,0,0,1010,Reckless Barbarian 4★
1017,{敏捷蛮族} 4★,1,4,1,"0,0,0.4,0.6",44,37,45,64,1.1,0.94,1.14,1.62,0,0,0,0,0,0,1010,Agile Barbarian 4★
1018,{强壮蛮族} 5★,1,5,2,"0.7,0,0.3,0",78,53,44,56,1.95,1.34,1.11,1.4,0,0,0,0,0,0,1010,Strong Barbarian 5★
1019,{坚韧蛮族} 5★,1,5,3,"0.4,0.6,0,0",53,78,48,52,1.33,1.95,1.22,1.3,0,0,0,0,0,0,1010,Tough Barbarian 5★
1020,{莽撞蛮族} 5★,1,5,4,"0.4,0,0.6,0",52,48,78,53,1.32,1.2,1.95,1.33,0,0,0,0,0,0,1010,Reckless Barbarian 5★
1021,{敏捷蛮族} 5★,1,5,1,"0,0,0.4,0.6",52,48,53,78,1.32,1.2,1.33,1.95,0,0,0,0,0,0,1010,Agile Barbarian 5★
1030,{小精灵} 3★,3,3,1,"0,0.6,0,0.4",40,60,40,60,0.8,1.2,0.8,1.2,0,0,0,0,0,0,102,Elf 3★
1031,{小精灵} 3★,3,3,3,"0.4,0.6,0,0",40,70,45,45,0.8,1.4,0.9,0.9,0,0,0,0,0,0,102,Elf 3★
1032,{小法师} 3★,1,3,2,"0.7,0,0.3,0",70,40,45,45,1.4,0.8,0.9,0.9,0,0,0,0,0,0,83,Little mage 3★
1033,{小法师} 3★,1,3,4,"0.4,0,0.6,0",50,40,70,40,1,0.8,1.4,0.8,0,0,0,0,0,0,83,Little mage 3★
1034,{大精灵} 4★,3,4,1,"0,0.6,0,0.4",50,75,50,75,1,1.5,1,1.5,0,0,0,0,0,0,82,Big Elf 4★
1035,{大精灵} 4★,3,4,3,"0.4,0.6,0,0",52,82,60,55,1.05,1.65,1.2,1.1,0,0,0,0,0,0,82,Big Elf 4★
1036,{大法师} 4★,1,4,2,"0.7,0,0.3,0",82,57,60,50,1.65,1.15,1.2,1,0,0,0,0,0,0,83,Archmage 4★
1037,{大法师} 4★,1,4,4,"0.4,0,0.6,0",65,52,82,50,1.3,1.05,1.65,1,0,0,0,0,0,0,83,Archmage 4★
1038,{大精灵} 5★,3,5,1,"0,0.6,0,0.4",62,87,62,87,1.25,1.75,1.25,1.75,0,0,0,0,0,0,82,Big Elf 5★
1039,{大精灵} 5★,3,5,3,"0.4,0.6,0,0",75,100,65,60,1.5,2,1.3,1.2,0,0,0,0,0,0,82,Big Elf 5★
1040,{大法师} 5★,1,5,2,"0.7,0,0.3,0",100,65,70,65,2,1.3,1.4,1.3,0,0,0,0,0,0,83,Archmage 5★
1041,{大法师} 5★,1,5,4,"0.4,0,0.6,0",80,55,100,65,1.6,1.1,2,1.3,0,0,0,0,0,0,83,Archmage 5★
1051,{哥布林刺客} 4★,3,4,1,"0,0.6,0,0.4",50,75,50,75,1,1.5,1,1.5,0,0,0,0,0,0,1051,Goblin Assassin 4★
1052,{哥布林卫士} 4★,3,4,3,"0.4,0.6,0,0",52,82,60,55,1.05,1.65,1.2,1.1,0,0,0,0,0,0,1052,Goblin Guardian 4★
1053,{哥布林射手} 4★,3,4,2,"0.7,0,0.3,0",82,57,60,50,1.65,1.15,1.2,1,0,0,0,0,0,0,1053,Goblin Archer 4★
1054,{哥布林战士} 4★,3,4,4,"0.4,0,0.6,0",65,52,82,50,1.3,1.05,1.65,1,0,0,0,0,0,0,1054,Goblin Warrior 4★
1055,{哥布林刺客} 5★,3,5,1,"0,0.6,0,0.4",75,105,75,105,1.25,1.75,1.25,1.75,0,0,0,0,0,0,1051,Goblin Assassin 5★
1056,{哥布林卫士} 5★,3,5,3,"0.4,0.6,0,0",90,120,78,72,1.5,2,1.3,1.2,0,0,0,0,0,0,1052,Goblin Guardian 5★
1057,{哥布林射手} 5★,3,5,2,"0.7,0,0.3,0",120,78,84,78,2,1.3,1.4,1.3,0,0,0,0,0,0,1053,Goblin Archer 5★
1058,{哥布林战士} 5★,3,5,4,"0.4,0,0.6,0",96,66,120,78,1.6,1.1,2,1.3,0,0,0,0,0,0,1054,Goblin Warrior 5★
1059,{哥布林首领},3,5,2,"0.7,0,0.3,0",140,112,126,112,2,1.6,1.8,1.6,0,0,0,0,0,0,1059,Goblin Leader
1061,{骷髅卫士} 4★,3,4,1,"0,0.6,0,0.4",50,75,50,75,1,1.5,1,1.5,0,0,0,0,0,0,1061,Skeleton Guardian 4★
1062,{亡灵战士} 4★,3,4,3,"0.4,0.6,0,0",52,82,60,55,1.05,1.65,1.2,1.1,0,0,0,0,0,0,1062,Undead Warrior 4★
1063,{骷髅射手} 4★,3,4,2,"0.7,0,0.3,0",82,57,60,50,1.65,1.15,1.2,1,0,0,0,0,0,0,1063,Skeleton Archer 4★
1064,{亡灵法师} 4★,3,4,4,"0.4,0,0.6,0",65,52,82,50,1.3,1.05,1.65,1,0,0,0,0,0,0,1064,Undead Mage 4★
1065,{骷髅卫士} 5★,3,5,1,"0,0.6,0,0.4",75,105,75,105,1.25,1.75,1.25,1.75,0,0,0,0,0,0,1061,Skeleton Guardian 5★
1066,{亡灵战士} 5★,3,5,3,"0.4,0.6,0,0",90,120,78,72,1.5,2,1.3,1.2,0,0,0,0,0,0,1062,Undead Warrior 5★
1067,{骷髅射手} 5★,3,5,2,"0.7,0,0.3,0",120,78,84,78,2,1.3,1.4,1.3,0,0,0,0,0,0,1063,Skeleton Archer 5★
1068,{亡灵法师} 5★,3,5,4,"0.4,0,0.6,0",96,66,120,78,1.6,1.1,2,1.3,0,0,0,0,0,0,1064,Undead Mage 5★
1069,{骷髅王},3,5,2,"0.7,0,0.3,0",140,112,126,112,2,1.6,1.8,1.6,0,0,0,0,0,0,1069,Skeleton King
1071,{极寒卫士} 4★,3,4,1,"0,0.6,0,0.4",50,75,50,75,1,1.5,1,1.5,0,0,0,0,0,0,1071,Frost Guardian 4★
1072,{极寒战士} 4★,3,4,3,"0.4,0.6,0,0",52,82,60,55,1.05,1.65,1.2,1.1,0,0,0,0,0,0,1072,Frost Warrior 4★
1073,{极寒盗贼} 4★,3,4,2,"0.7,0,0.3,0",82,57,60,50,1.65,1.15,1.2,1,0,0,0,0,0,0,1073,Frost Thief 4★
1074,{极寒角斗士} 4★,3,4,4,"0.4,0,0.6,0",65,52,82,50,1.3,1.05,1.65,1,0,0,0,0,0,0,1074,Frost Gladiator 4★
1075,{极寒卫士} 5★,3,5,1,"0,0.6,0,0.4",75,105,75,105,1.25,1.75,1.25,1.75,0,0,0,0,0,0,1071,Frost Guardian 5★
1076,{极寒战士} 5★,3,5,3,"0.4,0.6,0,0",90,120,78,72,1.5,2,1.3,1.2,0,0,0,0,0,0,1072,Frost Warrior 5★
1077,{极寒盗贼} 5★,3,5,2,"0.7,0,0.3,0",120,78,84,78,2,1.3,1.4,1.3,0,0,0,0,0,0,1073,Frost Thief 5★
1078,{极寒角斗士} 5★,3,5,4,"0.4,0,0.6,0",96,66,120,78,1.6,1.1,2,1.3,0,0,0,0,0,0,1074,Frost Gladiator 5★
1079,{北境之灵},3,5,2,"0.7,0,0.3,0",140,112,126,112,2,1.6,1.8,1.6,0,0,0,0,0,0,1079,Northern Lord
1081,{海鲨卫士} 4★,3,4,1,"0,0.6,0,0.4",50,75,50,75,1,1.5,1,1.5,0,0,0,0,0,0,1081,Shark Guardian 4★
1082,{海鲨刺客} 4★,3,4,3,"0.4,0.6,0,0",52,82,60,55,1.05,1.65,1.2,1.1,0,0,0,0,0,0,1082,Shark Assassin 4★
1083,{海鲨盗贼} 4★,3,4,2,"0.7,0,0.3,0",82,57,60,50,1.65,1.15,1.2,1,0,0,0,0,0,0,1083,Shark Thief 4★
1084,{海鲨禁军} 4★,3,4,4,"0.4,0,0.6,0",65,52,82,50,1.3,1.05,1.65,1,0,0,0,0,0,0,1084,Shark Elite 4★
1085,{海鲨卫士} 5★,3,5,1,"0,0.6,0,0.4",75,105,75,105,1.25,1.75,1.25,1.75,0,0,0,0,0,0,1081,Shark Guardian 5★
