gift_type,type,id,name,price,limit,content,refresh_type,value,showLv,ShowValue,name_en
5,1,11,{领主} Lv.63,2580,2,1121_48+1404_800+1105_1600+3_1600+6_2580,0,63,0,0,Lord Lv.63
5,1,12,{领主} Lv.65,2580,1,3405_1+3407_1+1404_500+4_1500+6_2580,0,65,0,0,Lord Lv.65
5,1,13,{领主} Lv.68,2580,1,3406_1+3408_1+1404_500+4_1500+6_2580,0,68,0,0,Lord Lv.68
5,1,14,{领主} Lv.70,2580,2,1121_24+1130_24+1135_24+3_4800+6_2580,0,70,0,0,Lord Lv.70
5,1,15,{领主} Lv.73,2580,3,1465_500+1470_500+1404_400+4_1500+6_2580,0,73,0,0,Lord Lv.73
5,1,16,{领主} Lv.75,2580,3,1460_560+1450_535+1404_400+4_2500+6_2580,0,75,0,0,Lord Lv.75
5,1,17,{领主} Lv.78,2580,2,1265_100+1404_600+4_3800+6_2580,0,78,0,0,Lord Lv.78
5,1,18,{领主} Lv.80,2580,6,1330_1+1404_100+1403_200+6_2580,0,80,0,0,Lord Lv.80
5,1,19,{领主} Lv.83,3880,2,1121_72+1404_1200+1105_2400+3_2400+6_3880,0,83,0,0,Lord Lv.83
5,1,20,{领主} Lv.85,3880,2,1505_250+1515_50+1520_25+6_3880,0,85,0,0,Lord Lv.85
5,1,21,{领主} Lv.88,3880,2,1280_1+1404_100+1403_200+6_3880,0,88,0,0,Lord Lv.88
5,1,22,{领主} Lv.90,3880,3,1465_750+1470_750+1404_600+4_2300+6_3880,0,90,0,0,Lord Lv.90
5,1,23,{领主} Lv.93,3880,2,1121_36+1130_36+1135_36+3_7200+6_3880,0,93,0,0,Lord Lv.93
5,1,24,{领主} Lv.95,2580,3,1460_560+1450_535+1404_400+4_2500+6_2580,0,95,0,0,Lord Lv.95
5,1,25,{领主} Lv.98,3880,3,1255_150+1404_1000+4_5700+6_3880,0,98,0,0,Lord Lv.98
5,1,26,{领主} Lv.100,2580,6,1330_1+1404_100+1403_200+6_2580,0,100,0,0,Lord Lv.100
5,1,27,{领主} Lv.103,3880,3,1266_150+1404_1000+4_5700+6_3880,0,103,0,0,Lord Lv.103
5,1,28,{领主} Lv.105,3880,2,1121_72+1404_1200+1105_2400+3_2400+6_3880,0,105,0,0,Lord Lv.105
5,1,29,{领主} Lv.108,3880,2,1505_250+1515_50+1520_25+6_3880,0,108,0,0,Lord Lv.108
5,1,30,{领主} Lv.110,3880,2,1280_1+1404_100+1403_200+6_3880,0,110,0,0,Lord Lv.110
5,1,31,{领主} Lv.113,3880,3,1465_750+1470_750+1404_600+4_2300+6_3880,0,113,0,0,Lord Lv.113
5,1,32,{领主} Lv.115,3880,2,1121_36+1130_36+1135_36+3_7200+6_3880,0,115,0,0,Lord Lv.115
5,1,33,{领主} Lv.118,2580,3,1460_560+1450_535+1404_400+4_2500+6_2580,0,118,0,0,Lord Lv.118
5,1,34,{领主} Lv.120,2580,6,1330_1+1404_100+1403_200+6_2580,0,120,0,0,Lord Lv.120
5,1,35,{领主} Lv.122,6480,3,1255_250+1404_1800+4_9000+6_6480,0,122,0,0,Lord Lv.122
5,1,36,{领主} Lv.124,6480,2,1121_120+1404_2000+1105_4000+3_4000+6_6480,0,124,0,0,Lord Lv.124
5,1,37,{领主} Lv.126,3880,2,1505_250+1515_50+1520_25+6_3880,0,126,0,0,Lord Lv.126
5,1,38,{领主} Lv.128,3880,2,1280_1+1404_100+1403_200+6_3880,0,128,0,0,Lord Lv.128
5,1,39,{领主} Lv.130,6480,2,1265_250+1404_1800+4_9000+6_6480,0,130,0,0,Lord Lv.130
5,1,40,{领主} Lv.132,3880,3,1465_750+1470_750+1404_600+4_2300+6_3880,0,132,0,0,Lord Lv.132
5,1,41,{领主} Lv.134,6480,2,1121_60+1130_60+1135_60+3_12000+6_6480,0,134,0,0,Lord Lv.134
5,1,42,{领主} Lv.136,6480,3,1266_250+1404_1800+4_9000+6_6480,0,136,0,0,Lord Lv.136
5,1,43,{领主} Lv.138,2580,3,1460_560+1450_535+1404_400+4_2500+6_2580,0,138,0,0,Lord Lv.138
5,1,44,{领主} Lv.140,6480,3,1255_250+1404_1800+4_9000+6_6480,0,140,0,0,Lord Lv.140
5,1,45,{领主} Lv.142,2580,6,1330_1+1404_100+1403_200+6_2580,0,142,0,0,Lord Lv.142
5,1,46,{领主} Lv.144,6480,2,1121_120+1404_2000+1105_4000+3_4000+6_6480,0,144,0,0,Lord Lv.144
5,1,47,{领主} Lv.146,3880,3,1465_750+1470_750+1404_600+4_2300+6_3880,0,146,0,0,Lord Lv.146
5,1,48,{领主} Lv.148,3880,2,1505_250+1515_50+1520_25+6_3880,0,148,0,0,Lord Lv.148
5,1,49,{领主} Lv.150,6480,3,1266_250+1404_1800+4_9000+6_6480,0,150,0,0,Lord Lv.150
5,1,50,{领主} Lv.152,3880,2,1280_1+1404_100+1403_200+6_3880,0,152,0,0,Lord Lv.152
5,1,51,{领主} Lv.154,6480,2,1121_60+1130_60+1135_60+3_12000+6_6480,0,154,0,0,Lord Lv.154
5,1,52,{领主} Lv.156,6480,3,1255_250+1404_1800+4_9000+6_6480,0,156,0,0,Lord Lv.156
5,1,53,{领主} Lv.158,2580,3,1460_560+1450_535+1404_400+4_2500+6_2580,0,158,0,0,Lord Lv.158
5,1,54,{领主} Lv.160,2580,6,1330_1+1404_100+1403_200+6_2580,0,160,0,0,Lord Lv.160
5,1,55,{领主} Lv.162,3880,3,1465_750+1470_750+1404_600+4_2300+6_3880,0,162,0,0,Lord Lv.162
5,1,56,{领主} Lv.164,6480,2,1121_120+1404_2000+1105_4000+3_4000+6_6480,0,164,0,0,Lord Lv.164
5,1,57,{领主} Lv.166,3880,2,1505_250+1515_50+1520_25+6_3880,0,166,0,0,Lord Lv.166
5,1,58,{领主} Lv.168,6480,3,1266_250+1404_1800+4_9000+6_6480,0,168,0,0,Lord Lv.168
5,1,59,{领主} Lv.170,6480,3,1255_250+1404_1800+4_9000+6_6480,0,170,0,0,Lord Lv.170
5,1,60,{领主} Lv.172,2580,3,1460_560+1450_535+1404_400+4_2500+6_2580,0,172,0,0,Lord Lv.172
5,1,61,{领主} Lv.174,6480,2,1121_60+1130_60+1135_60+3_12000+6_6480,0,174,0,0,Lord Lv.174
5,1,62,{领主} Lv.176,2580,6,1330_1+1404_100+1403_200+6_2580,0,176,0,0,Lord Lv.176
5,1,63,{领主} Lv.178,3880,3,1465_750+1470_750+1404_600+4_2300+6_3880,0,178,0,0,Lord Lv.178
5,1,64,{领主} Lv.180,3880,2,1505_250+1515_50+1520_25+6_3880,0,180,0,0,Lord Lv.180
5,1,65,{领主} Lv.182,6480,3,1266_250+1404_1800+4_9000+6_6480,0,182,0,0,Lord Lv.182
5,1,66,{领主} Lv.184,6480,2,1121_120+1404_2000+1105_4000+3_4000+6_6480,0,184,0,0,Lord Lv.184
5,1,67,{领主} Lv.186,2580,6,1330_1+1404_100+1403_200+6_2580,0,186,0,0,Lord Lv.186
5,1,68,{领主} Lv.188,6480,3,1255_250+1404_1800+4_9000+6_6480,0,188,0,0,Lord Lv.188
5,1,69,{领主} Lv.190,6480,3,1266_250+1404_1800+4_9000+6_6480,0,190,0,0,Lord Lv.190
5,1,70,{领主} Lv.192,2580,6,1330_1+1404_100+1403_200+6_2580,0,192,0,0,Lord Lv.192
5,1,71,{领主} Lv.194,6480,2,1121_60+1130_60+1135_60+3_12000+6_6480,0,194,0,0,Lord Lv.194
5,1,72,{领主} Lv.196,6480,3,1255_250+1404_1800+4_9000+6_6480,0,196,0,0,Lord Lv.196
5,1,73,{领主} Lv.198,6480,3,1266_250+1404_1800+4_9000+6_6480,0,198,0,0,Lord Lv.198
5,1,74,{领主} Lv.200,2580,6,1330_1+1404_100+1403_200+6_2580,0,200,0,0,Lord Lv.200
5,2,1,{市政厅}-Lv.6,300,1,1110_50+1115_50+3_450+1121_1+1125_3+6_300,0,6,-1,0,City Hall-Lv.6
5,2,2,{市政厅}-Lv.8,300,1,1110_50+1115_50+3_450+1121_1+1125_3+6_300,0,8,-1,0,City Hall-Lv.8
5,2,3,{市政厅}-Lv.9,680,1,1110_100+1115_100+3_1000+1121_2+1125_6+6_680,0,9,-1,0,City Hall-Lv.9
5,2,4,{市政厅}-Lv.10,680,1,1110_100+1115_100+3_1000+1121_2+1125_6+6_680,0,10,-1,0,City Hall-Lv.10
5,2,5,{市政厅}-Lv.11,1280,1,1110_200+1115_200+3_2000+1121_5+1125_12+6_1280,0,11,0,0,City Hall-Lv.11
5,2,6,{市政厅}-Lv.12,1280,1,1110_200+1115_200+3_2000+1121_5+1125_12+6_1280,0,12,0,0,City Hall-Lv.12
5,2,7,{市政厅}-Lv.13,2580,2,1110_400+1115_400+3_4000+1121_10+1125_25+6_2580,0,13,0,0,City Hall-Lv.13
5,2,8,{市政厅}-Lv.14,2580,2,1110_400+1115_400+3_4000+1121_10+1125_25+6_2580,0,14,0,0,City Hall-Lv.14
5,2,9,{市政厅}-Lv.15,2580,2,1110_400+1115_400+3_4000+1121_10+1125_25+6_2580,0,15,0,0,City Hall-Lv.15
5,2,10,{市政厅}-Lv.16,3880,2,1110_600+1115_600+3_6000+1121_15+1125_38+6_3880,0,16,0,0,City Hall-Lv.16
5,2,11,{市政厅}-Lv.17,3880,2,1110_600+1115_600+3_6000+1121_15+1125_38+6_3880,0,17,0,0,City Hall-Lv.17
5,2,12,{市政厅}-Lv.18,3880,2,1110_600+1115_600+3_6000+1121_15+1125_38+6_3880,0,18,0,0,City Hall-Lv.18
5,2,13,{市政厅}-Lv.19,3880,2,1110_600+1115_600+3_6000+1121_15+1125_38+6_3880,0,19,0,0,City Hall-Lv.19
5,2,14,{市政厅}-Lv.20,6480,3,1110_1000+1115_1000+3_10000+1121_25+1125_50+6_6480,0,20,0,0,City Hall-Lv.20
5,2,15,{市政厅}-Lv.21,6480,3,1110_1000+1115_1000+3_10000+1121_25+1125_50+6_6480,0,21,0,0,City Hall-Lv.21
5,2,16,{市政厅}-Lv.22,6480,3,1110_1000+1115_1000+3_10000+1121_25+1125_50+6_6480,0,22,0,0,City Hall-Lv.22
5,2,17,{市政厅}-Lv.23,6480,3,1110_1000+1115_1000+3_10000+1121_25+1125_50+6_6480,0,23,0,0,City Hall-Lv.23
5,2,18,{市政厅}-Lv.24,6480,3,1110_1000+1115_1000+3_10000+1121_25+1125_50+6_6480,0,24,0,0,City Hall-Lv.24
5,2,19,{市政厅}-Lv.25,6480,3,1110_1000+1115_1000+3_10000+1121_25+1125_50+6_6480,0,25,0,0,City Hall-Lv.25
5,3,1,{冒险者公会}-Lv.7,680,1,1205_30+1404_100+1403_100+6_680,0,7,0,0,Adventurer Guild-Lv.7
5,3,15,{冒险者公会}-Lv.8,680,1,1205_30+1404_100+1403_100+6_680,0,8,0,0,Adventurer Guild-Lv.8
5,3,2,{冒险者公会}-Lv.9,680,1,1205_30+1404_100+1403_100+6_680,0,9,0,0,Adventurer Guild-Lv.9
5,3,16,{冒险者公会}-Lv.10,1280,2,1205_60+1404_200+1403_200+6_1280,0,10,0,0,Adventurer Guild-Lv.10
5,3,3,{冒险者公会}-Lv.11,1280,2,1205_60+1404_200+1403_200+6_1280,0,11,0,0,Adventurer Guild-Lv.11
5,3,17,{冒险者公会}-Lv.12,1280,2,1205_60+1404_200+1403_200+6_1280,0,12,0,0,Adventurer Guild-Lv.12
5,3,4,{冒险者公会}-Lv.13,1280,2,1210_60+1404_200+1403_200+6_1280,0,13,0,0,Adventurer Guild-Lv.13
5,3,18,{冒险者公会}-Lv.14,1280,2,1210_60+1404_200+1403_200+6_1280,0,14,0,0,Adventurer Guild-Lv.14
5,3,5,{冒险者公会}-Lv.15,2580,2,1205_120+1404_400+1403_400+6_2580,0,15,0,0,Adventurer Guild-Lv.15
5,3,19,{冒险者公会}-Lv.16,2580,2,1205_120+1404_400+1403_400+6_2580,0,16,0,0,Adventurer Guild-Lv.16
5,3,20,{冒险者公会}-Lv.16,2580,2,1210_120+1404_400+1403_400+6_2580,0,16,0,0,Adventurer Guild-Lv.16
5,3,30,{冒险者公会}-Lv.16,2580,2,1204_120+3_600+4_600+6_2580,0,16,0,0,Adventurer Guild-Lv.16
5,3,21,{冒险者公会}-Lv.17,2580,2,1205_120+1404_400+1403_400+6_2580,0,17,0,0,Adventurer Guild-Lv.17
5,3,6,{冒险者公会}-Lv.17,2580,2,1210_120+1404_400+1403_400+6_2580,0,17,0,0,Adventurer Guild-Lv.17
5,3,31,{冒险者公会}-Lv.17,2580,2,1204_120+3_600+4_600+6_2580,0,17,0,0,Adventurer Guild-Lv.17
5,3,7,{冒险者公会}-Lv.18,3880,3,1230_1+1205_120+1404_500+6_3880,0,18,0,0,Adventurer Guild-Lv.18
5,3,22,{冒险者公会}-Lv.18,3880,3,1240_1+1210_120+1404_500+6_3880,0,18,0,0,Adventurer Guild-Lv.18
5,3,32,{冒险者公会}-Lv.18,3880,3,1204_180+3_1000+4_1000+6_3880,0,18,0,0,Adventurer Guild-Lv.18
5,3,23,{冒险者公会}-Lv.19,3880,3,1230_1+1205_120+1404_500+6_3880,0,19,0,0,Adventurer Guild-Lv.19
5,3,8,{冒险者公会}-Lv.19,3880,3,1240_1+1210_120+1404_500+6_3880,0,19,0,0,Adventurer Guild-Lv.19
5,3,33,{冒险者公会}-Lv.19,3880,3,1204_180+3_1000+4_1000+6_3880,0,19,0,0,Adventurer Guild-Lv.19
5,3,9,{冒险者公会}-Lv.20,6480,3,1230_2+1205_200+1404_800+6_6480,0,20,0,0,Adventurer Guild-Lv.20
5,3,24,{冒险者公会}-Lv.20,6480,3,1240_2+1210_200+1404_800+6_6480,0,20,0,0,Adventurer Guild-Lv.20
5,3,34,{冒险者公会}-Lv.20,6480,3,1204_300+3_2000+4_2000+6_6480,0,20,0,0,Adventurer Guild-Lv.20
5,3,25,{冒险者公会}-Lv.21,6480,3,1230_2+1205_200+1404_800+6_6480,0,21,0,0,Adventurer Guild-Lv.21
5,3,10,{冒险者公会}-Lv.21,6480,3,1240_2+1210_200+1404_800+6_6480,0,21,0,0,Adventurer Guild-Lv.21
5,3,35,{冒险者公会}-Lv.21,6480,3,1204_300+3_2000+4_2000+6_6480,0,21,0,0,Adventurer Guild-Lv.21
5,3,11,{冒险者公会}-Lv.22,6480,3,1230_2+1205_200+1404_800+6_6480,0,22,0,0,Adventurer Guild-Lv.22
5,3,26,{冒险者公会}-Lv.22,6480,3,1240_2+1210_200+1404_800+6_6480,0,22,0,0,Adventurer Guild-Lv.22
5,3,36,{冒险者公会}-Lv.22,6480,3,1204_300+3_2000+4_2000+6_6480,0,22,0,0,Adventurer Guild-Lv.22
5,3,27,{冒险者公会}-Lv.23,6480,3,1230_2+1205_200+1404_800+6_6480,0,23,0,0,Adventurer Guild-Lv.23
5,3,12,{冒险者公会}-Lv.23,6480,3,1240_2+1210_200+1404_800+6_6480,0,23,0,0,Adventurer Guild-Lv.23
5,3,37,{冒险者公会}-Lv.23,6480,3,1204_300+3_2000+4_2000+6_6480,0,23,0,0,Adventurer Guild-Lv.23
5,3,13,{冒险者公会}-Lv.24,6480,3,1230_2+1205_200+1404_800+6_6480,0,24,0,0,Adventurer Guild-Lv.24
5,3,28,{冒险者公会}-Lv.24,6480,3,1240_2+1210_200+1404_800+6_6480,0,24,0,0,Adventurer Guild-Lv.24
5,3,38,{冒险者公会}-Lv.24,6480,3,1204_300+3_2000+4_2000+6_6480,0,24,0,0,Adventurer Guild-Lv.24
5,3,29,{冒险者公会}-Lv.25,6480,3,1230_2+1205_200+1404_800+6_6480,0,25,0,0,Adventurer Guild-Lv.25
5,3,14,{冒险者公会}-Lv.25,6480,3,1240_2+1210_200+1404_800+6_6480,0,25,0,0,Adventurer Guild-Lv.25
5,3,39,{冒险者公会}-Lv.25,6480,3,1204_300+3_2000+4_2000+6_6480,0,25,0,0,Adventurer Guild-Lv.25
5,4,1,{铁匠铺}-Lv.8,680,1,1602_6+1622_600+1603_6+1623_600+2100_780+6_680,0,8,0,0,Smithy-Lv.8
5,4,2,{铁匠铺}-Lv.10,680,1,1602_6+1622_600+1603_6+1623_600+2100_780+6_680,0,10,0,0,Smithy-Lv.10
5,4,3,{铁匠铺}-Lv.12,1280,1,1604_6+1624_600+2100_1200+6_1280,0,12,0,0,Smithy-Lv.12
5,4,4,{铁匠铺}-Lv.14,1280,1,1604_6+1624_600+2100_1200+6_1280,0,14,0,0,Smithy-Lv.14
5,4,15,{铁匠铺}-Lv.15,2580,2,1290_3+1404_100+1403_200+6_2580,0,15,0,0,Smithy-Lv.15
5,4,5,{铁匠铺}-Lv.16,2580,2,1290_3+1404_100+1403_200+6_2580,0,16,0,0,Smithy-Lv.16
5,4,6,{铁匠铺}-Lv.17,2580,2,1290_3+1404_100+1403_200+6_2580,0,17,0,0,Smithy-Lv.17
5,4,7,{铁匠铺}-Lv.18,3880,2,3091_1+3092_1+3093_1+3094_1+3095_1+3096_1+6_3880,0,18,0,0,Smithy-Lv.18
5,4,8,{铁匠铺}-Lv.19,3880,2,3097_1+3098_1+3099_1+3100_1+3101_1+3102_1+6_3880,0,19,0,0,Smithy-Lv.19
5,4,9,{铁匠铺}-Lv.20,6480,3,1605_4+1625_400+1600_200+2100_6400+6_6480,0,20,0,0,Smithy-Lv.20
5,4,16,{铁匠铺}-Lv.20,3880,6,1300_1+1404_100+1403_200+6_3880,0,20,0,0,Smithy-Lv.20
5,4,10,{铁匠铺}-Lv.21,6480,3,1605_4+1625_400+1600_200+2100_6400+6_6480,0,21,0,0,Smithy-Lv.21
5,4,17,{铁匠铺}-Lv.21,3880,2,1280_1+1404_100+1403_200+6_3880,0,21,0,0,Smithy-Lv.21
5,4,18,{铁匠铺}-Lv.22,6480,3,1605_4+1625_400+1600_200+2100_6400+6_6480,0,22,0,0,Smithy-Lv.22
5,4,11,{铁匠铺}-Lv.22,3880,6,1300_1+1404_100+1403_200+6_3880,0,22,0,0,Smithy-Lv.22
5,4,19,{铁匠铺}-Lv.23,6480,3,1605_4+1625_400+1600_200+2100_6400+6_6480,0,23,0,0,Smithy-Lv.23
5,4,12,{铁匠铺}-Lv.23,3880,2,1280_1+1404_100+1403_200+6_3880,0,23,0,0,Smithy-Lv.23
5,4,20,{铁匠铺}-Lv.24,6480,3,1605_4+1625_400+1600_200+2100_6400+6_6480,0,24,0,0,Smithy-Lv.24
5,4,13,{铁匠铺}-Lv.24,3880,6,1300_1+1404_100+1403_200+6_3880,0,24,0,0,Smithy-Lv.24
5,4,14,{铁匠铺}-Lv.25,3880,2,1280_1+1404_100+1403_200+6_3880,0,25,0,0,Smithy-Lv.25
7,1,1,{七日特惠签到},1280,1,6_1280,0,0,0,0,7-Day Specials Sign-in
7,1,2,{七日特惠签到},2580,1,6_2580,0,0,0,0,7-Day Specials Sign-in
7,1,3,{七日特惠签到},2580,1,6_2580,0,0,0,0,7-Day Specials Sign-in
7,1,4,{七日特惠签到},2580,1,6_2580,0,0,0,0,7-Day Specials Sign-in
7,1,5,{七日特惠签到},2580,1,6_2580,0,0,0,0,7-Day Specials Sign-in
7,1,6,{七日特惠签到},2580,1,6_2580,0,0,0,0,7-Day Specials Sign-in
9,1,1,{幸运转盘}-{补给箱}(I),980,3,1706_20+1211_10+1099_10+6_980,0,0,0,0,Lucky Wheel-Supply(I)
9,1,2,{幸运转盘}-{补给箱}(II),2580,3,1706_50+1211_25+1099_25+6_2580,0,0,0,0,Lucky Wheel-Supply(II)
9,1,3,{幸运转盘}-{补给箱}(III),6480,10,1706_120+1211_60+1099_60+6_6480,0,0,0,0,Lucky Wheel-Supply(III)
9,1,4,{幸运转盘}-{补给箱}(IV),6480,10,1706_120+6_6480,0,0,0,0,Lucky Wheel-Supply(IV)
9,2,1,{幸运转盘}-{加油包}-2,60,1,1706_2+6_60,0,0,0,0,Lucky Wheel-Boost Pack-2
9,2,2,{幸运转盘}-{加油包}-5,300,1,1706_8+6_300,0,0,0,0,Lucky Wheel-Boost Pack-5
9,2,3,{幸运转盘}-{加油包}-8,680,1,1706_18+6_680,0,0,0,0,Lucky Wheel-Boost Pack-8
9,2,4,{幸运转盘}-{加油包}-11,1280,1,1706_32+6_1280,0,0,0,0,Lucky Wheel-Boost Pack-11
9,2,5,{幸运转盘}-{加油包}-14,2580,1,1706_64+6_2580,0,0,0,0,Lucky Wheel-Boost Pack-14
9,2,6,{幸运转盘}-{加油包}-17,3880,1,1706_98+6_3880,0,0,0,0,Lucky Wheel-Boost Pack-17
10,1,1,{幸运盲盒}-{补给箱}(I),980,3,1708_20+1211_10+1099_10+6_980,0,0,0,0,Lucky Mystery Box-Supply(I)
10,1,2,{幸运盲盒}-{补给箱}(II),2580,3,1708_50+1211_25+1099_25+6_2580,0,0,0,0,Lucky Mystery Box-Supply(II)
10,1,3,{幸运盲盒}-{补给箱}(III),6480,10,1708_120+1211_60+1099_60+6_6480,0,0,0,0,Lucky Mystery Box-Supply(III)
10,1,4,{幸运盲盒}-{补给箱}(IV),6480,10,1708_120+6_6480,0,0,0,0,Lucky Mystery Box-Supply(IV)
10,2,1,{幸运盲盒}-{加油包}-2,60,1,1708_2+6_60,0,0,0,0,Lucky Mystery Box-Boost Pack-2
10,2,2,{幸运盲盒}-{加油包}-5,300,1,1708_8+6_300,0,0,0,0,Lucky Mystery Box-Boost Pack-5
10,2,3,{幸运盲盒}-{加油包}-8,680,1,1708_18+6_680,0,0,0,0,Lucky Mystery Box-Boost Pack-8
10,2,4,{幸运盲盒}-{加油包}-11,1280,1,1708_32+6_1280,0,0,0,0,Lucky Mystery Box-Boost Pack-11
10,2,5,{幸运盲盒}-{加油包}-14,2580,1,1708_64+6_2580,0,0,0,0,Lucky Mystery Box-Boost Pack-14
10,2,6,{幸运盲盒}-{加油包}-17,3880,1,1708_98+6_3880,0,0,0,0,Lucky Mystery Box-Boost Pack-17
12,1,1,{回归签到} {进阶版},980,1,6_980,0,0,0,0,Return Sign-in Advanced Version
