Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
梅玲,梅玲,MeiLing,メイリン,메이링
普奥娜,普奧娜,Puona,プオナ,푸오나
达比,達比,Darby,ダービー,다비
尤缇迦,尤緹迦,Utija,ウティカ,유티카
帕特拉,帕特拉,Patra,パトラ,파트라
缪西卡,繆西卡,Mousika,ムジカ,무지카
贝拉拉,貝拉拉,Belala,ベララ,벨라라
梦可可,夢可可,Monccoco,モンコッコ,몽코코
露卡,露卡,Luka,ルカ,루카
希娜伽,希娜伽,Synaga,キナカ,키나카
尼可尔,尼克爾,Nicole,ニコール,니콜
雅雅,雅雅,Yaya,ヤヤ,야야
库雷卡,庫雷卡,Cureka,クーレカ,쿠레카
阿古丽娅,阿古麗亞,Aguria,アグリア,아구리아
莱恩娜,萊恩娜,Lenna,レオナ,레오나
觉,覺,Satoru,覚,사토루
蒂尔,蒂爾,Thiel,ティエル,티엘
斐拉,斐拉,Phila,フィラ,필라
奥兰多,奧蘭多,orlando,オーランド,올랜도
夏蒂,夏蒂,Shady,日陰,샤티
贝缇娜,貝緹娜,Bettina,ベティナ,베티나
德琳,德琳,Madeline,マデリーン,마델린
哈娜,哈娜,Hana,ハナ,하나
尤蕾拉,尤蕾拉,Eurella,ユーレラ,유렐라
多莉,多莉,Dolly,ドリー,돌리
莉薇娅,莉薇婭,Livia,リビア,리비아
塞雷娜,塞雷娜,Serena,セレナ,세레나
露娜,露娜,Luna,ルナ,루나
瑶琳,瑶琳,Yao Lin,瑶琳,요린
特典,SP,Sp,SP,SP
铁甲将军,鐵甲將軍,Crocodile,鉄甲将軍,철갑 장군
摩因,摩因,Moin,モイン,모인
库里雷蒙,庫里雷蒙,Currymont,カリーモント,커리몬트
赤达鲁,赤達魯,Chidaru,チダル,치다루
莫里卡特,莫里卡特,Moricart,モリカート,모리카트
杜丽莎,杜麗莎,Teresa,デュリシャ,테레사
克拉肯,克拉肯,Kraken,クラッケン,크라켄
贝塞德,貝塞德,Bayside,ベイサイド,베이사이드
卡塔,卡塔,Carta,カルタ,카르타
强壮蛮族,強壯蠻族,Strong Barbarian,強い蛮族,강한 바바리안
坚韧蛮族,堅韌蠻族,Tough Barbarian,タフな蛮族,강인한 바바리안
莽撞蛮族,莽撞蠻族,Reckless Barbarian,無謀な蛮族,무모한 바바리안
敏捷蛮族,敏捷蠻族,Agile Barbarian,敏捷な蛮族,민첩한 바바리안
小精灵,小精靈,Elf,妖精,꼬마 요정
遗迹龙,遺跡龍,Ruins Dragon,遺跡のドラゴン,유적의 용
小法师,小法師,Little mage,リトルメイジ,작은 마법사
大精灵,大精靈,Big Elf,ビッグエルフ,대정령
大法师,大法師,Archmage,アークメイジ,대마법사
索尔,索爾,Sol,ソール,솔
沙帕,沙帕,Sapa,サパ,사보
达拉斯,達拉斯,Dalas,ダラス,댈러스
霍格,霍格,Hogg,ホグワーツ,헤이그
阿西萨,阿西薩,Assisa,アシサ,아이샤
奥德尔,奧德爾,Oder,オデル,오 델
莱多纳姆,萊多納姆,Ledonam,レドナム,레도넘
哈雷斯,哈雷斯,Harless,ハレス,할리스
利弗,利弗,River,リバド,리버
冬尔顿,冬爾頓,Dalton,トントン,달튼
昆特,昆特,Kunt,昆特,쿤트
伦斯特,倫斯特,Renster,レンスター,미스터
哥顿,哥頓,Gordon's,ゴトン,고든
拉里,拉裏,Larry,ラリー,래리
格力凯特,格力凱特,Glickett,グレイケイト,개리카이트
西多利,西多利,Gunungsitoli,サントリー,서도리
卡萨尔,卡薩爾,Casar,カザル,카사르
格沙图,格沙圖,Geshatu,ゲサ図,쿠샤투
华达,華達,Huada,ネバダ,화려
雷多曼,雷多曼,Redman,レイドマン,레도만
鲁拉卡比,魯拉卡比,Rulakabi,ルラカビー,룰라카비
瑞沙比尔,瑞沙比爾,Risabil,リサビル,레사빌
马克格拉,馬克格拉,Makgra,マルクゲーラ,마크그라
布伦希,布倫希,Brunch,ブリンシ,브론시
沃尔姆斯,沃爾姆斯,Holmes,ヴォルマティアヴォルム,월 무스
尼伯亚,尼伯亞,Nibea,ニーバイア,니베아
卡雷特,卡雷特,Carrett,カレット,카렛
西格夫,西格夫,Sigoff,シグフ,시그프
克琳德,克琳德,Clyde,クレード,클린드
撒奥里,撒奧裏,Sauri,サオリ,사오리
霍斯拉多,霍斯拉多,Hoslado,ホスラド,호슬라도
恶龙,惡龍,Evil Dragon,悪竜,악룡
安琪,安琪,Angie,アンジー,앤지
松涛幻木,松濤幻木,Pinewood Illusion,松涛幻木,송도환목
重岩刀客,重岩刀客,Rockblade Swordsman,重岩刀客,중암검객
冰脊神狐,冰脊神狐,Frostridge Divine Fox,氷脊神狐,빙척신여우
炽焰圣杯,熾焰聖杯,Blazing Holy Grail,烈焰聖杯,치열한 성배
飓风游隼,颶風游隼,Hurricane Peregrine,飛嵐遊隼,허리케인 솔개
原石重暴者,原石重暴者,Primitive Stone Brute,原石重暴者,원석 중폭자
寒冰翼龙,寒冰翼龍,Frostwing Dragon,寒氷翼龍,한빙 익룡
爆裂岩浆怪,爆裂岩漿怪,Eruptive Magma Beast,爆裂岩漿怪,폭발 용암괴물
飞廉蛟龙,飛廉蛟龍,Feilian Dragon,飛廉蛟龍,비련 교룡
土石甲龙,土石甲龍,Stoneclad Earth Dragon,土石甲龍,토석갑룡
冰狱仲裁者,冰獄仲裁者,Frost Prison Arbiter,氷獄仲裁者,빙옥 중재자
淬火执行者,淬火執行者,Quenching Executor,淬火執行者,화염 집행자
红焱使徒,紅焱使徒,Crimson Flame Apostle,紅焰使徒,붉은 불길 사도
天晶楯齿龙,天晶楯齒龍,Heavenly Crystal Placodon,天晶盾歯龍,천결 방패이빨룡
岩溯重坦,岩溯重坦,Rockbound Heavy Tank,岩溯重坦,암석 중장갑
叶鞘豺狼,葉鞘豺狼,Leaf Sheath Jackal,葉鞘豺狼,잎껍질 자칼
暴风君主,暴風君主,Storm Lord,暴風君主,폭풍 군주
泰坦巨人,泰坦巨人,Titan Giant,タイタン巨人,타이탄 거인
寒霜君主,寒霜君主,Frost Lord,寒霜君主,서리 군주
火焰君主,火焰君主,Flame Lord,火焰君主,불꽃 군주
露米,露米,Lumi,ルミ,루미
瑟拉,瑟拉,Sera,セラ,세라
哥布林刺客,哥布林刺客,Goblin Assassin,ゴブリンアサシン,고블린 암살자
哥布林卫士,哥布林衛士,Goblin Guardian,ゴブリンガーディアン,고블린 가디언
哥布林射手,哥布林射手,Goblin Archer,ゴブリンアーチャー,고블린 아처
哥布林战士,哥布林戰士,Goblin Warrior,ゴブリンウォリアー,고블린 전사
哥布林首领,哥布林首領,Goblin Leader,ゴブリン首領,고블린 수령
骷髅卫士,骷髏衛士,Skeleton Guardian,スケルトンガーディアン,해골 가디언
亡灵战士,亡靈戰士,Undead Warrior,アンデッドウォリアー,언데드 전사
骷髅射手,骷髏射手,Skeleton Archer,スケルトンアーチャー,해골 아처
亡灵法师,亡靈法師,Undead Mage,ネクロマンサー,언데드 마법사
骷髅王,骷髏王,Skeleton King,スケルトンキング,해골 왕
费伊,費伊,Faye,フェイ,페이
妮克丝,妮克絲,Nyx,ニクス,닉스
妮娅,妮婭,Niya,ニア,니야
伊莎贝尔,伊莎貝爾,Isabelle,イザベル,이사벨
曦光,曦光,Xiguang,曦光,시광
少年,少年,Youth,少年,소년
小孩,小孩,Child,子供,어린이
路人甲,路人甲,Extra A,通行人A,지나가는 사람A
路人乙,路人乙,Extra B,通行人B,지나가는 사람B
工程师,工程師,Engineer,エンジニア,엔지니어
被封印的恶魔,被封印的惡魔,Sealed Demon,封印された悪魔,봉인된 악마
旁白,旁白,Narration,ナレーション,내레이션
极寒卫士,極寒衛士,Frost Guardian,極寒の衛士,극한의 수호병
极寒战士,極寒戰士,Frost Warrior,極寒の戦士,극한의 전사
极寒盗贼,極寒盜賊,Frost Thief,極寒の盗賊,극한의 도적
极寒角斗士,極寒角鬥士,Frost Gladiator,極寒の剣闘士,극한의 검투사
北境之灵,北境之靈,Northern Lord,北境の精霊王,북지의 영주
海鲨卫士,海鯊衛士,Shark Guardian,海鮫の衛士,해상어 수호병
海鲨刺客,海鯊刺客,Shark Assassin,海鮫の暗殺者,해상어 암살자
海鲨盗贼,海鯊盜賊,Shark Thief,海鮫の盗賊,해상어 도적
海鲨禁军,海鯊禁軍,Shark Elite,海鮫の親衛隊,해상어 친위대
海鲨首领,海鯊首領,Shark Lord,海鮫の頭領,해상어 우두머리
空域守护者,空域守護者,Skyguard,空域の守護者,공역의 수호자
空域战士,空域戰士,Sky Warrior,空域の戦士,공역의 전사
空域弓箭手,空域弓箭手,Sky Archer,空域の弓使い,공역의 궁수
空域刺客,空域刺客,Sky Assassin,空域の暗殺者,공역의 암살자
空域武神,空域武神,Skywarden,空域の武神,공역의 무신
