GroupId,EventId,EventName,TaskId,des,task_con,task_num,reward,Skip,EventName_en,des_en
2,5,{都城建设},4,{对建筑使用加速点} x240,5,240,1_50+3_10+1110_4,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x240
2,5,{都城建设},5,{对建筑使用加速点} x300,5,300,1_50+3_10+1110_4,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x300
2,5,{都城建设},6,{对建筑使用加速点} x360,5,360,1_50+3_10+1110_4,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x360
2,5,{都城建设},7,{对建筑使用加速点} x420,5,420,1_50+3_10+1110_4,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x420
2,5,{都城建设},8,{对建筑使用加速点} x540,5,540,1_100+3_20+1110_8,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x540
2,5,{都城建设},9,{对建筑使用加速点} x660,5,660,1_100+3_20+1110_8,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x660
2,5,{都城建设},10,{对建筑使用加速点} x780,5,780,1_100+3_20+1110_8,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x780
2,5,{都城建设},11,{对建筑使用加速点} x900,5,900,1_100+3_20+1110_8,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x900
2,6,{科学发展},1,{对科技使用加速点} x60,6,60,1_50+3_10+1110_4,SciencePanel,Scientific Development,Use Speedup Points on Technology x60
2,6,{科学发展},2,{对科技使用加速点} x120,6,120,1_50+3_10+1110_4,SciencePanel,Scientific Development,Use Speedup Points on Technology x120
2,6,{科学发展},3,{对科技使用加速点} x180,6,180,1_50+3_10+1110_4,SciencePanel,Scientific Development,Use Speedup Points on Technology x180
2,6,{科学发展},4,{对科技使用加速点} x240,6,240,1_50+3_10+1110_4,SciencePanel,Scientific Development,Use Speedup Points on Technology x240
2,6,{科学发展},5,{对科技使用加速点} x300,6,300,1_50+3_10+1110_4,SciencePanel,Scientific Development,Use Speedup Points on Technology x300
2,6,{科学发展},6,{对科技使用加速点} x360,6,360,1_50+3_10+1110_4,SciencePanel,Scientific Development,Use Speedup Points on Technology x360
2,6,{科学发展},7,{对科技使用加速点} x420,6,420,1_50+3_10+1110_4,SciencePanel,Scientific Development,Use Speedup Points on Technology x420
2,6,{科学发展},8,{对科技使用加速点} x540,6,540,1_100+3_20+1110_8,SciencePanel,Scientific Development,Use Speedup Points on Technology x540
2,6,{科学发展},9,{对科技使用加速点} x660,6,660,1_100+3_20+1110_8,SciencePanel,Scientific Development,Use Speedup Points on Technology x660
2,6,{科学发展},10,{对科技使用加速点} x780,6,780,1_100+3_20+1110_8,SciencePanel,Scientific Development,Use Speedup Points on Technology x780
2,6,{科学发展},11,{对科技使用加速点} x900,6,900,1_100+3_20+1110_8,SciencePanel,Scientific Development,Use Speedup Points on Technology x900
3,7,{天命之人},1,{召唤} {英雄} x10,7,10,1265_1+1403_40+4_40,SumPanel_1,Man of Destiny,Summon Hero x10
3,7,{天命之人},2,{召唤} {英雄} x20,7,20,1265_1+1403_40+4_40,SumPanel_1,Man of Destiny,Summon Hero x20
3,7,{天命之人},3,{召唤} {英雄} x30,7,30,1265_1+1403_40+4_40,SumPanel_1,Man of Destiny,Summon Hero x30
3,7,{天命之人},4,{召唤} {英雄} x40,7,40,1265_1+1403_40+4_40,SumPanel_1,Man of Destiny,Summon Hero x40
3,7,{天命之人},5,{召唤} {英雄} x60,7,60,1265_2+1403_80+4_80,SumPanel_1,Man of Destiny,Summon Hero x60
3,7,{天命之人},6,{召唤} {英雄} x80,7,80,1265_2+1403_80+4_80,SumPanel_1,Man of Destiny,Summon Hero x80
3,7,{天命之人},7,{召唤} {英雄} x100,7,100,1265_2+1403_80+4_80,SumPanel_1,Man of Destiny,Summon Hero x100
3,8,{丛林遗迹},1,{丛林遗迹}-{消耗} {遗迹之证} x1,8,1,1_50+3_10+1110_4,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x1
3,8,{丛林遗迹},2,{丛林遗迹}-{消耗} {遗迹之证} x2,8,2,1_50+3_10+1110_4,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x2
3,8,{丛林遗迹},3,{丛林遗迹}-{消耗} {遗迹之证} x3,8,3,1_50+3_10+1110_4,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x3
3,8,{丛林遗迹},4,{丛林遗迹}-{消耗} {遗迹之证} x4,8,4,1_50+3_10+1110_4,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x4
3,8,{丛林遗迹},5,{丛林遗迹}-{消耗} {遗迹之证} x5,8,5,1_50+3_10+1110_4,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x5
3,8,{丛林遗迹},6,{丛林遗迹}-{消耗} {遗迹之证} x6,8,6,1_50+3_10+1110_4,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x6
3,8,{丛林遗迹},7,{丛林遗迹}-{消耗} {遗迹之证} x7,8,7,1_50+3_10+1110_4,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x7
3,8,{丛林遗迹},8,{丛林遗迹}-{消耗} {遗迹之证} x9,8,9,1_100+3_20+1110_8,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x9
3,8,{丛林遗迹},9,{丛林遗迹}-{消耗} {遗迹之证} x11,8,11,1_100+3_20+1110_8,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x11
3,8,{丛林遗迹},10,{丛林遗迹}-{消耗} {遗迹之证} x13,8,13,1_100+3_20+1110_8,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x13
3,8,{丛林遗迹},11,{丛林遗迹}-{消耗} {遗迹之证} x15,8,15,1_100+3_20+1110_8,"TeamInfoPanel_1,0,1",Jungle Ruins,Jungle Ruins-Consume Relic Certificate x15
3,9,{沙漠遗迹},1,{沙漠遗迹}-{消耗} {遗迹之证} x1,9,1,1_50+3_10+1110_4,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x1
3,9,{沙漠遗迹},2,{沙漠遗迹}-{消耗} {遗迹之证} x2,9,2,1_50+3_10+1110_4,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x2
3,9,{沙漠遗迹},3,{沙漠遗迹}-{消耗} {遗迹之证} x3,9,3,1_50+3_10+1110_4,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x3
3,9,{沙漠遗迹},4,{沙漠遗迹}-{消耗} {遗迹之证} x4,9,4,1_50+3_10+1110_4,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x4
3,9,{沙漠遗迹},5,{沙漠遗迹}-{消耗} {遗迹之证} x5,9,5,1_50+3_10+1110_4,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x5
3,9,{沙漠遗迹},6,{沙漠遗迹}-{消耗} {遗迹之证} x6,9,6,1_50+3_10+1110_4,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x6
3,9,{沙漠遗迹},7,{沙漠遗迹}-{消耗} {遗迹之证} x7,9,7,1_50+3_10+1110_4,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x7
3,9,{沙漠遗迹},8,{沙漠遗迹}-{消耗} {遗迹之证} x9,9,9,1_100+3_20+1110_8,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x9
3,9,{沙漠遗迹},9,{沙漠遗迹}-{消耗} {遗迹之证} x11,9,11,1_100+3_20+1110_8,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x11
3,9,{沙漠遗迹},10,{沙漠遗迹}-{消耗} {遗迹之证} x13,9,13,1_100+3_20+1110_8,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x13
3,9,{沙漠遗迹},11,{沙漠遗迹}-{消耗} {遗迹之证} x15,9,15,1_100+3_20+1110_8,"TeamInfoPanel_2,0,1",Desert Ruins,Desert Ruins-Consume Relic Certificate x15
4,10,{神兵降世},1,{召唤} {圣物} x10,10,10,1266_1+1403_40+4_40,SumPanel_4,Soldier Advent,Summon Relic x10
4,10,{神兵降世},2,{召唤} {圣物} x20,10,20,1266_1+1403_40+4_40,SumPanel_4,Soldier Advent,Summon Relic x20
4,10,{神兵降世},3,{召唤} {圣物} x30,10,30,1266_1+1403_40+4_40,SumPanel_4,Soldier Advent,Summon Relic x30
4,10,{神兵降世},4,{召唤} {圣物} x40,10,40,1266_1+1403_40+4_40,SumPanel_4,Soldier Advent,Summon Relic x40
4,10,{神兵降世},5,{召唤} {圣物} x60,10,60,1266_2+1403_80+4_80,SumPanel_4,Soldier Advent,Summon Relic x60
4,10,{神兵降世},6,{召唤} {圣物} x80,10,80,1266_2+1403_80+4_80,SumPanel_4,Soldier Advent,Summon Relic x80
4,10,{神兵降世},7,{召唤} {圣物} x100,10,100,1266_2+1403_80+4_80,SumPanel_4,Soldier Advent,Summon Relic x100
4,11,{冰雪遗迹},1,{冰雪遗迹}-{消耗} {遗迹之证} x1,11,1,1_50+3_10+1110_4,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x1
4,11,{冰雪遗迹},2,{冰雪遗迹}-{消耗} {遗迹之证} x2,11,2,1_50+3_10+1110_4,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x2
4,11,{冰雪遗迹},3,{冰雪遗迹}-{消耗} {遗迹之证} x3,11,3,1_50+3_10+1110_4,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x3
4,11,{冰雪遗迹},4,{冰雪遗迹}-{消耗} {遗迹之证} x4,11,4,1_50+3_10+1110_4,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x4
4,11,{冰雪遗迹},5,{冰雪遗迹}-{消耗} {遗迹之证} x5,11,5,1_50+3_10+1110_4,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x5
4,11,{冰雪遗迹},6,{冰雪遗迹}-{消耗} {遗迹之证} x6,11,6,1_50+3_10+1110_4,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x6
4,11,{冰雪遗迹},7,{冰雪遗迹}-{消耗} {遗迹之证} x7,11,7,1_50+3_10+1110_4,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x7
4,11,{冰雪遗迹},8,{冰雪遗迹}-{消耗} {遗迹之证} x9,11,9,1_100+3_20+1110_8,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x9
4,11,{冰雪遗迹},9,{冰雪遗迹}-{消耗} {遗迹之证} x11,11,11,1_100+3_20+1110_8,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x11
4,11,{冰雪遗迹},10,{冰雪遗迹}-{消耗} {遗迹之证} x13,11,13,1_100+3_20+1110_8,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x13
4,11,{冰雪遗迹},11,{冰雪遗迹}-{消耗} {遗迹之证} x15,11,15,1_100+3_20+1110_8,"TeamInfoPanel_3,0,1",Snow Ruins,Snow Ruins-Consume Relic Certificate x15
4,12,{熔岩遗迹},1,{熔岩遗迹}-{消耗} {遗迹之证} x1,12,1,1_50+3_10+1110_4,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x1
4,12,{熔岩遗迹},2,{熔岩遗迹}-{消耗} {遗迹之证} x2,12,2,1_50+3_10+1110_4,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x2
4,12,{熔岩遗迹},3,{熔岩遗迹}-{消耗} {遗迹之证} x3,12,3,1_50+3_10+1110_4,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x3
4,12,{熔岩遗迹},4,{熔岩遗迹}-{消耗} {遗迹之证} x4,12,4,1_50+3_10+1110_4,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x4
4,12,{熔岩遗迹},5,{熔岩遗迹}-{消耗} {遗迹之证} x5,12,5,1_50+3_10+1110_4,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x5
4,12,{熔岩遗迹},6,{熔岩遗迹}-{消耗} {遗迹之证} x6,12,6,1_50+3_10+1110_4,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x6
4,12,{熔岩遗迹},7,{熔岩遗迹}-{消耗} {遗迹之证} x7,12,7,1_50+3_10+1110_4,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x7
4,12,{熔岩遗迹},8,{熔岩遗迹}-{消耗} {遗迹之证} x9,12,9,1_100+3_20+1110_8,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x9
4,12,{熔岩遗迹},9,{熔岩遗迹}-{消耗} {遗迹之证} x11,12,11,1_100+3_20+1110_8,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x11
4,12,{熔岩遗迹},10,{熔岩遗迹}-{消耗} {遗迹之证} x13,12,13,1_100+3_20+1110_8,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x13
4,12,{熔岩遗迹},11,{熔岩遗迹}-{消耗} {遗迹之证} x15,12,15,1_100+3_20+1110_8,"TeamInfoPanel_4,0,1",Lava Ruins,Lava Ruins-Consume Relic Certificate x15
