gateNum,NeedLv,FirstAward,Income,AiInfo
28,2,1205_1+12_37000+3_7+1105_14,11_1620+2100_2+21_81+22_81+23_81+24_40,70028_14_1_1.16
29,2,1205_1+12_38000+3_7+1105_14,11_1660+2100_2+21_83+22_83+23_83+24_41,70029_14_1_1.17
30,2,1205_1+12_39000+3_7+1105_14,11_1700+2100_2+21_85+22_85+23_85+24_42,70030_15_1_1.17
31,2,1205_1+12_40000+3_8+1105_16,11_1740+2100_2+21_87+22_87+23_87+24_43,70031_15_1_1.18
32,2,1205_1+12_41000+3_8+1105_16,11_1780+2100_2+21_89+22_89+23_89+24_44,70032_15_1_1.19
33,2,1205_1+12_42000+3_8+1105_16,11_1820+2100_2+21_91+22_91+23_91+24_45,70033_15_1_1.19
34,2,1205_1+12_43000+3_8+1105_16,11_1860+2100_2+21_93+22_93+23_93+24_46,70034_15_1_1.2
35,2,1205_1+12_44000+3_8+1105_16,11_1900+2100_2+21_95+22_95+23_95+24_47,70035_15_1_1.2
36,2,1205_1+12_45000+3_8+1105_16,11_1940+2100_2+21_97+22_97+23_97+24_48,70036_16_1_1.21
37,2,1205_1+12_46000+3_8+1105_16,11_1980+2100_2+21_99+22_99+23_99+24_49,70037_16_1_1.22
38,2,1205_1+12_47000+3_8+1105_16,11_2020+2100_2+21_101+22_101+23_101+24_50,70038_16_1_1.22
39,2,1205_1+12_48000+3_8+1105_16,11_2060+2100_2+21_103+22_103+23_103+24_51,70039_16_1_1.23
40,2,1205_1+12_49000+3_8+1105_16,11_2100+2100_2+21_105+22_105+23_105+24_52,70040_16_1_1.23
41,2,1205_1+12_50000+3_9+1105_18,11_2140+2100_2+21_107+22_107+23_107+24_53,"70041,70042_17_1_1.24"
42,2,1205_1+12_51000+3_9+1105_18,11_2180+2100_2+21_109+22_109+23_109+24_54,"70043,70044_17_1_1.25"
43,2,1205_1+12_52000+3_9+1105_18,11_2220+2100_2+21_111+22_111+23_111+24_55,"70045,70046_17_1_1.25"
44,2,1205_1+12_53000+3_9+1105_18,11_2260+2100_2+21_113+22_113+23_113+24_56,"70047,70048_17_1_1.26"
45,2,1205_1+12_54000+3_9+1105_18,11_2300+2100_2+21_115+22_115+23_115+24_57,"70049,70050_17_1_1.26"
46,2,1205_1+12_55000+3_9+1105_18,11_2340+2100_2+21_117+22_117+23_117+24_58,"70051,70052_17_1_1.27"
47,2,1205_1+12_56000+3_9+1105_18,11_2380+2100_2+21_119+22_119+23_119+24_59,"70053,70054_18_1_1.28"
48,2,1205_1+12_57000+3_9+1105_18,11_2420+2100_2+21_121+22_121+23_121+24_60,"70055,70056_18_1_1.28"
49,3,1205_1+12_58000+3_9+1105_18,11_2480+2100_2+21_124+22_124+23_124+24_62,"70057,70058_18_1_1.29"
50,3,1205_1+12_59000+3_9+1105_18,11_2540+2100_2+21_127+22_127+23_127+24_63,"70059,70060_18_1_1.29"
51,3,1205_1+12_60000+3_10+1105_20,11_2600+2100_2+21_130+22_130+23_130+24_65,"70061,70062_18_1_1.3"
52,3,1205_1+12_61000+3_10+1105_20,11_2660+2100_2+21_133+22_133+23_133+24_66,"70063,70064_18_1_1.31"
53,3,1205_1+12_62000+3_10+1105_20,11_2720+2100_2+21_136+22_136+23_136+24_68,"70065,70066_19_1_1.31"
54,3,1205_1+12_63000+3_10+1105_20,11_2780+2100_2+21_139+22_139+23_139+24_69,"70067,70068_19_1_1.32"
55,3,1205_1+12_64000+3_10+1105_20,11_2840+2100_2+21_142+22_142+23_142+24_71,"70069,70070_19_1_1.32"
56,3,1205_1+12_65000+3_10+1105_20,11_2900+2100_2+21_145+22_145+23_145+24_72,"70071,70072_19_1_1.33"
57,3,1205_1+12_66000+3_10+1105_20,11_2960+2100_2+21_148+22_148+23_148+24_74,"70073,70074_19_1_1.34"
58,3,1205_1+12_67000+3_10+1105_20,11_3020+2100_2+21_151+22_151+23_151+24_75,"70075,70076_19_1_1.34"
59,3,1205_1+12_68000+3_10+1105_20,11_3080+2100_2+21_154+22_154+23_154+24_77,"70077,70078_20_1_1.35"
60,3,1205_1+12_69000+3_10+1105_20,11_3140+2100_2+21_157+22_157+23_157+24_78,"70079,70080_20_1_1.35"
61,3,1205_1+12_70000+3_11+1105_22,11_3200+2100_2+21_160+22_160+23_160+24_80,"70081,70082_20_1_1.36"
62,3,1205_1+12_71000+3_11+1105_22,11_3260+2100_2+21_163+22_163+23_163+24_81,"70083,70084_20_1_1.37"
63,3,1205_1+12_72000+3_11+1105_22,11_3320+2100_2+21_166+22_166+23_166+24_83,"70085,70086_20_1_1.37"
64,3,1205_1+12_73000+3_11+1105_22,11_3380+2100_2+21_169+22_169+23_169+24_84,"70087,70088_21_1_1.38"
65,3,1205_1+12_74000+3_11+1105_22,11_3440+2100_2+21_172+22_172+23_172+24_86,"70089,70090_21_1_1.38"
66,3,1205_1+12_75000+3_11+1105_22,11_3500+2100_2+21_175+22_175+23_175+24_87,"70091,70092_21_1_1.39"
67,3,1205_1+12_76000+3_11+1105_22,11_3560+2100_2+21_178+22_178+23_178+24_89,"70093,70094_21_1_1.4"
68,3,1205_1+12_77000+3_11+1105_22,11_3620+2100_2+21_181+22_181+23_181+24_90,"70095,70096_21_1_1.4"
69,3,1205_1+12_78000+3_11+1105_22,11_3680+2100_2+21_184+22_184+23_184+24_92,"70097,70098_21_1_1.41"
70,3,1205_1+12_79000+3_11+1105_22,11_3740+2100_2+21_187+22_187+23_187+24_93,"70099,70100_22_1_1.41"
71,3,1205_1+12_80000+3_12+1105_24,11_3800+2100_2+21_190+22_190+23_190+24_95,"70101,70102_22_1_1.42"
72,3,1205_1+12_81000+3_12+1105_24,11_3860+2100_2+21_193+22_193+23_193+24_96,"70103,70104_22_1_1.43"
73,4,1205_1+12_82000+3_12+1105_24,11_3940+2100_3+21_197+22_197+23_197+24_98,"70105,70106_22_1_1.43"
74,4,1205_1+12_83000+3_12+1105_24,11_4020+2100_3+21_201+22_201+23_201+24_100,"70107,70108_22_1_1.44"
75,4,1205_1+12_84000+3_12+1105_24,11_4100+2100_3+21_205+22_205+23_205+24_102,"70109,70110_22_1_1.44"
76,4,1205_1+12_85000+3_12+1105_24,11_4180+2100_3+21_209+22_209+23_209+24_104,"70111,70112_23_1_1.45"
77,4,1205_1+12_86000+3_12+1105_24,11_4260+2100_3+21_213+22_213+23_213+24_106,"70113,70114_23_1_1.46"
78,4,1205_1+12_87000+3_12+1105_24,11_4340+2100_3+21_217+22_217+23_217+24_108,"70115,70116_23_1_1.46"
79,4,1205_1+12_88000+3_12+1105_24,11_4420+2100_3+21_221+22_221+23_221+24_110,"70117,70118_23_1_1.47"
80,4,1205_1+12_89000+3_12+1105_24,11_4500+2100_3+21_225+22_225+23_225+24_112,"70119,70120_23_1_1.47"
81,4,1205_1+12_90000+3_13+1105_26,11_4580+2100_3+21_229+22_229+23_229+24_114,"70121,70122,70123_24_1_1.48"
82,4,1205_1+12_91000+3_13+1105_26,11_4660+2100_3+21_233+22_233+23_233+24_116,"70124,70125,70126_24_1_1.49"
83,4,1205_1+12_92000+3_13+1105_26,11_4740+2100_3+21_237+22_237+23_237+24_118,"70127,70128,70129_24_1_1.49"
84,4,1205_1+12_93000+3_13+1105_26,11_4820+2100_3+21_241+22_241+23_241+24_120,"70130,70131,70132_24_1_1.5"
85,4,1205_1+12_94000+3_13+1105_26,11_4900+2100_3+21_245+22_245+23_245+24_122,"70133,70134,70135_24_1_1.5"
86,4,1205_1+12_95000+3_13+1105_26,11_4980+2100_3+21_249+22_249+23_249+24_124,"70136,70137,70138_24_1_1.51"
87,4,1205_1+12_96000+3_13+1105_26,11_5060+2100_3+21_253+22_253+23_253+24_126,"70139,70140,70141_25_1_1.52"
88,4,1205_1+12_97000+3_13+1105_26,11_5140+2100_3+21_257+22_257+23_257+24_128,"70142,70143,70144_25_1_1.52"
89,4,1205_1+12_98000+3_13+1105_26,11_5220+2100_3+21_261+22_261+23_261+24_130,"70145,70146,70147_25_1_1.53"
90,4,1205_1+12_99000+3_13+1105_26,11_5300+2100_3+21_265+22_265+23_265+24_132,"70148,70149,70150_25_1_1.53"
91,4,1205_1+12_100000+3_14+1105_28,11_5380+2100_3+21_269+22_269+23_269+24_134,"70151,70152,70153_25_1_1.54"
92,4,1205_1+12_101000+3_14+1105_28,11_5460+2100_3+21_273+22_273+23_273+24_136,"70154,70155,70156_25_1_1.55"
93,4,1205_1+12_102000+3_14+1105_28,11_5540+2100_3+21_277+22_277+23_277+24_138,"70157,70158,70159_26_1_1.55"
94,4,1205_1+12_103000+3_14+1105_28,11_5620+2100_3+21_281+22_281+23_281+24_140,"70160,70161,70162_26_1_1.56"
95,4,1205_1+12_104000+3_14+1105_28,11_5700+2100_3+21_285+22_285+23_285+24_142,"70163,70164,70165_26_1_1.56"
96,4,1205_1+12_105000+3_14+1105_28,11_5780+2100_3+21_289+22_289+23_289+24_144,"70166,70167,70168_26_1_1.57"
97,5,1205_1+12_106000+3_14+1105_28,11_5880+2100_3+21_294+22_294+23_294+24_147,"70169,70170,70171_26_1_1.58"
98,5,1205_1+12_107000+3_14+1105_28,11_5980+2100_3+21_299+22_299+23_299+24_149,"70172,70173,70174_26_1_1.58"
99,5,1205_1+12_108000+3_14+1105_28,11_6080+2100_3+21_304+22_304+23_304+24_152,"70175,70176,70177_27_1_1.59"
100,5,1205_1+12_109000+3_14+1105_28,11_6180+2100_3+21_309+22_309+23_309+24_154,"70178,70179,70180_27_1_1.59"
101,5,1205_1+12_110000+3_15+1105_30,11_6280+2100_3+21_314+22_314+23_314+24_157,"70181,70182,70183_27_1_1.6"
102,5,1205_1+12_111000+3_15+1105_30,11_6380+2100_3+21_319+22_319+23_319+24_159,"70184,70185,70186_27_1_1.61"
103,5,1205_1+12_112000+3_15+1105_30,11_6480+2100_3+21_324+22_324+23_324+24_162,"70187,70188,70189_27_1_1.61"
104,5,1205_1+12_113000+3_15+1105_30,11_6580+2100_3+21_329+22_329+23_329+24_164,"70190,70191,70192_28_1_1.62"
105,5,1205_1+12_114000+3_15+1105_30,11_6680+2100_3+21_334+22_334+23_334+24_167,"70193,70194,70195_28_1_1.62"
106,5,1205_1+12_115000+3_15+1105_30,11_6780+2100_3+21_339+22_339+23_339+24_169,"70196,70197,70198_28_1_1.63"
107,5,1205_1+12_116000+3_15+1105_30,11_6880+2100_3+21_344+22_344+23_344+24_172,"70199,70200,70201_28_1_1.64"
108,5,1205_1+12_117000+3_15+1105_30,11_6980+2100_3+21_349+22_349+23_349+24_174,"70202,70203,70204_28_1_1.64"
109,5,1205_1+12_118000+3_15+1105_30,11_7080+2100_3+21_354+22_354+23_354+24_177,"70205,70206,70207_28_1_1.65"
110,5,1205_1+12_119000+3_15+1105_30,11_7180+2100_3+21_359+22_359+23_359+24_179,"70208,70209,70210_29_1_1.65"
111,5,1205_1+12_120000+3_16+1105_32,11_7280+2100_3+21_364+22_364+23_364+24_182,"70211,70212,70213_29_1_1.66"
112,5,1205_1+12_121000+3_16+1105_32,11_7380+2100_3+21_369+22_369+23_369+24_184,"70214,70215,70216_29_1_1.67"
113,5,1205_1+12_122000+3_16+1105_32,11_7480+2100_3+21_374+22_374+23_374+24_187,"70217,70218,70219_29_1_1.67"
114,5,1205_1+12_123000+3_16+1105_32,11_7580+2100_3+21_379+22_379+23_379+24_189,"70220,70221,70222_29_1_1.68"
115,5,1205_1+12_124000+3_16+1105_32,11_7680+2100_3+21_384+22_384+23_384+24_192,"70223,70224,70225_29_1_1.68"
116,5,1205_1+12_125000+3_16+1105_32,11_7780+2100_3+21_389+22_389+23_389+24_194,"70226,70227,70228_30_1_1.69"
117,5,1205_1+12_126000+3_16+1105_32,11_7880+2100_3+21_394+22_394+23_394+24_197,"70229,70230,70231_30_1_1.7"
118,5,1205_1+12_127000+3_16+1105_32,11_7980+2100_3+21_399+22_399+23_399+24_199,"70232,70233,70234_30_1_1.7"
119,5,1205_1+12_128000+3_16+1105_32,11_8080+2100_3+21_404+22_404+23_404+24_202,"70235,70236,70237_30_1_1.71"
120,5,1205_1+12_129000+3_16+1105_32,11_8180+2100_3+21_409+22_409+23_409+24_204,"70238,70239,70240_30_1_1.71"
121,6,1205_1+12_130000+3_17+1105_34,11_8300+2100_4+21_415+22_415+23_415+24_207,"70241,70242,70243,70244_31_1_1.72"
122,6,1205_1+12_131000+3_17+1105_34,11_8420+2100_4+21_421+22_421+23_421+24_210,"70245,70246,70247,70248_31_1_1.73"
123,6,1205_1+12_132000+3_17+1105_34,11_8540+2100_4+21_427+22_427+23_427+24_213,"70249,70250,70251,70252_31_1_1.73"
124,6,1205_1+12_133000+3_17+1105_34,11_8660+2100_4+21_433+22_433+23_433+24_216,"70253,70254,70255,70256_31_1_1.74"
125,6,1205_1+12_134000+3_17+1105_34,11_8780+2100_4+21_439+22_439+23_439+24_219,"70257,70258,70259,70260_31_1_1.74"
126,6,1205_1+12_135000+3_17+1105_34,11_8900+2100_4+21_445+22_445+23_445+24_222,"70261,70262,70263,70264_31_1_1.75"
127,6,1205_1+12_136000+3_17+1105_34,11_9020+2100_4+21_451+22_451+23_451+24_225,"70265,70266,70267,70268_32_1_1.76"
128,6,1205_1+12_137000+3_17+1105_34,11_9140+2100_4+21_457+22_457+23_457+24_228,"70269,70270,70271,70272_32_1_1.76"
129,6,1205_1+12_138000+3_17+1105_34,11_9260+2100_4+21_463+22_463+23_463+24_231,"70273,70274,70275,70276_32_1_1.77"
130,6,1205_1+12_139000+3_17+1105_34,11_9380+2100_4+21_469+22_469+23_469+24_234,"70277,70278,70279,70280_32_1_1.77"
131,6,1205_1+12_140000+3_18+1105_36,11_9500+2100_4+21_475+22_475+23_475+24_237,"70281,70282,70283,70284_32_1_1.78"
132,6,1205_1+12_141000+3_18+1105_36,11_9620+2100_4+21_481+22_481+23_481+24_240,"70285,70286,70287,70288_32_1_1.79"
133,6,1205_1+12_142000+3_18+1105_36,11_9740+2100_4+21_487+22_487+23_487+24_243,"70289,70290,70291,70292_33_1_1.79"
134,6,1205_1+12_143000+3_18+1105_36,11_9860+2100_4+21_493+22_493+23_493+24_246,"70293,70294,70295,70296_33_1_1.8"
135,6,1205_1+12_144000+3_18+1105_36,11_9980+2100_4+21_499+22_499+23_499+24_249,"70297,70298,70299,70300_33_1_1.8"
136,6,1205_1+12_145000+3_18+1105_36,11_10100+2100_4+21_505+22_505+23_505+24_252,"70301,70302,70303,70304_33_1_1.81"
137,6,1205_1+12_146000+3_18+1105_36,11_10220+2100_4+21_511+22_511+23_511+24_255,"70305,70306,70307,70308_33_1_1.82"
138,6,1205_1+12_147000+3_18+1105_36,11_10340+2100_4+21_517+22_517+23_517+24_258,"70309,70310,70311,70312_33_1_1.82"
139,6,1205_1+12_148000+3_18+1105_36,11_10460+2100_4+21_523+22_523+23_523+24_261,"70313,70314,70315,70316_34_1_1.83"
140,6,1205_1+12_149000+3_18+1105_36,11_10580+2100_4+21_529+22_529+23_529+24_264,"70317,70318,70319,70320_34_1_1.83"
141,6,1205_1+12_150000+3_19+1105_38,11_10700+2100_4+21_535+22_535+23_535+24_267,"70321,70322,70323,70324_34_1_1.84"
142,6,1205_1+12_151000+3_19+1105_38,11_10820+2100_4+21_541+22_541+23_541+24_270,"70325,70326,70327,70328_34_1_1.85"
143,6,1205_1+12_152000+3_19+1105_38,11_10940+2100_4+21_547+22_547+23_547+24_273,"70329,70330,70331,70332_34_1_1.85"
144,6,1205_1+12_153000+3_19+1105_38,11_11060+2100_4+21_553+22_553+23_553+24_276,"70333,70334,70335,70336_35_1_1.86"
145,7,1205_1+12_154000+3_19+1105_38,11_11200+2100_4+21_560+22_560+23_560+24_280,"70337,70338,70339,70340_35_1_1.86"
146,7,1205_1+12_155000+3_19+1105_38,11_11340+2100_4+21_567+22_567+23_567+24_283,"70341,70342,70343,70344_35_1_1.87"
147,7,1205_1+12_156000+3_19+1105_38,11_11480+2100_4+21_574+22_574+23_574+24_287,"70345,70346,70347,70348_35_1_1.88"
148,7,1205_1+12_157000+3_19+1105_38,11_11620+2100_4+21_581+22_581+23_581+24_290,"70349,70350,70351,70352_35_1_1.88"
149,7,1205_1+12_158000+3_19+1105_38,11_11760+2100_4+21_588+22_588+23_588+24_294,"70353,70354,70355,70356_35_1_1.89"
150,7,1205_1+12_159000+3_19+1105_38,11_11900+2100_4+21_595+22_595+23_595+24_297,"70357,70358,70359,70360_36_1_1.89"
151,7,1205_1+12_160000+3_20+1105_40,11_12040+2100_4+21_602+22_602+23_602+24_301,"70361,70362,70363,70364_36_1_1.9"
152,7,1205_1+12_161000+3_20+1105_40,11_12180+2100_4+21_609+22_609+23_609+24_304,"70365,70366,70367,70368_36_1_1.91"
153,7,1205_1+12_162000+3_20+1105_40,11_12320+2100_4+21_616+22_616+23_616+24_308,"70369,70370,70371,70372_36_1_1.91"
154,7,1205_1+12_163000+3_20+1105_40,11_12460+2100_4+21_623+22_623+23_623+24_311,"70373,70374,70375,70376_36_1_1.92"
155,7,1205_1+12_164000+3_20+1105_40,11_12600+2100_4+21_630+22_630+23_630+24_315,"70377,70378,70379,70380_36_1_1.92"
156,7,1205_1+12_165000+3_20+1105_40,11_12740+2100_4+21_637+22_637+23_637+24_318,"70381,70382,70383,70384_37_1_1.93"
157,7,1205_1+12_166000+3_20+1105_40,11_12880+2100_4+21_644+22_644+23_644+24_322,"70385,70386,70387,70388_37_1_1.94"
158,7,1205_1+12_167000+3_20+1105_40,11_13020+2100_4+21_651+22_651+23_651+24_325,"70389,70390,70391,70392_37_1_1.94"
159,7,1205_1+12_168000+3_20+1105_40,11_13160+2100_4+21_658+22_658+23_658+24_329,"70393,70394,70395,70396_37_1_1.95"
160,7,1205_1+12_169000+3_20+1105_40,11_13300+2100_4+21_665+22_665+23_665+24_332,"70397,70398,70399,70400_37_1_1.95"
161,7,1205_1+12_170000+3_21+1105_42,11_13440+2100_4+21_672+22_672+23_672+24_336,"70401,70402,70403,70404,70405_38_1_1.96"
162,7,1205_1+12_171000+3_21+1105_42,11_13580+2100_4+21_679+22_679+23_679+24_339,"70406,70407,70408,70409,70410_38_1_1.97"
163,7,1205_1+12_172000+3_21+1105_42,11_13720+2100_4+21_686+22_686+23_686+24_343,"70411,70412,70413,70414,70415_38_1_1.97"
164,7,1205_1+12_173000+3_21+1105_42,11_13860+2100_4+21_693+22_693+23_693+24_346,"70416,70417,70418,70419,70420_38_1_1.98"
165,7,1205_1+12_174000+3_21+1105_42,11_14000+2100_4+21_700+22_700+23_700+24_350,"70421,70422,70423,70424,70425_38_1_1.98"
166,7,1205_1+12_175000+3_21+1105_42,11_14140+2100_4+21_707+22_707+23_707+24_353,"70426,70427,70428,70429,70430_38_1_1.99"
167,7,1205_1+12_176000+3_21+1105_42,11_14280+2100_4+21_714+22_714+23_714+24_357,"70431,70432,70433,70434,70435_39_1_2"
168,7,1205_1+12_177000+3_21+1105_42,11_14420+2100_4+21_721+22_721+23_721+24_360,"70436,70437,70438,70439,70440_39_1_2"
169,8,1205_1+12_178000+3_21+1105_42,11_14580+2100_5+21_729+22_729+23_729+24_364,"70441,70442,70443,70444,70445_39_1_2.01"
170,8,1205_1+12_179000+3_21+1105_42,11_14740+2100_5+21_737+22_737+23_737+24_368,"70446,70447,70448,70449,70450_39_1_2.01"
171,8,1205_1+12_180000+3_22+1105_44,11_14900+2100_5+21_745+22_745+23_745+24_372,"70451,70452,70453,70454,70455_39_1_2.02"
172,8,1205_1+12_181000+3_22+1105_44,11_15060+2100_5+21_753+22_753+23_753+24_376,"70456,70457,70458,70459,70460_39_1_2.03"
173,8,1205_1+12_182000+3_22+1105_44,11_15220+2100_5+21_761+22_761+23_761+24_380,"70461,70462,70463,70464,70465_40_1_2.03"
174,8,1205_1+12_183000+3_22+1105_44,11_15380+2100_5+21_769+22_769+23_769+24_384,"70466,70467,70468,70469,70470_40_1_2.04"
175,8,1205_1+12_184000+3_22+1105_44,11_15540+2100_5+21_777+22_777+23_777+24_388,"70471,70472,70473,70474,70475_40_1_2.04"
176,8,1205_1+12_185000+3_22+1105_44,11_15700+2100_5+21_785+22_785+23_785+24_392,"70476,70477,70478,70479,70480_40_1_2.05"
177,8,1205_1+12_186000+3_22+1105_44,11_15860+2100_5+21_793+22_793+23_793+24_396,"70481,70482,70483,70484,70485_40_1_2.06"
178,8,1205_1+12_187000+3_22+1105_44,11_16020+2100_5+21_801+22_801+23_801+24_400,"70486,70487,70488,70489,70490_40_1_2.06"
179,8,1205_1+12_188000+3_22+1105_44,11_16180+2100_5+21_809+22_809+23_809+24_404,"70491,70492,70493,70494,70495_41_1_2.07"
180,8,1205_1+12_189000+3_22+1105_44,11_16340+2100_5+21_817+22_817+23_817+24_408,"70496,70497,70498,70499,70500_41_1_2.07"
181,8,1205_1+12_190000+3_23+1105_46,11_16500+2100_5+21_825+22_825+23_825+24_412,"70501,70502,70503,70504,70505_41_1_2.08"
182,8,1205_1+12_191000+3_23+1105_46,11_16660+2100_5+21_833+22_833+23_833+24_416,"70506,70507,70508,70509,70510_41_1_2.09"
183,8,1205_1+12_192000+3_23+1105_46,11_16820+2100_5+21_841+22_841+23_841+24_420,"70511,70512,70513,70514,70515_41_1_2.09"
184,8,1205_1+12_193000+3_23+1105_46,11_16980+2100_5+21_849+22_849+23_849+24_424,"70516,70517,70518,70519,70520_42_1_2.1"
185,8,1205_1+12_194000+3_23+1105_46,11_17140+2100_5+21_857+22_857+23_857+24_428,"70521,70522,70523,70524,70525_42_1_2.1"
186,8,1205_1+12_195000+3_23+1105_46,11_17300+2100_5+21_865+22_865+23_865+24_432,"70526,70527,70528,70529,70530_42_1_2.11"
187,8,1205_1+12_196000+3_23+1105_46,11_17460+2100_5+21_873+22_873+23_873+24_436,"70531,70532,70533,70534,70535_42_1_2.12"
188,8,1205_1+12_197000+3_23+1105_46,11_17620+2100_5+21_881+22_881+23_881+24_440,"70536,70537,70538,70539,70540_42_1_2.12"
189,8,1205_1+12_198000+3_23+1105_46,11_17780+2100_5+21_889+22_889+23_889+24_444,"70541,70542,70543,70544,70545_42_1_2.13"
190,8,1205_1+12_199000+3_23+1105_46,11_17940+2100_5+21_897+22_897+23_897+24_448,"70546,70547,70548,70549,70550_43_1_2.13"
191,8,1205_1+12_200000+3_24+1105_48,11_18100+2100_5+21_905+22_905+23_905+24_452,"70551,70552,70553,70554,70555_43_1_2.14"
192,8,1205_1+12_201000+3_24+1105_48,11_18260+2100_5+21_913+22_913+23_913+24_456,"70556,70557,70558,70559,70560_43_1_2.15"
193,9,1205_1+12_202000+3_24+1105_48,11_18440+2100_5+21_922+22_922+23_922+24_461,"70561,70562,70563,70564,70565_43_1_2.15"
194,9,1205_1+12_203000+3_24+1105_48,11_18620+2100_5+21_931+22_931+23_931+24_465,"70566,70567,70568,70569,70570_43_1_2.16"
195,9,1205_1+12_204000+3_24+1105_48,11_18800+2100_5+21_940+22_940+23_940+24_470,"70571,70572,70573,70574,70575_43_1_2.16"
196,9,1205_1+12_205000+3_24+1105_48,11_18980+2100_5+21_949+22_949+23_949+24_474,"70576,70577,70578,70579,70580_44_1_2.17"
197,9,1205_1+12_206000+3_24+1105_48,11_19160+2100_5+21_958+22_958+23_958+24_479,"70581,70582,70583,70584,70585_44_1_2.18"
198,9,1205_1+12_207000+3_24+1105_48,11_19340+2100_5+21_967+22_967+23_967+24_483,"70586,70587,70588,70589,70590_44_1_2.18"
199,9,1205_1+12_208000+3_24+1105_48,11_19520+2100_5+21_976+22_976+23_976+24_488,"70591,70592,70593,70594,70595_44_1_2.19"
200,9,1205_1+12_209000+3_24+1105_48,11_19700+2100_5+21_985+22_985+23_985+24_492,"70596,70597,70598,70599,70600_44_1_2.19"
201,9,1205_1+12_210000+3_25+1105_50,11_19880+2100_5+21_994+22_994+23_994+24_497,"70601,70602,70603,70604,70605,70601_45_1_2.2"
202,9,1205_1+12_211000+3_25+1105_50,11_20060+2100_5+21_1003+22_1003+23_1003+24_501,"70606,70607,70608,70609,70610,70606_45_1_2.21"
203,9,1205_1+12_212000+3_25+1105_50,11_20240+2100_5+21_1012+22_1012+23_1012+24_506,"70611,70612,70613,70614,70615,70611_45_1_2.21"
204,9,1205_1+12_213000+3_25+1105_50,11_20420+2100_5+21_1021+22_1021+23_1021+24_510,"70616,70617,70618,70619,70620,70616_45_1_2.22"
205,9,1205_1+12_214000+3_25+1105_50,11_20600+2100_5+21_1030+22_1030+23_1030+24_515,"70621,70622,70623,70624,70625,70621_45_1_2.22"
