ST,ID,Rare,MaxUse,SkillStone,Icon,Name,Des,ImpactBy,UpDes,UpType,UpVal,InitVal,SkillP,ReadyRound,Effect,Buff,Dbuff,Name_en,Des_en,UpDes_en
1,15,4,0,0,FX_slash_57,{羽落},"{在前3回合},{使2个我方部队},{在每回合行动前},{恢复兵力},{并使} {速度属性提高} 11.4({受防御属性影响})",1.2,{治疗系数},3,0.06,0.6,1,0,0,107_1_4_2_1_0.6_0_0_0_3_1_0+12_1_0_2_1_0_11.4_0_0_3_0_1,0,Feather Fall,"In The First 3 Rounds,Make 2 Of our Troops,Before Each Round,Restore Life,And Make Spd Attribute Increased 11.4(Affected By DEF Attribute)",Healing Coefficient
1,22,4,0,0,FX_slash_23,{海洋之星},"{从第5回合起},{自身部队},{在每回合行动前},{使2个我方部队},{恢复兵力}",1.33,{治疗系数},3,0.066,0.67,1,0,0,87_5_4_2_1_0.67_0_0_0_4_1_0,0,Ocean Star,"From The 5th Round,Own Troop,Before Each Round,Make 2 Of our Troops,Restore Life",Healing Coefficient
1,17,4,0,0,FX_slash_22,{森林轻语},"{在前3回合},{使3个我方部队},{在每回合行动前},{恢复兵力},{并且} {在第1回合},{处于专注状态},{免疫}:{缴械}、{沉默}、{眩晕}、{混乱}、{嘲讽}",0.76,{治疗系数},3,0.038,0.38,1,0,0,107_1_4_3_1_0.38_0_0_0_3_1_0+113_1_0_3_1_0_0_0_0_1_0_0,0,Forest Whispers,"In The First 3 Rounds,Make 3 Of our Troops,Before Each Round,Restore Life,And In The 1st Round,In A Focused State,Immune:Disarm、Silence、Stun、Chaos、Taunts",Healing Coefficient
1,14,4,0,0,FX_slash_23,{领域},"{在前3回合},{自身部队},{造成伤害提高}({受速度属性影响}),{并且} {处于专注状态},{免疫}: {缴械}、{沉默}、{眩晕}、{混乱}、{嘲讽}",0.152,{造成伤害提高},5,0.0076,0.076,1,0,0,5_1_7_1_1_0.076_0_0_0_3_1_1+113_1_7_1_1_0_0_0_0_3_0_0,0,Field,"In The First 3 Rounds,Own Troop,DMG Dealt Increased(Affected By Spd Attribute),And In A Focused State,Immune: Disarm、Silence、Stun、Chaos、Taunts",DMG Dealt Increased
1,55,4,1,1,FX_slash_56,{惊雷},"{在前3回合},{自身部队},{普通攻击时},{有几率} {连击}",0.76,{效果触发概率},1,0.038,0.38,1,0,0,80_1_7_1_0.38_0_0_0_0_3_1_0,0,Clap Thunder,"In The First 3 Rounds,Own Troop,When ATK Normally,A Chance to Combo",Effect Trigger Probability
1,9,4,1,1,FX_slash_56,{反击},"{在前3回合},{使2个我方部队},{受到普通攻击时},{有几率} {反击}({伤害系数} 0.95)",0.76,{效果触发概率},1,0.038,0.38,1,0,0,81_1_4_2_0.38_0.95_0_0_0_3_1_0,0,Counterattack,"In The First 3 Rounds,Make 2 Of our Troops,When Receiving A Normal ATK,A Chance to Counterattack(DMG Coefficient 0.95)",Effect Trigger Probability
1,10,4,1,1,FX_slash_34,{赤刃},"{在前3回合},{使2个我方部队},{普通攻击时},{有几率} {溅射其他敌人}({伤害系数} 0.50)",0.5,{效果触发概率},1,0.025,0.25,1,0,0,82_1_4_2_0.25_0.50_0_0_0_3_1_0,0,Red Blade,"In The First 3 Rounds,Make 2 Of our Troops,When ATK Normally,A Chance to Splash On Other Enemies(DMG Coefficient 0.50)",Effect Trigger Probability
1,11,4,1,1,FX_slash_15,{极寒},"{从第5回合起},{使2个敌方部队},{在每回合行动前},{有几率} {处于缴械状态},{无法进行普通攻击}",0.6,{效果触发概率},1,0.03,0.3,1,0,0,84_5_2_2_0.3_0_0_0_0_4_1_0,0,Extremely Cold,"From The 5th Round,Make 2 Of Enemy Troops,Before Each Round,A Chance to In A Disarmed State,Cannot Launch Normal ATK",Effect Trigger Probability
1,69,4,1,1,FX_slash_31,{元素禁锢},"{从第5回合起},{使2个敌方部队},{在每回合行动前},{有几率} {处于沉默状态},{无法发动战术技能}",0.6,{效果触发概率},1,0.03,0.3,1,0,0,85_5_2_2_0.3_0_0_0_0_4_1_0,0,Elemental Prison,"From The 5th Round,Make 2 Of Enemy Troops,Before Each Round,A Chance to In A Silenced State,Cannot Launch Tactical Skills",Effect Trigger Probability
1,13,4,1,1,FX_slash_49,{浊流},"{在前3回合},{使2个敌方部队},{所有属性降低}({受破坏属性影响})",7.4,{所有属性降低},18,0.37,3.7,1,0,0,18_1_2_2_1_0_3.7_0_0_3_1_1,0,Turbid Current,"In The First 3 Rounds,Make 2 Of Enemy Troops,All Attributes Reduced(Affected By DES Attribute)",All Attributes Reduced
1,21,4,1,1,FX_slash_22,{风灵},"{在前3回合},{使2个我方部队},{所有属性提高}({受防御属性影响})",7.4,{所有属性提高},13,0.37,3.7,1,0,0,13_1_4_2_1_0_3.7_0_0_3_1_1,0,Wind Spirit,"In The First 3 Rounds,Make 2 Of our Troops,Increase All Attributes(Affected By DEF Attribute)",Increase All Attributes
1,24,4,0,0,FX_slash_22,{风吟},"{在前3回合},{使3个我方部队},{所有属性提高}({受防御属性影响})",6,{所有属性提高},13,0.3,3,1,0,0,13_1_4_3_1_0_3_0_0_3_1_1,0,Wind Song,"In The First 3 Rounds,Make 3 Of our Troops,Increase All Attributes(Affected By DEF Attribute)",Increase All Attributes
1,45,4,1,1,FX_slash_55,{逆境},"{自身部队},{受到任意伤害时},{所有属性提高}({受防御属性影响}),{最多叠加10层},{持续到战斗结束}",2,{所有属性提高},13,0.1,1,1,0,0,13_1_7_1_1_0_1_0_10_9_1_1,0,Adversity,"Own Troop,When Receiving Any DMG,Increase All Attributes(Affected By DEF Attribute),Up To 10 Layers,Until The End Of The Battle",Increase All Attributes
1,16,4,0,0,FX_slash_55,{钢铁意志},"{在前3回合},{使2个我方部队},{防御属性提高} 11.4({受防御属性影响}),{并且} {从第5回合起},{受到伤害降低}({受防御属性影响})",0.096,{受到伤害降低},8,0.0048,0.048,1,0,0,10_1_4_2_1_0_11.4_0_0_3_0_1+8_5_0_2_1_0.048_0_0_0_4_1_1,0,Steel Will,"In The First 3 Rounds,Make 2 Of our Troops,DEF Attribute Increased 11.4(Affected By DEF Attribute),And From The 5th Round,DMG Taken Reduced(Affected By DEF Attribute)",DMG Taken Reduced
1,18,4,0,0,FX_slash_34,{樱落草莓},"{在前3回合},{使2个我方部队},{攻击属性提高} 11.4({受防御属性影响}),{并且} {从第5回合起},{造成伤害提高}({受速度属性影响})",0.096,{造成伤害提高},5,0.0048,0.048,1,0,0,9_1_4_2_1_0_11.4_0_0_3_0_1+5_5_0_2_1_0.048_0_0_0_4_1_1,0,Sakura Strawberry,"In The First 3 Rounds,Make 2 Of our Troops,ATK Attribute Increased 11.4(Affected By DEF Attribute),And From The 5th Round,DMG Dealt Increased(Affected By Spd Attribute)",DMG Dealt Increased
1,19,4,1,1,FX_slash_23,{空之境},"{在前3回合},{使2个我方部队},{受到伤害降低}({受防御属性影响})",0.08,{受到伤害降低},8,0.004,0.04,1,0,0,8_1_4_2_1_0.04_0_0_0_3_1_1,0,Skyland,"In The First 3 Rounds,Make 2 Of our Troops,DMG Taken Reduced(Affected By DEF Attribute)",DMG Taken Reduced
1,20,4,0,0,FX_slash_34,{信仰之力},"{从第5回合起},{使2个我方部队},{造成伤害提高}({受速度属性影响})",0.114,{造成伤害提高},5,0.0057,0.057,1,0,0,5_5_4_2_1_0.057_0_0_0_4_1_1,0,Power Faith,"From The 5th Round,Make 2 Of our Troops,DMG Dealt Increased(Affected By Spd Attribute)",DMG Dealt Increased
1,23,4,0,0,FX_slash_49,{沧海潮生},"{在前3回合},{使2个敌方部队},{战术技能伤害降低}({受破坏属性影响})",0.114,{战术技能伤害降低},32,0.0057,0.057,1,0,0,32_1_2_2_1_0.057_0_0_0_3_1_1,0,Tide Sea,"In The First 3 Rounds,Make 2 Of Enemy Troops,Tactical Skill DMG Dealt Reduced(Affected By DES Attribute)",Tactical Skill DMG Dealt Reduced
1,51,4,0,0,FX_slash_34,{书之语},"{从第5回合起},{使2个我方部队},{战术技能伤害提高}({受速度属性影响})",0.114,{战术技能伤害提高},31,0.0057,0.057,1,0,0,31_5_4_2_1_0.057_0_0_0_4_1_1,0,Magic Book,"From The 5th Round,Make 2 Of our Troops,Tactical Skill DMG Dealt Increased(Affected By Spd Attribute)",Tactical Skill DMG Dealt Increased
1,53,4,1,1,FX_slash_22,{时之物语},"{在前3回合},{自身部队},{在每回合行动前},{有几率} {净化}:{缴械}、{沉默}、{眩晕}、{混乱}、{嘲讽}",0.7,{效果触发概率},1,0.035,0.35,1,0,0,139_1_7_1_0.35_0_0_0_0_3_1_0,0,Time Story,"In The First 3 Rounds,Own Troop,Before Each Round,A Chance to Purification:Disarm、Silence、Stun、Chaos、Taunts",Effect Trigger Probability
1,54,4,1,1,FX_slash_22,{风间日光},"{从第5回合起},{自身部队},{在每回合行动前},{有几率} {净化}:{缴械}、{沉默}、{眩晕}、{混乱}、{嘲讽}",0.7,{效果触发概率},1,0.035,0.35,1,0,0,139_5_7_1_0.35_0_0_0_0_4_1_0,0,Nikko In Wind,"From The 5th Round,Own Troop,Before Each Round,A Chance to Purification:Disarm、Silence、Stun、Chaos、Taunts",Effect Trigger Probability
1,27,5,1,1,FX_slash_57,{自愈术},"{从第1回合起},{自身部队},{在每回合行动前},{恢复兵力},{并且} {防御属性提高} 15.2({受防御属性影响})",1.4,{治疗系数},3,0.07,0.7,1,0,0,107_1_7_1_1_0.7_0_0_0_8_1_0+10_1_7_1_1_0_15.2_0_0_9_0_1,0,Self-Healing,"From The 1st Round,Own Troop,Before Each Round,Restore Life,And DEF Attribute Increased 15.2(Affected By DEF Attribute)",Healing Coefficient
1,46,5,1,1,FX_slash_57,{战地治疗},"{在前3回合},{使2个我方部队},{在每回合行动前},{恢复兵力},{并使} {防御属性提高} 11.4({受防御属性影响})",1.4,{治疗系数},3,0.07,0.7,1,0,0,107_1_4_2_1_0.7_0_0_0_3_1_0+10_1_0_2_1_0_11.4_0_0_3_0_1,0,Field Therapy,"In The First 3 Rounds,Make 2 Of our Troops,Before Each Round,Restore Life,And Make DEF Attribute Increased 11.4(Affected By DEF Attribute)",Healing Coefficient
1,36,5,0,0,FX_slash_57,{骑士圣灵},"{从第1回合起},{使3个我方部队},{在每回合行动前},{有几率} {恢复兵力}({治疗系数} 0.80)",0.6,{效果触发概率},1,0.03,0.3,1,0,0,107_1_4_3_0.3_0.80_0_0_0_8_1_0,0,Knight Spirit,"From The 1st Round,Make 3 Of our Troops,Before Each Round,A Chance to Restore Life(Healing Coefficient 0.80)",Effect Trigger Probability
1,37,5,0,0,FX_slash_57,{吉光片羽},"{从第1回合起},{使3个我方部队},{受到任意攻击时},{有几率} {恢复兵力}({治疗系数} 0.55)",0.45,{效果触发概率},1,0.023,0.22,1,0,0,74_1_4_3_0.22_0.55_0_0_0_8_1_0,0,Past Memory,"From The 1st Round,Make 3 Of our Troops,When Receiving Any Normal ATK,A Chance to Restore Life(Healing Coefficient 0.55)",Effect Trigger Probability
1,26,5,0,0,Skill_1068,{星之盾},"{在前3回合},{自身部队},{受到伤害降低}({受防御属性影响}),{并保护我方部队,为其抵挡普通攻击}",0.25,{受到伤害降低},8,0.012,0.13,1,0,0,8_1_7_1_1_0.13_0_0_0_3_1_1+120_1_6_2_1_0_0_0_0_3_0_0,0,Star Shield,"In The First 3 Rounds,Own Troop,DMG Taken Reduced(Affected By DEF Attribute),And Protect Our Troops From Normal ATK",DMG Taken Reduced
1,56,5,1,1,FX_slash_55,{虔诚},"{在前3回合},{使2个我方部队},{在每回合行动前},{有几率} {净化}:{缴械}、{沉默}、{眩晕}、{混乱}、{嘲讽}",0.4,{效果触发概率},1,0.02,0.2,1,0,0,139_1_4_2_0.2_0_0_0_0_3_1_0,0,Devout,"In The First 3 Rounds,Make 2 Of our Troops,Before Each Round,A Chance to Purification:Disarm、Silence、Stun、Chaos、Taunts",Effect Trigger Probability
1,61,5,1,1,FX_slash_55,{净化之火},"{从第5回合起},{使2个我方部队},{在每回合行动前},{有几率} {净化}:{缴械}、{沉默}、{眩晕}、{混乱}、{嘲讽}",0.4,{效果触发概率},1,0.02,0.2,1,0,0,139_5_4_2_0.2_0_0_0_0_4_1_0,0,Purifying Fire,"From The 5th Round,Make 2 Of our Troops,Before Each Round,A Chance to Purification:Disarm、Silence、Stun、Chaos、Taunts",Effect Trigger Probability
1,28,5,1,1,FX_slash_55,{坚甲},"{在前3回合},{使2个我方部队},{受到伤害降低}({受防御属性影响})",0.114,{受到伤害降低},8,0.0057,0.057,1,0,0,8_1_4_2_1_0.057_0_0_0_3_1_1,0,Hard Armor,"In The First 3 Rounds,Make 2 Of our Troops,DMG Taken Reduced(Affected By DEF Attribute)",DMG Taken Reduced
1,29,5,1,1,FX_slash_34,{愿力},"{在前3回合},{使2个我方部队},{造成伤害提高}({受速度属性影响})",0.114,{造成伤害提高},5,0.0057,0.057,1,0,0,5_1_4_2_1_0.057_0_0_0_3_1_1,0,Force Of Will,"In The First 3 Rounds,Make 2 Of our Troops,DMG Dealt Increased(Affected By Spd Attribute)",DMG Dealt Increased
1,31,5,1,1,FX_slash_49,{畏惧},"{在前3回合},{使2个敌方部队},{造成伤害降低}({受破坏属性影响})",0.114,{造成伤害降低},6,0.0057,0.057,1,0,0,6_1_2_2_1_0.057_0_0_0_3_1_1,0,Fear,"In The First 3 Rounds,Make 2 Of Enemy Troops,DMG Dealt Reduced(Affected By DES Attribute)",DMG Dealt Reduced
1,32,5,1,1,FX_slash_49,{靡音},"{在前3回合},{使2个敌方部队},{受到伤害提高}({受破坏属性影响})",0.114,{受到伤害提高},7,0.0057,0.057,1,0,0,7_1_2_2_1_0.057_0_0_0_3_1_1,0,Noise,"In The First 3 Rounds,Make 2 Of Enemy Troops,DMG Taken Increased(Affected By DES Attribute)",DMG Taken Increased
1,33,5,1,1,FX_slash_49,{彷徨},"{在前3回合},{使2个敌方部队},{战术技能伤害降低}({受破坏属性影响})",0.114,{战术技能伤害降低},32,0.0057,0.057,1,0,0,32_1_2_2_1_0.057_0_0_0_3_1_1,0,Hesitate,"In The First 3 Rounds,Make 2 Of Enemy Troops,Tactical Skill DMG Dealt Reduced(Affected By DES Attribute)",Tactical Skill DMG Dealt Reduced
1,76,5,1,1,FX_slash_34,{破空箭},"{在前3回合},{使2个我方部队},{战术技能伤害提高}({受速度属性影响})",0.114,{战术技能伤害提高},31,0.0057,0.057,1,0,0,31_1_4_2_1_0.057_0_0_0_3_1_1,0,Sky Tear Arrow,"In The First 3 Rounds,Make 2 Of our Troops,Tactical Skill DMG Dealt Increased(Affected By Spd Attribute)",Tactical Skill DMG Dealt Increased
1,57,5,1,1,FX_slash_59,{幻境迷宫},"{在前3回合},{使2个敌方部队},{追击技能伤害降低}({受破坏属性影响})",0.114,{追击技能伤害降低},34,0.0057,0.057,1,0,0,34_1_2_2_1_0.057_0_0_0_3_1_1,0,Illusion Maze,"In The First 3 Rounds,Make 2 Of Enemy Troops,Pursuit Skill DMG Dealt Reduced(Affected By DES Attribute)",Pursuit Skill DMG Dealt Reduced
1,79,5,1,1,FX_slash_23,{奔雷之势},"{在前3回合},{使2个我方部队},{追击技能伤害提高}({受速度属性影响})",0.114,{追击技能伤害提高},33,0.0057,0.057,1,0,0,33_1_4_2_1_0.057_0_0_0_3_1_1,0,Magnificent,"In The First 3 Rounds,Make 2 Of our Troops,Pursuit Skill DMG Dealt Increased(Affected By Spd Attribute)",Pursuit Skill DMG Dealt Increased
1,74,5,1,1,FX_slash_55,{圣钟},"{在前3回合},{使2个我方部队},{受到战术技能伤害降低}({受防御属性影响})",0.114,{受到战术技能伤害降低},38,0.0057,0.057,1,0,0,38_1_4_2_1_0.057_0_0_0_3_1_1,0,Holy Bell,"In The First 3 Rounds,Make 2 Of our Troops,Reduce Tactical Skill DMG received(Affected By DEF Attribute)",Reduce Tactical Skill DMG received
1,78,5,1,1,FX_slash_55,{优势地形},"{在前3回合},{使2个我方部队},{受到追击技能伤害降低}({受防御属性影响})",0.114,{受到追击技能伤害降低},40,0.0057,0.057,1,0,0,40_1_4_2_1_0.057_0_0_0_3_1_1,0,Advantage Terrain,"In The First 3 Rounds,Make 2 Of our Troops,Pursuit Skill DMG Taken Reduced(Affected By DEF Attribute)",Pursuit Skill DMG Taken Reduced
1,64,5,1,1,FX_slash_55,{不动如山},"{从第5回合起},{使2个我方部队},{受到伤害降低}({受防御属性影响})",0.114,{受到伤害降低},8,0.0057,0.057,1,0,0,8_5_4_2_1_0.057_0_0_0_4_1_1,0,Unmoving,"From The 5th Round,Make 2 Of our Troops,DMG Taken Reduced(Affected By DEF Attribute)",DMG Taken Reduced
1,60,5,1,1,FX_slash_34,{鹰眼},"{从第5回合起},{使2个我方部队},{造成伤害提高}({受速度属性影响})",0.114,{造成伤害提高},5,0.0057,0.057,1,0,0,5_5_4_2_1_0.057_0_0_0_4_1_1,0,Hawkeye,"From The 5th Round,Make 2 Of our Troops,DMG Dealt Increased(Affected By Spd Attribute)",DMG Dealt Increased
1,70,5,1,1,FX_slash_49,{厄运},"{从第5回合起},{使2个敌方部队},{造成伤害降低}({受破坏属性影响})",0.114,{造成伤害降低},6,0.0057,0.057,1,0,0,6_5_2_2_1_0.057_0_0_0_4_1_1,0,Doom,"From The 5th Round,Make 2 Of Enemy Troops,DMG Dealt Reduced(Affected By DES Attribute)",DMG Dealt Reduced
1,72,5,1,1,FX_slash_49,{战鼓},"{从第5回合起},{使2个敌方部队},{受到伤害提高}({受破坏属性影响})",0.114,{受到伤害提高},7,0.0057,0.057,1,0,0,7_5_2_2_1_0.057_0_0_0_4_1_1,0,War Drum,"From The 5th Round,Make 2 Of Enemy Troops,DMG Taken Increased(Affected By DES Attribute)",DMG Taken Increased
1,30,5,1,1,FX_slash_49,{封灵碑},"{从第5回合起},{使2个敌方部队},{战术技能伤害降低}({受破坏属性影响})",0.114,{战术技能伤害降低},32,0.0057,0.057,1,0,0,32_5_2_2_1_0.057_0_0_0_4_1_1,0,Seal Tombstone,"From The 5th Round,Make 2 Of Enemy Troops,Tactical Skill DMG Dealt Reduced(Affected By DES Attribute)",Tactical Skill DMG Dealt Reduced
1,75,5,0,0,FX_slash_34,{穿云箭},"{从第5回合起},{使3个我方部队},{战术技能伤害提高}({受速度属性影响})",0.114,{战术技能伤害提高},31,0.0057,0.057,1,0,0,31_5_4_3_1_0.057_0_0_0_4_1_1,0,Cloud Arrow,"From The 5th Round,Make 3 Of our Troops,Tactical Skill DMG Dealt Increased(Affected By Spd Attribute)",Tactical Skill DMG Dealt Increased
1,81,5,1,1,FX_slash_49,{暗魔法},"{从第5回合起},{使2个敌方部队},{追击技能伤害降低}({受破坏属性影响})",0.114,{追击技能伤害降低},34,0.0057,0.057,1,0,0,34_5_2_2_1_0.057_0_0_0_4_1_1,0,Dark Magic,"From The 5th Round,Make 2 Of Enemy Troops,Pursuit Skill DMG Dealt Reduced(Affected By DES Attribute)",Pursuit Skill DMG Dealt Reduced
1,80,5,1,1,FX_slash_34,{围猎},"{从第5回合起},{使2个我方部队},{追击技能伤害提高}({受速度属性影响})",0.114,{追击技能伤害提高},33,0.0057,0.057,1,0,0,33_5_4_2_1_0.057_0_0_0_4_1_1,0,Encircle Hunt,"From The 5th Round,Make 2 Of our Troops,Pursuit Skill DMG Dealt Increased(Affected By Spd Attribute)",Pursuit Skill DMG Dealt Increased
1,73,5,0,0,FX_slash_55,{神国},"{从第5回合起},{使3个我方部队},{受到战术技能伤害降低}({受防御属性影响})",0.114,{受到战术技能伤害降低},38,0.0057,0.057,1,0,0,38_5_4_3_1_0.057_0_0_0_4_1_1,0,Shinkoku,"From The 5th Round,Make 3 Of our Troops,Reduce Tactical Skill DMG received(Affected By DEF Attribute)",Reduce Tactical Skill DMG received
1,83,5,1,1,FX_slash_55,{驻守阵地},"{从第5回合起},{使2个我方部队},{受到追击技能伤害降低}({受防御属性影响})",0.114,{受到追击技能伤害降低},40,0.0057,0.057,1,0,0,40_5_4_2_1_0.057_0_0_0_4_1_1,0,Stationed,"From The 5th Round,Make 2 Of our Troops,Pursuit Skill DMG Taken Reduced(Affected By DEF Attribute)",Pursuit Skill DMG Taken Reduced
1,77,5,1,1,FX_slash_55,{天使庇佑},"{从第1回合起},{使2个我方部队},{处于永恒状态},{属性不会发生改变},{并且} {从第5回合起},{受到伤害降低}({受防御属性影响})",0.09,{受到伤害降低},8,0.0045,0.045,1,0,0,89_1_4_2_1_0_0_0_0_8_0_0+8_5_0_2_1_0.045_0_0_0_4_1_1,0,Angel Blesse,"From The 1st Round,Make 2 Of our Troops,In An Eternal State,Attribute Will Not Be Changed,And From The 5th Round,DMG Taken Reduced(Affected By DEF Attribute)",DMG Taken Reduced
1,62,5,1,1,FX_slash_55+FX_slash_49,{永恒时钟},"{从第1回合起},{使2个我方部队},{处于永恒状态},{属性不会发生改变},{并且} {从第5回合起},{使2个敌方部队},{造成伤害降低}({受破坏属性影响})",0.09,{造成伤害降低},6,0.0045,0.045,1,0,0,89_1_4_2_1_0_0_0_0_8_0_0+6_5_2_2_1_0.045_0_0_0_4_1_1,0,Eternal Clock,"From The 1st Round,Make 2 Of our Troops,In An Eternal State,Attribute Will Not Be Changed,And From The 5th Round,Make 2 Of Enemy Troops,DMG Dealt Reduced(Affected By DES Attribute)",DMG Dealt Reduced
1,42,5,0,0,FX_slash_5,{暗夜降临},"{在前3回合},{使3个敌方部队},{所有属性降低}({受破坏属性影响}),{并且} {处于禁疗状态},{无法受到治疗效果}",0.06,{所有属性降低},28,0.003,0.03,1,0,0,28_1_2_3_1_0.03_0_0_0_3_1_1+119_1_2_3_1_0_0_0_0_3_0_0,0,Dark Arrive,"In The First 3 Rounds,Make 3 Of Enemy Troops,All Attributes Reduced(Affected By DES Attribute),And In A Forbidden Treatment State,Cannot Be Healed",All Attributes Reduced
1,71,5,0,0,FX_slash_5,{生死斗},"{从第5回合起},{使3个敌方部队},{所有属性降低}({受破坏属性影响}),{并且} {处于禁疗状态},{无法受到治疗效果}",0.06,{所有属性降低},28,0.003,0.03,1,0,0,28_5_2_3_1_0.03_0_0_0_4_1_1+119_5_2_3_1_0_0_0_0_4_0_0,0,Life And Death,"From The 5th Round,Make 3 Of Enemy Troops,All Attributes Reduced(Affected By DES Attribute),And In A Forbidden Treatment State,Cannot Be Healed",All Attributes Reduced
1,34,5,1,1,FX_slash_31,{暗潮},"{在前3回合},{使3个敌方部队},{在每回合行动前},{有几率} {处于缴械状态},{无法进行普通攻击}",0.6,{效果触发概率},1,0.03,0.3,1,0,0,84_1_2_3_0.3_0_0_0_0_3_1_0,0,Undercurrent,"In The First 3 Rounds,Make 3 Of Enemy Troops,Before Each Round,A Chance to In A Disarmed State,Cannot Launch Normal ATK",Effect Trigger Probability
1,49,5,1,1,FX_slash_31,{无界},"{在前3回合},{使3个敌方部队},{在每回合行动前},{有几率} {处于沉默状态},{无法发动战术技能}",0.6,{效果触发概率},1,0.03,0.3,1,0,0,85_1_2_3_0.3_0_0_0_0_3_1_0,0,Unbounded,"In The First 3 Rounds,Make 3 Of Enemy Troops,Before Each Round,A Chance to In A Silenced State,Cannot Launch Tactical Skills",Effect Trigger Probability
1,59,5,1,1,FX_slash_10,{浓烟窒息},"{从第5回合起},{使2个敌方部队},{在每回合行动前},{有几率} {处于眩晕状态},{无法行动}",0.4,{效果触发概率},1,0.02,0.2,1,0,0,83_5_2_2_0.2_0_0_0_0_4_1_0,0,Smoke Smother,"From The 5th Round,Make 2 Of Enemy Troops,Before Each Round,A Chance to In A Stunned State,Unable To Move",Effect Trigger Probability
1,82,5,1,1,FX_slash_56,{无畏反击},"{在前3回合},{使2个我方部队},{受到普通攻击时},100% {反击}",1.2,{伤害系数},2,0.06,0.6,1,0,0,81_1_4_2_1_0.6_0_0_0_3_1_0,0,Brave Killing,"In The First 3 Rounds,Make 2 Of our Troops,When Receiving A Normal ATK,100% Counterattack",DMG Coefficient
