name,id,lv,power,need_build,food,wood,stone,iron,time,des,effect,name_en,des_en
{市政厅}({等级} 12),1,12,6104,10_11+8_11,129333,129333,129333,64666,155200,"{储备士兵容量}_3,600,000${部队数}_3${种植} {队列}_6",84_3600000+78_3+330_6,City Hall(Lv 12),"Reserve Soldiers Capacity_3,600,000$Number Of Troops_3$Planting Queue_6"
{市政厅}({等级} 13),1,13,10004,10_12+14_12,195000,195000,195000,97500,234000,"{储备士兵容量}_4,000,000${部队数}_3${种植} {队列}_7",84_4000000+78_3+330_7,City Hall(Lv 13),"Reserve Soldiers Capacity_4,000,000$Number Of Troops_3$Planting Queue_7"
{市政厅}({等级} 14),1,14,15728,10_13+15_13,286166,286166,286166,143083,343400,"{储备士兵容量}_4,400,000${部队数}_3${种植} {队列}_7",84_4400000+78_3+330_7,City Hall(Lv 14),"Reserve Soldiers Capacity_4,400,000$Number Of Troops_3$Planting Queue_7"
{市政厅}({等级} 15),1,15,23933,10_14+19_14,410250,410250,410250,205125,492300,"{储备士兵容量}_4,800,000${部队数}_3${种植} {队列}_8",84_4800000+78_3+330_8,City Hall(Lv 15),"Reserve Soldiers Capacity_4,800,000$Number Of Troops_3$Planting Queue_8"
{市政厅}({等级} 16),1,16,35463,10_15+20_15,576500,576500,576500,288250,691800,"{储备士兵容量}_5,200,000${部队数}_4${种植} {队列}_8",84_5200000+78_4+330_8,City Hall(Lv 16),"Reserve Soldiers Capacity_5,200,000$Number Of Troops_4$Planting Queue_8"
{市政厅}({等级} 17),1,17,51378,10_16+18_16,795750,795750,795750,397875,954900,"{储备士兵容量}_5,600,000${部队数}_4${种植} {队列}_9",84_5600000+78_4+330_9,City Hall(Lv 17),"Reserve Soldiers Capacity_5,600,000$Number Of Troops_4$Planting Queue_9"
{市政厅}({等级} 18),1,18,73006,10_17+12_17,1081416,1081416,1081416,540708,1297700,"{储备士兵容量}_6,000,000${部队数}_4${种植} {队列}_9",84_6000000+78_4+330_9,City Hall(Lv 18),"Reserve Soldiers Capacity_6,000,000$Number Of Troops_4$Planting Queue_9"
{市政厅}({等级} 19),1,19,101989,10_18+13_18,1449166,1449166,1449166,724583,1739000,"{储备士兵容量}_6,400,000${部队数}_4${种植} {队列}_10",84_6400000+78_4+330_10,City Hall(Lv 19),"Reserve Soldiers Capacity_6,400,000$Number Of Troops_4$Planting Queue_10"
{市政厅}({等级} 20),1,20,140349,10_19+17_19,1918000,1918000,1918000,959000,2301600,"{储备士兵容量}_6,800,000${部队数}_4${种植} {队列}_10",84_6800000+78_4+330_10,City Hall(Lv 20),"Reserve Soldiers Capacity_6,800,000$Number Of Troops_4$Planting Queue_10"
{市政厅}({等级} 21),1,21,190551,10_20+20_20,2510083,2510083,2510083,1255041,3012100,"{储备士兵容量}_7,200,000${部队数}_5${种植} {队列}_11",84_7200000+78_5+330_11,City Hall(Lv 21),"Reserve Soldiers Capacity_7,200,000$Number Of Troops_5$Planting Queue_11"
{市政厅}({等级} 22),1,22,255584,10_21+18_21,3251666,3251666,3251666,1625833,3902000,"{储备士兵容量}_7,800,000${部队数}_5${种植} {队列}_11",84_7800000+78_5+330_11,City Hall(Lv 22),"Reserve Soldiers Capacity_7,800,000$Number Of Troops_5$Planting Queue_11"
{市政厅}({等级} 23),1,23,339058,10_22+12_22,4173666,4173666,4173666,2086833,5008400,"{储备士兵容量}_8,400,000${部队数}_5${种植} {队列}_12",84_8400000+78_5+330_12,City Hall(Lv 23),"Reserve Soldiers Capacity_8,400,000$Number Of Troops_5$Planting Queue_12"
{市政厅}({等级} 24),1,24,445298,10_23+13_23,5312000,5312000,5312000,2656000,6374400,"{储备士兵容量}_9,000,000${部队数}_5${种植} {队列}_12",84_9000000+78_5+330_12,City Hall(Lv 24),"Reserve Soldiers Capacity_9,000,000$Number Of Troops_5$Planting Queue_12"
{市政厅}({等级} 25),1,25,579473,10_24+17_24,6708750,6708750,6708750,3354375,8050500,"{储备士兵容量}_9,999,999${部队数}_5${种植} {队列}_13",84_9999999+78_5+330_13,City Hall(Lv 25),"Reserve Soldiers Capacity_9,999,999$Number Of Troops_5$Planting Queue_13"
{农场}({等级} 1),2,1,20,0_0,0,25,25,0,10,{粮食} {产量}_+300/{小时},60_300,Farm(Lv 1),Food Output_+300/H
{农场}({等级} 2),2,2,40,1_2,0,50,50,0,30,{粮食} {产量}_+330/{小时},60_330,Farm(Lv 2),Food Output_+330/H
{农场}({等级} 3),2,3,60,1_3,0,100,100,0,100,{粮食} {产量}_+360/{小时},60_360,Farm(Lv 3),Food Output_+360/H
{农场}({等级} 4),2,4,80,1_4,0,300,300,0,300,{粮食} {产量}_+390/{小时},60_390,Farm(Lv 4),Food Output_+390/H
{农场}({等级} 5),2,5,100,1_5,0,808,808,0,970,{粮食} {产量}_+420/{小时},60_420,Farm(Lv 5),Food Output_+420/H
{农场}({等级} 6),2,6,150,1_6,0,1791,1791,0,2150,{粮食} {产量}_+450/{小时},60_450,Farm(Lv 6),Food Output_+450/H
{农场}({等级} 7),2,7,200,1_7,0,3525,3525,0,4230,{粮食} {产量}_+480/{小时},60_480,Farm(Lv 7),Food Output_+480/H
{农场}({等级} 8),2,8,300,1_8,0,6333,6333,0,7600,{粮食} {产量}_+510/{小时},60_510,Farm(Lv 8),Food Output_+510/H
{农场}({等级} 9),2,9,472,1_9,0,10750,10750,5375,12900,{粮食} {产量}_+540/{小时},60_540,Farm(Lv 9),Food Output_+540/H
{农场}({等级} 10),2,10,820,1_10,0,17416,17416,8708,20900,{粮食} {产量}_+570/{小时},60_570,Farm(Lv 10),Food Output_+570/H
{农场}({等级} 11),2,11,1359,1_11,0,26916,26916,13458,32300,{粮食} {产量}_+600/{小时},60_600,Farm(Lv 11),Food Output_+600/H
{农场}({等级} 12),2,12,2162,1_12,0,40166,40166,20083,48200,{粮食} {产量}_+640/{小时},60_640,Farm(Lv 12),Food Output_+640/H
{农场}({等级} 13),2,13,3329,1_13,0,58333,58333,29166,70000,{粮食} {产量}_+680/{小时},60_680,Farm(Lv 13),Food Output_+680/H
{农场}({等级} 14),2,14,4984,1_14,0,82750,82750,41375,99300,{粮食} {产量}_+720/{小时},60_720,Farm(Lv 14),Food Output_+720/H
{农场}({等级} 15),2,15,7280,1_15,0,114833,114833,57416,137800,{粮食} {产量}_+760/{小时},60_760,Farm(Lv 15),Food Output_+760/H
{农场}({等级} 16),2,16,10412,1_16,0,156583,156583,78291,187900,{粮食} {产量}_+800/{小时},60_800,Farm(Lv 16),Food Output_+800/H
{农场}({等级} 17),2,17,14614,1_17,0,210083,210083,105041,252100,{粮食} {产量}_+840/{小时},60_840,Farm(Lv 17),Food Output_+840/H
{农场}({等级} 18),2,18,20172,1_18,0,277916,277916,138958,333500,{粮食} {产量}_+880/{小时},60_880,Farm(Lv 18),Food Output_+880/H
{农场}({等级} 19),2,19,27435,1_19,0,363166,363166,181583,435800,{粮食} {产量}_+920/{小时},60_920,Farm(Lv 19),Food Output_+920/H
{农场}({等级} 20),2,20,36819,1_20,0,469166,469166,234583,563000,{粮食} {产量}_+960/{小时},60_960,Farm(Lv 20),Food Output_+960/H
{农场}({等级} 21),2,21,48820,1_21,0,600083,600083,300041,720100,{粮食} {产量}_+1000/{小时},60_1000,Farm(Lv 21),Food Output_+1000/H
{农场}({等级} 22),2,22,64032,1_22,0,760583,760583,380291,912700,{粮食} {产量}_+1040/{小时},60_1040,Farm(Lv 22),Food Output_+1040/H
{农场}({等级} 23),2,23,83154,1_23,0,956083,956083,478041,1147300,{粮食} {产量}_+1100/{小时},60_1100,Farm(Lv 23),Food Output_+1100/H
{农场}({等级} 24),2,24,107009,1_24,0,1192750,1192750,596375,1431300,{粮食} {产量}_+1160/{小时},60_1160,Farm(Lv 24),Food Output_+1160/H
{农场}({等级} 25),2,25,136564,1_25,0,1477750,1477750,738875,1773300,{粮食} {产量}_+1240/{小时},60_1240,Farm(Lv 25),Food Output_+1240/H
{伐木场}({等级} 1),3,1,20,0_0,25,0,25,0,10,{木材} {产量}_+300/{小时},61_300,Sawmill(Lv 1),Wood Output_+300/H
{伐木场}({等级} 2),3,2,40,1_2,50,0,50,0,30,{木材} {产量}_+330/{小时},61_330,Sawmill(Lv 2),Wood Output_+330/H
{伐木场}({等级} 3),3,3,60,1_3,100,0,100,0,100,{木材} {产量}_+360/{小时},61_360,Sawmill(Lv 3),Wood Output_+360/H
{伐木场}({等级} 4),3,4,80,1_4,300,0,300,0,300,{木材} {产量}_+390/{小时},61_390,Sawmill(Lv 4),Wood Output_+390/H
{伐木场}({等级} 5),3,5,100,1_5,808,0,808,0,970,{木材} {产量}_+420/{小时},61_420,Sawmill(Lv 5),Wood Output_+420/H
{伐木场}({等级} 6),3,6,150,1_6,1791,0,1791,0,2150,{木材} {产量}_+450/{小时},61_450,Sawmill(Lv 6),Wood Output_+450/H
{伐木场}({等级} 7),3,7,200,1_7,3525,0,3525,0,4230,{木材} {产量}_+480/{小时},61_480,Sawmill(Lv 7),Wood Output_+480/H
{伐木场}({等级} 8),3,8,300,1_8,6333,0,6333,0,7600,{木材} {产量}_+510/{小时},61_510,Sawmill(Lv 8),Wood Output_+510/H
{伐木场}({等级} 9),3,9,472,1_9,10750,0,10750,5375,12900,{木材} {产量}_+540/{小时},61_540,Sawmill(Lv 9),Wood Output_+540/H
{伐木场}({等级} 10),3,10,820,1_10,17416,0,17416,8708,20900,{木材} {产量}_+570/{小时},61_570,Sawmill(Lv 10),Wood Output_+570/H
{伐木场}({等级} 11),3,11,1359,1_11,26916,0,26916,13458,32300,{木材} {产量}_+600/{小时},61_600,Sawmill(Lv 11),Wood Output_+600/H
{伐木场}({等级} 12),3,12,2162,1_12,40166,0,40166,20083,48200,{木材} {产量}_+640/{小时},61_640,Sawmill(Lv 12),Wood Output_+640/H
{伐木场}({等级} 13),3,13,3329,1_13,58333,0,58333,29166,70000,{木材} {产量}_+680/{小时},61_680,Sawmill(Lv 13),Wood Output_+680/H
{伐木场}({等级} 14),3,14,4984,1_14,82750,0,82750,41375,99300,{木材} {产量}_+720/{小时},61_720,Sawmill(Lv 14),Wood Output_+720/H
{伐木场}({等级} 15),3,15,7280,1_15,114833,0,114833,57416,137800,{木材} {产量}_+760/{小时},61_760,Sawmill(Lv 15),Wood Output_+760/H
{伐木场}({等级} 16),3,16,10412,1_16,156583,0,156583,78291,187900,{木材} {产量}_+800/{小时},61_800,Sawmill(Lv 16),Wood Output_+800/H
{伐木场}({等级} 17),3,17,14614,1_17,210083,0,210083,105041,252100,{木材} {产量}_+840/{小时},61_840,Sawmill(Lv 17),Wood Output_+840/H
{伐木场}({等级} 18),3,18,20172,1_18,277916,0,277916,138958,333500,{木材} {产量}_+880/{小时},61_880,Sawmill(Lv 18),Wood Output_+880/H
{伐木场}({等级} 19),3,19,27435,1_19,363166,0,363166,181583,435800,{木材} {产量}_+920/{小时},61_920,Sawmill(Lv 19),Wood Output_+920/H
{伐木场}({等级} 20),3,20,36819,1_20,469166,0,469166,234583,563000,{木材} {产量}_+960/{小时},61_960,Sawmill(Lv 20),Wood Output_+960/H
{伐木场}({等级} 21),3,21,48820,1_21,600083,0,600083,300041,720100,{木材} {产量}_+1000/{小时},61_1000,Sawmill(Lv 21),Wood Output_+1000/H
{伐木场}({等级} 22),3,22,64032,1_22,760583,0,760583,380291,912700,{木材} {产量}_+1040/{小时},61_1040,Sawmill(Lv 22),Wood Output_+1040/H
{伐木场}({等级} 23),3,23,83154,1_23,956083,0,956083,478041,1147300,{木材} {产量}_+1100/{小时},61_1100,Sawmill(Lv 23),Wood Output_+1100/H
{伐木场}({等级} 24),3,24,107009,1_24,1192750,0,1192750,596375,1431300,{木材} {产量}_+1160/{小时},61_1160,Sawmill(Lv 24),Wood Output_+1160/H
{伐木场}({等级} 25),3,25,136564,1_25,1477750,0,1477750,738875,1773300,{木材} {产量}_+1240/{小时},61_1240,Sawmill(Lv 25),Wood Output_+1240/H
{采石场}({等级} 1),4,1,20,0_0,25,25,0,0,10,{石料} {产量}_+300/{小时},62_300,Quarry(Lv 1),Stone Output_+300/H
{采石场}({等级} 2),4,2,40,1_2,50,50,0,0,30,{石料} {产量}_+330/{小时},62_330,Quarry(Lv 2),Stone Output_+330/H
{采石场}({等级} 3),4,3,60,1_3,100,100,0,0,100,{石料} {产量}_+360/{小时},62_360,Quarry(Lv 3),Stone Output_+360/H
{采石场}({等级} 4),4,4,80,1_4,300,300,0,0,300,{石料} {产量}_+390/{小时},62_390,Quarry(Lv 4),Stone Output_+390/H
{采石场}({等级} 5),4,5,100,1_5,808,808,0,0,970,{石料} {产量}_+420/{小时},62_420,Quarry(Lv 5),Stone Output_+420/H
{采石场}({等级} 6),4,6,150,1_6,1791,1791,0,0,2150,{石料} {产量}_+450/{小时},62_450,Quarry(Lv 6),Stone Output_+450/H
{采石场}({等级} 7),4,7,200,1_7,3525,3525,0,0,4230,{石料} {产量}_+480/{小时},62_480,Quarry(Lv 7),Stone Output_+480/H
{采石场}({等级} 8),4,8,300,1_8,6333,6333,0,0,7600,{石料} {产量}_+510/{小时},62_510,Quarry(Lv 8),Stone Output_+510/H
{采石场}({等级} 9),4,9,472,1_9,10750,10750,0,5375,12900,{石料} {产量}_+540/{小时},62_540,Quarry(Lv 9),Stone Output_+540/H
{采石场}({等级} 10),4,10,820,1_10,17416,17416,0,8708,20900,{石料} {产量}_+570/{小时},62_570,Quarry(Lv 10),Stone Output_+570/H
{采石场}({等级} 11),4,11,1359,1_11,26916,26916,0,13458,32300,{石料} {产量}_+600/{小时},62_600,Quarry(Lv 11),Stone Output_+600/H
{采石场}({等级} 12),4,12,2162,1_12,40166,40166,0,20083,48200,{石料} {产量}_+640/{小时},62_640,Quarry(Lv 12),Stone Output_+640/H
{采石场}({等级} 13),4,13,3329,1_13,58333,58333,0,29166,70000,{石料} {产量}_+680/{小时},62_680,Quarry(Lv 13),Stone Output_+680/H
{采石场}({等级} 14),4,14,4984,1_14,82750,82750,0,41375,99300,{石料} {产量}_+720/{小时},62_720,Quarry(Lv 14),Stone Output_+720/H
{采石场}({等级} 15),4,15,7280,1_15,114833,114833,0,57416,137800,{石料} {产量}_+760/{小时},62_760,Quarry(Lv 15),Stone Output_+760/H
{采石场}({等级} 16),4,16,10412,1_16,156583,156583,0,78291,187900,{石料} {产量}_+800/{小时},62_800,Quarry(Lv 16),Stone Output_+800/H
{采石场}({等级} 17),4,17,14614,1_17,210083,210083,0,105041,252100,{石料} {产量}_+840/{小时},62_840,Quarry(Lv 17),Stone Output_+840/H
{采石场}({等级} 18),4,18,20172,1_18,277916,277916,0,138958,333500,{石料} {产量}_+880/{小时},62_880,Quarry(Lv 18),Stone Output_+880/H
{采石场}({等级} 19),4,19,27435,1_19,363166,363166,0,181583,435800,{石料} {产量}_+920/{小时},62_920,Quarry(Lv 19),Stone Output_+920/H
{采石场}({等级} 20),4,20,36819,1_20,469166,469166,0,234583,563000,{石料} {产量}_+960/{小时},62_960,Quarry(Lv 20),Stone Output_+960/H
{采石场}({等级} 21),4,21,48820,1_21,600083,600083,0,300041,720100,{石料} {产量}_+1000/{小时},62_1000,Quarry(Lv 21),Stone Output_+1000/H
{采石场}({等级} 22),4,22,64032,1_22,760583,760583,0,380291,912700,{石料} {产量}_+1040/{小时},62_1040,Quarry(Lv 22),Stone Output_+1040/H
{采石场}({等级} 23),4,23,83154,1_23,956083,956083,0,478041,1147300,{石料} {产量}_+1100/{小时},62_1100,Quarry(Lv 23),Stone Output_+1100/H
{采石场}({等级} 24),4,24,107009,1_24,1192750,1192750,0,596375,1431300,{石料} {产量}_+1160/{小时},62_1160,Quarry(Lv 24),Stone Output_+1160/H
{采石场}({等级} 25),4,25,136564,1_25,1477750,1477750,0,738875,1773300,{石料} {产量}_+1240/{小时},62_1240,Quarry(Lv 25),Stone Output_+1240/H
{铁矿场}({等级} 1),5,1,20,1_8,25,25,25,0,10,{铁锭} {产量}_+150/{小时},63_150,Ironmine(Lv 1),Iron Output_+150/H
{铁矿场}({等级} 2),5,2,40,1_8,50,50,50,0,30,{铁锭} {产量}_+165/{小时},63_165,Ironmine(Lv 2),Iron Output_+165/H
{铁矿场}({等级} 3),5,3,60,1_8,100,100,100,0,100,{铁锭} {产量}_+180/{小时},63_180,Ironmine(Lv 3),Iron Output_+180/H
{铁矿场}({等级} 4),5,4,80,1_8,300,300,300,0,300,{铁锭} {产量}_+195/{小时},63_195,Ironmine(Lv 4),Iron Output_+195/H
{铁矿场}({等级} 5),5,5,100,1_8,808,808,808,0,970,{铁锭} {产量}_+210/{小时},63_210,Ironmine(Lv 5),Iron Output_+210/H
{铁矿场}({等级} 6),5,6,150,1_8,1791,1791,1791,0,2150,{铁锭} {产量}_+225/{小时},63_225,Ironmine(Lv 6),Iron Output_+225/H
{铁矿场}({等级} 7),5,7,200,1_8,3525,3525,3525,0,4230,{铁锭} {产量}_+240/{小时},63_240,Ironmine(Lv 7),Iron Output_+240/H
{铁矿场}({等级} 8),5,8,300,1_8,6333,6333,6333,0,7600,{铁锭} {产量}_+255/{小时},63_255,Ironmine(Lv 8),Iron Output_+255/H
{铁矿场}({等级} 9),5,9,472,1_9,10750,10750,10750,0,12900,{铁锭} {产量}_+270/{小时},63_270,Ironmine(Lv 9),Iron Output_+270/H
{铁矿场}({等级} 10),5,10,820,1_10,17416,17416,17416,0,20900,{铁锭} {产量}_+285/{小时},63_285,Ironmine(Lv 10),Iron Output_+285/H
{铁矿场}({等级} 11),5,11,1359,1_11,26916,26916,26916,0,32300,{铁锭} {产量}_+300/{小时},63_300,Ironmine(Lv 11),Iron Output_+300/H
{铁矿场}({等级} 12),5,12,2162,1_12,40166,40166,40166,0,48200,{铁锭} {产量}_+320/{小时},63_320,Ironmine(Lv 12),Iron Output_+320/H
{铁矿场}({等级} 13),5,13,3329,1_13,58333,58333,58333,0,70000,{铁锭} {产量}_+340/{小时},63_340,Ironmine(Lv 13),Iron Output_+340/H
{铁矿场}({等级} 14),5,14,4984,1_14,82750,82750,82750,0,99300,{铁锭} {产量}_+360/{小时},63_360,Ironmine(Lv 14),Iron Output_+360/H
{铁矿场}({等级} 15),5,15,7280,1_15,114833,114833,114833,0,137800,{铁锭} {产量}_+380/{小时},63_380,Ironmine(Lv 15),Iron Output_+380/H
{铁矿场}({等级} 16),5,16,10412,1_16,156583,156583,156583,0,187900,{铁锭} {产量}_+400/{小时},63_400,Ironmine(Lv 16),Iron Output_+400/H
{铁矿场}({等级} 17),5,17,14614,1_17,210083,210083,210083,0,252100,{铁锭} {产量}_+420/{小时},63_420,Ironmine(Lv 17),Iron Output_+420/H
{铁矿场}({等级} 18),5,18,20172,1_18,277916,277916,277916,0,333500,{铁锭} {产量}_+440/{小时},63_440,Ironmine(Lv 18),Iron Output_+440/H
{铁矿场}({等级} 19),5,19,27435,1_19,363166,363166,363166,0,435800,{铁锭} {产量}_+460/{小时},63_460,Ironmine(Lv 19),Iron Output_+460/H
{铁矿场}({等级} 20),5,20,36819,1_20,469166,469166,469166,0,563000,{铁锭} {产量}_+480/{小时},63_480,Ironmine(Lv 20),Iron Output_+480/H
{铁矿场}({等级} 21),5,21,48820,1_21,600083,600083,600083,0,720100,{铁锭} {产量}_+500/{小时},63_500,Ironmine(Lv 21),Iron Output_+500/H
{铁矿场}({等级} 22),5,22,64032,1_22,760583,760583,760583,0,912700,{铁锭} {产量}_+520/{小时},63_520,Ironmine(Lv 22),Iron Output_+520/H
{铁矿场}({等级} 23),5,23,83154,1_23,956083,956083,956083,0,1147300,{铁锭} {产量}_+550/{小时},63_550,Ironmine(Lv 23),Iron Output_+550/H
{铁矿场}({等级} 24),5,24,107009,1_24,1192750,1192750,1192750,0,1431300,{铁锭} {产量}_+580/{小时},63_580,Ironmine(Lv 24),Iron Output_+580/H
{铁矿场}({等级} 25),5,25,136564,1_25,1477750,1477750,1477750,0,1773300,{铁锭} {产量}_+620/{小时},63_620,Ironmine(Lv 25),Iron Output_+620/H
{居民楼}({等级} 1),6,1,20,0_0,25,25,25,0,10,{金币} {产量}_+150/{小时}${居民} {容量}_1,200_150+350_1,Residence(Lv 1),Gold Coin Output_+150/H$Residents Capacity_1
{居民楼}({等级} 2),6,2,40,1_2,50,50,50,0,30,{金币} {产量}_+165/{小时}${居民} {容量}_2,200_165+350_2,Residence(Lv 2),Gold Coin Output_+165/H$Residents Capacity_2
{居民楼}({等级} 3),6,3,60,1_3,100,100,100,0,100,{金币} {产量}_+180/{小时}${居民} {容量}_3,200_180+350_3,Residence(Lv 3),Gold Coin Output_+180/H$Residents Capacity_3
{居民楼}({等级} 4),6,4,80,1_4,300,300,300,0,300,{金币} {产量}_+195/{小时}${居民} {容量}_4,200_195+350_4,Residence(Lv 4),Gold Coin Output_+195/H$Residents Capacity_4
{居民楼}({等级} 5),6,5,100,1_5,808,808,808,0,970,{金币} {产量}_+210/{小时}${居民} {容量}_5,200_210+350_5,Residence(Lv 5),Gold Coin Output_+210/H$Residents Capacity_5
{居民楼}({等级} 6),6,6,150,1_6,1791,1791,1791,0,2150,{金币} {产量}_+225/{小时}${居民} {容量}_6,200_225+350_6,Residence(Lv 6),Gold Coin Output_+225/H$Residents Capacity_6
{居民楼}({等级} 7),6,7,200,1_7,3525,3525,3525,0,4230,{金币} {产量}_+240/{小时}${居民} {容量}_7,200_240+350_7,Residence(Lv 7),Gold Coin Output_+240/H$Residents Capacity_7
{居民楼}({等级} 8),6,8,300,1_8,6333,6333,6333,0,7600,{金币} {产量}_+255/{小时}${居民} {容量}_8,200_255+350_8,Residence(Lv 8),Gold Coin Output_+255/H$Residents Capacity_8
{居民楼}({等级} 9),6,9,472,1_9,10750,10750,10750,5375,12900,{金币} {产量}_+270/{小时}${居民} {容量}_9,200_270+350_9,Residence(Lv 9),Gold Coin Output_+270/H$Residents Capacity_9
{居民楼}({等级} 10),6,10,820,1_10,17416,17416,17416,8708,20900,{金币} {产量}_+285/{小时}${居民} {容量}_10,200_285+350_10,Residence(Lv 10),Gold Coin Output_+285/H$Residents Capacity_10
{居民楼}({等级} 11),6,11,1359,1_11,26916,26916,26916,13458,32300,{金币} {产量}_+300/{小时}${居民} {容量}_11,200_300+350_11,Residence(Lv 11),Gold Coin Output_+300/H$Residents Capacity_11
{居民楼}({等级} 12),6,12,2162,1_12,40166,40166,40166,20083,48200,{金币} {产量}_+320/{小时}${居民} {容量}_12,200_320+350_12,Residence(Lv 12),Gold Coin Output_+320/H$Residents Capacity_12
{居民楼}({等级} 13),6,13,3329,1_13,58333,58333,58333,29166,70000,{金币} {产量}_+340/{小时}${居民} {容量}_13,200_340+350_13,Residence(Lv 13),Gold Coin Output_+340/H$Residents Capacity_13
{居民楼}({等级} 14),6,14,4984,1_14,82750,82750,82750,41375,99300,{金币} {产量}_+360/{小时}${居民} {容量}_14,200_360+350_14,Residence(Lv 14),Gold Coin Output_+360/H$Residents Capacity_14
{居民楼}({等级} 15),6,15,7280,1_15,114833,114833,114833,57416,137800,{金币} {产量}_+380/{小时}${居民} {容量}_15,200_380+350_15,Residence(Lv 15),Gold Coin Output_+380/H$Residents Capacity_15
{居民楼}({等级} 16),6,16,10412,1_16,156583,156583,156583,78291,187900,{金币} {产量}_+400/{小时}${居民} {容量}_16,200_400+350_16,Residence(Lv 16),Gold Coin Output_+400/H$Residents Capacity_16
{居民楼}({等级} 17),6,17,14614,1_17,210083,210083,210083,105041,252100,{金币} {产量}_+420/{小时}${居民} {容量}_17,200_420+350_17,Residence(Lv 17),Gold Coin Output_+420/H$Residents Capacity_17
{居民楼}({等级} 18),6,18,20172,1_18,277916,277916,277916,138958,333500,{金币} {产量}_+440/{小时}${居民} {容量}_18,200_440+350_18,Residence(Lv 18),Gold Coin Output_+440/H$Residents Capacity_18
{居民楼}({等级} 19),6,19,27435,1_19,363166,363166,363166,181583,435800,{金币} {产量}_+460/{小时}${居民} {容量}_19,200_460+350_19,Residence(Lv 19),Gold Coin Output_+460/H$Residents Capacity_19
{居民楼}({等级} 20),6,20,36819,1_20,469166,469166,469166,234583,563000,{金币} {产量}_+480/{小时}${居民} {容量}_20,200_480+350_20,Residence(Lv 20),Gold Coin Output_+480/H$Residents Capacity_20
{居民楼}({等级} 21),6,21,48820,1_21,600083,600083,600083,300041,720100,{金币} {产量}_+500/{小时}${居民} {容量}_21,200_500+350_21,Residence(Lv 21),Gold Coin Output_+500/H$Residents Capacity_21
{居民楼}({等级} 22),6,22,64032,1_22,760583,760583,760583,380291,912700,{金币} {产量}_+520/{小时}${居民} {容量}_22,200_520+350_22,Residence(Lv 22),Gold Coin Output_+520/H$Residents Capacity_22
