CodexId,Rare,AdLv,NeedHeroList,EffectType,EffectVal
93,4,4,11_12_16,2,10
94,4,4,15_29_49,2,10
95,4,4,18_20_27,2,10
96,4,4,35_36_37,2,10
97,4,4,33_38_57,2,10
98,4,4,50_52_58,2,10
99,4,4,39_85_94,2,10
100,4,4,87_89_91,2,10
101,4,0,1_5_9,3,2
102,4,0,6_7_13,3,2
103,4,0,11_12_16,3,2
104,4,0,15_29_49,3,2
105,4,0,18_20_27,3,2
106,4,0,35_36_37,3,2
107,4,0,33_38_57,3,2
108,4,0,50_52_58,3,2
109,4,0,39_85_94,3,2
110,4,0,87_89_91,3,2
111,4,1,1_5_9,3,4
112,4,1,6_7_13,3,4
113,4,1,11_12_16,3,4
114,4,1,15_29_49,3,4
115,4,1,18_20_27,3,4
116,4,1,35_36_37,3,4
117,4,1,33_38_57,3,4
118,4,1,50_52_58,3,4
119,4,1,39_85_94,3,4
120,4,1,87_89_91,3,4
121,4,2,1_5_9,3,6
122,4,2,6_7_13,3,6
123,4,2,11_12_16,3,6
124,4,2,15_29_49,3,6
125,4,2,18_20_27,3,6
126,4,2,35_36_37,3,6
127,4,2,33_38_57,3,6
128,4,2,50_52_58,3,6
129,4,2,39_85_94,3,6
130,4,2,87_89_91,3,6
131,4,3,1_5_9,3,8
132,4,3,6_7_13,3,8
133,4,3,11_12_16,3,8
134,4,3,15_29_49,3,8
135,4,3,18_20_27,3,8
136,4,3,35_36_37,3,8
137,4,3,33_38_57,3,8
138,4,3,50_52_58,3,8
139,4,3,39_85_94,3,8
140,4,3,87_89_91,3,8
141,4,4,1_5_9,3,10
142,4,4,6_7_13,3,10
143,4,4,11_12_16,3,10
144,4,4,15_29_49,3,10
145,4,4,18_20_27,3,10
146,4,4,35_36_37,3,10
147,4,4,33_38_57,3,10
148,4,4,50_52_58,3,10
149,4,4,39_85_94,3,10
150,4,4,87_89_91,3,10
151,4,0,1_5_9,4,2
152,4,0,6_7_13,4,2
153,4,0,11_12_16,4,2
154,4,0,15_29_49,4,2
155,4,0,18_20_27,4,2
156,4,0,35_36_37,4,2
157,4,0,33_38_57,4,2
158,4,0,50_52_58,4,2
159,4,0,39_85_94,4,2
160,4,0,87_89_91,4,2
161,4,1,1_5_9,4,4
162,4,1,6_7_13,4,4
163,4,1,11_12_16,4,4
164,4,1,15_29_49,4,4
165,4,1,18_20_27,4,4
166,4,1,35_36_37,4,4
167,4,1,33_38_57,4,4
168,4,1,50_52_58,4,4
169,4,1,39_85_94,4,4
170,4,1,87_89_91,4,4
171,4,2,1_5_9,4,6
172,4,2,6_7_13,4,6
173,4,2,11_12_16,4,6
174,4,2,15_29_49,4,6
175,4,2,18_20_27,4,6
176,4,2,35_36_37,4,6
177,4,2,33_38_57,4,6
178,4,2,50_52_58,4,6
179,4,2,39_85_94,4,6
180,4,2,87_89_91,4,6
181,4,3,1_5_9,4,8
182,4,3,6_7_13,4,8
183,4,3,11_12_16,4,8
184,4,3,15_29_49,4,8
185,4,3,18_20_27,4,8
186,4,3,35_36_37,4,8
187,4,3,33_38_57,4,8
188,4,3,50_52_58,4,8
189,4,3,39_85_94,4,8
190,4,3,87_89_91,4,8
191,4,4,1_5_9,4,10
192,4,4,6_7_13,4,10
193,4,4,11_12_16,4,10
194,4,4,15_29_49,4,10
195,4,4,18_20_27,4,10
196,4,4,35_36_37,4,10
197,4,4,33_38_57,4,10
198,4,4,50_52_58,4,10
199,4,4,39_85_94,4,10
200,4,4,87_89_91,4,10
201,5,0,2_61,1,3
202,5,0,3_62,1,3
203,5,0,14_65,1,3
204,5,0,22_88,1,3
205,5,0,23_68,1,3
206,5,0,28_69,1,3
207,5,0,32_70,1,3
208,5,0,46_74,1,3
209,5,0,47_75,1,3
210,5,0,51_77,1,3
211,5,0,55_79,1,3
212,5,0,59_92,1,3
213,5,0,95_98,1,3
214,5,0,99_111,1,3
215,5,0,34_90_112,1,3
216,5,0,40_60_93,1,3
217,5,0,63_64_84,1,3
218,5,0,66_73_86,1,3
219,5,0,67_71_72,1,3
220,5,0,76_78_80,1,3
221,5,0,96_97_104,1,3
222,5,0,100_101_105,1,3
223,5,0,106_107_110,1,3
224,5,0,103_108_109,1,3
225,5,1,2_61,1,6
226,5,1,3_62,1,6
227,5,1,14_65,1,6
228,5,1,22_88,1,6
229,5,1,23_68,1,6
230,5,1,28_69,1,6
231,5,1,32_70,1,6
232,5,1,46_74,1,6
233,5,1,47_75,1,6
234,5,1,51_77,1,6
235,5,1,55_79,1,6
236,5,1,59_92,1,6
237,5,1,95_98,1,6
238,5,1,99_111,1,6
239,5,1,34_90_112,1,6
240,5,1,40_60_93,1,6
241,5,1,63_64_84,1,6
242,5,1,66_73_86,1,6
243,5,1,67_71_72,1,6
244,5,1,76_78_80,1,6
245,5,1,96_97_104,1,6
246,5,1,100_101_105,1,6
247,5,1,106_107_110,1,6
248,5,1,103_108_109,1,6
249,5,2,2_61,1,9
250,5,2,3_62,1,9
251,5,2,14_65,1,9
252,5,2,22_88,1,9
253,5,2,23_68,1,9
254,5,2,28_69,1,9
255,5,2,32_70,1,9
256,5,2,46_74,1,9
257,5,2,47_75,1,9
258,5,2,51_77,1,9
259,5,2,55_79,1,9
260,5,2,59_92,1,9
261,5,2,95_98,1,9
262,5,2,99_111,1,9
263,5,2,34_90_112,1,9
264,5,2,40_60_93,1,9
265,5,2,63_64_84,1,9
266,5,2,66_73_86,1,9
267,5,2,67_71_72,1,9
268,5,2,76_78_80,1,9
269,5,2,96_97_104,1,9
270,5,2,100_101_105,1,9
271,5,2,106_107_110,1,9
272,5,2,103_108_109,1,9
273,5,3,2_61,1,12
274,5,3,3_62,1,12
275,5,3,14_65,1,12
276,5,3,22_88,1,12
277,5,3,23_68,1,12
278,5,3,28_69,1,12
279,5,3,32_70,1,12
280,5,3,46_74,1,12
281,5,3,47_75,1,12
282,5,3,51_77,1,12
283,5,3,55_79,1,12
284,5,3,59_92,1,12
285,5,3,95_98,1,12
286,5,3,99_111,1,12
287,5,3,34_90_112,1,12
288,5,3,40_60_93,1,12
289,5,3,63_64_84,1,12
290,5,3,66_73_86,1,12
291,5,3,67_71_72,1,12
292,5,3,76_78_80,1,12
293,5,3,96_97_104,1,12
294,5,3,100_101_105,1,12
295,5,3,106_107_110,1,12
296,5,3,103_108_109,1,12
297,5,4,2_61,1,15
298,5,4,3_62,1,15
299,5,4,14_65,1,15
300,5,4,22_88,1,15
301,5,4,23_68,1,15
302,5,4,28_69,1,15
303,5,4,32_70,1,15
304,5,4,46_74,1,15
305,5,4,47_75,1,15
306,5,4,51_77,1,15
307,5,4,55_79,1,15
308,5,4,59_92,1,15
309,5,4,95_98,1,15
310,5,4,99_111,1,15
311,5,4,34_90_112,1,15
312,5,4,40_60_93,1,15
313,5,4,63_64_84,1,15
314,5,4,66_73_86,1,15
315,5,4,67_71_72,1,15
316,5,4,76_78_80,1,15
317,5,4,96_97_104,1,15
318,5,4,100_101_105,1,15
319,5,4,106_107_110,1,15
320,5,4,103_108_109,1,15
321,5,5,2_61,1,18
322,5,5,3_62,1,18
323,5,5,14_65,1,18
324,5,5,22_88,1,18
325,5,5,23_68,1,18
326,5,5,28_69,1,18
327,5,5,32_70,1,18
328,5,5,46_74,1,18
329,5,5,47_75,1,18
330,5,5,51_77,1,18
331,5,5,55_79,1,18
332,5,5,59_92,1,18
333,5,5,95_98,1,18
334,5,5,99_111,1,18
335,5,5,34_90_112,1,18
336,5,5,40_60_93,1,18
337,5,5,63_64_84,1,18
338,5,5,66_73_86,1,18
339,5,5,67_71_72,1,18
340,5,5,76_78_80,1,18
341,5,5,96_97_104,1,18
342,5,5,100_101_105,1,18
343,5,5,106_107_110,1,18
344,5,5,103_108_109,1,18
345,5,0,2_61,2,3
346,5,0,3_62,2,3
347,5,0,14_65,2,3
348,5,0,22_88,2,3
349,5,0,23_68,2,3
350,5,0,28_69,2,3
351,5,0,32_70,2,3
352,5,0,46_74,2,3
353,5,0,47_75,2,3
354,5,0,51_77,2,3
355,5,0,55_79,2,3
356,5,0,59_92,2,3
357,5,0,95_98,2,3
358,5,0,99_111,2,3
359,5,0,34_90_112,2,3
360,5,0,40_60_93,2,3
361,5,0,63_64_84,2,3
362,5,0,66_73_86,2,3
363,5,0,67_71_72,2,3
364,5,0,76_78_80,2,3
365,5,0,96_97_104,2,3
366,5,0,100_101_105,2,3
367,5,0,106_107_110,2,3
368,5,0,103_108_109,2,3
369,5,1,2_61,2,6
370,5,1,3_62,2,6
371,5,1,14_65,2,6
372,5,1,22_88,2,6
373,5,1,23_68,2,6
374,5,1,28_69,2,6
375,5,1,32_70,2,6
376,5,1,46_74,2,6
377,5,1,47_75,2,6
378,5,1,51_77,2,6
379,5,1,55_79,2,6
380,5,1,59_92,2,6
381,5,1,95_98,2,6
382,5,1,99_111,2,6
383,5,1,34_90_112,2,6
384,5,1,40_60_93,2,6
385,5,1,63_64_84,2,6
386,5,1,66_73_86,2,6
387,5,1,67_71_72,2,6
388,5,1,76_78_80,2,6
389,5,1,96_97_104,2,6
390,5,1,100_101_105,2,6
391,5,1,106_107_110,2,6
392,5,1,103_108_109,2,6
393,5,2,2_61,2,9
394,5,2,3_62,2,9
395,5,2,14_65,2,9
396,5,2,22_88,2,9
397,5,2,23_68,2,9
398,5,2,28_69,2,9
399,5,2,32_70,2,9
400,5,2,46_74,2,9
401,5,2,47_75,2,9
402,5,2,51_77,2,9
403,5,2,55_79,2,9
404,5,2,59_92,2,9
405,5,2,95_98,2,9
406,5,2,99_111,2,9
407,5,2,34_90_112,2,9
408,5,2,40_60_93,2,9
409,5,2,63_64_84,2,9
410,5,2,66_73_86,2,9
411,5,2,67_71_72,2,9
412,5,2,76_78_80,2,9
413,5,2,96_97_104,2,9
414,5,2,100_101_105,2,9
415,5,2,106_107_110,2,9
416,5,2,103_108_109,2,9
417,5,3,2_61,2,12
418,5,3,3_62,2,12
419,5,3,14_65,2,12
420,5,3,22_88,2,12
421,5,3,23_68,2,12
422,5,3,28_69,2,12
423,5,3,32_70,2,12
424,5,3,46_74,2,12
425,5,3,47_75,2,12
426,5,3,51_77,2,12
427,5,3,55_79,2,12
428,5,3,59_92,2,12
429,5,3,95_98,2,12
430,5,3,99_111,2,12
431,5,3,34_90_112,2,12
432,5,3,40_60_93,2,12
433,5,3,63_64_84,2,12
434,5,3,66_73_86,2,12
435,5,3,67_71_72,2,12
436,5,3,76_78_80,2,12
437,5,3,96_97_104,2,12
438,5,3,100_101_105,2,12
439,5,3,106_107_110,2,12
440,5,3,103_108_109,2,12
441,5,4,2_61,2,15
442,5,4,3_62,2,15
443,5,4,14_65,2,15
444,5,4,22_88,2,15
445,5,4,23_68,2,15
446,5,4,28_69,2,15
447,5,4,32_70,2,15
448,5,4,46_74,2,15
449,5,4,47_75,2,15
450,5,4,51_77,2,15
451,5,4,55_79,2,15
452,5,4,59_92,2,15
453,5,4,95_98,2,15
454,5,4,99_111,2,15
455,5,4,34_90_112,2,15
456,5,4,40_60_93,2,15
457,5,4,63_64_84,2,15
458,5,4,66_73_86,2,15
459,5,4,67_71_72,2,15
460,5,4,76_78_80,2,15
461,5,4,96_97_104,2,15
462,5,4,100_101_105,2,15
463,5,4,106_107_110,2,15
464,5,4,103_108_109,2,15
465,5,5,2_61,2,18
466,5,5,3_62,2,18
467,5,5,14_65,2,18
468,5,5,22_88,2,18
469,5,5,23_68,2,18
470,5,5,28_69,2,18
471,5,5,32_70,2,18
472,5,5,46_74,2,18
473,5,5,47_75,2,18
474,5,5,51_77,2,18
475,5,5,55_79,2,18
476,5,5,59_92,2,18
477,5,5,95_98,2,18
478,5,5,99_111,2,18
479,5,5,34_90_112,2,18
480,5,5,40_60_93,2,18
481,5,5,63_64_84,2,18
482,5,5,66_73_86,2,18
483,5,5,67_71_72,2,18
484,5,5,76_78_80,2,18
485,5,5,96_97_104,2,18
486,5,5,100_101_105,2,18
487,5,5,106_107_110,2,18
488,5,5,103_108_109,2,18
489,5,0,2_61,3,3
490,5,0,3_62,3,3
491,5,0,14_65,3,3
492,5,0,22_88,3,3
493,5,0,23_68,3,3
494,5,0,28_69,3,3
495,5,0,32_70,3,3
496,5,0,46_74,3,3
497,5,0,47_75,3,3
498,5,0,51_77,3,3
499,5,0,55_79,3,3
500,5,0,59_92,3,3
501,5,0,95_98,3,3
502,5,0,99_111,3,3
503,5,0,34_90_112,3,3
504,5,0,40_60_93,3,3
505,5,0,63_64_84,3,3
506,5,0,66_73_86,3,3
507,5,0,67_71_72,3,3
508,5,0,76_78_80,3,3
509,5,0,96_97_104,3,3
510,5,0,100_101_105,3,3
511,5,0,106_107_110,3,3
512,5,0,103_108_109,3,3
513,5,1,2_61,3,6
514,5,1,3_62,3,6
515,5,1,14_65,3,6
516,5,1,22_88,3,6
517,5,1,23_68,3,6
518,5,1,28_69,3,6
519,5,1,32_70,3,6
520,5,1,46_74,3,6
521,5,1,47_75,3,6
522,5,1,51_77,3,6
523,5,1,55_79,3,6
524,5,1,59_92,3,6
525,5,1,95_98,3,6
526,5,1,99_111,3,6
527,5,1,34_90_112,3,6
528,5,1,40_60_93,3,6
529,5,1,63_64_84,3,6
530,5,1,66_73_86,3,6
531,5,1,67_71_72,3,6
532,5,1,76_78_80,3,6
533,5,1,96_97_104,3,6
534,5,1,100_101_105,3,6
535,5,1,106_107_110,3,6
536,5,1,103_108_109,3,6
537,5,2,2_61,3,9
538,5,2,3_62,3,9
539,5,2,14_65,3,9
540,5,2,22_88,3,9
541,5,2,23_68,3,9
542,5,2,28_69,3,9
543,5,2,32_70,3,9
544,5,2,46_74,3,9
545,5,2,47_75,3,9
546,5,2,51_77,3,9
547,5,2,55_79,3,9
548,5,2,59_92,3,9
549,5,2,95_98,3,9
550,5,2,99_111,3,9
551,5,2,34_90_112,3,9
552,5,2,40_60_93,3,9
553,5,2,63_64_84,3,9
554,5,2,66_73_86,3,9
555,5,2,67_71_72,3,9
556,5,2,76_78_80,3,9
557,5,2,96_97_104,3,9
558,5,2,100_101_105,3,9
559,5,2,106_107_110,3,9
560,5,2,103_108_109,3,9
561,5,3,2_61,3,12
562,5,3,3_62,3,12
563,5,3,14_65,3,12
564,5,3,22_88,3,12
565,5,3,23_68,3,12
566,5,3,28_69,3,12
567,5,3,32_70,3,12
568,5,3,46_74,3,12
569,5,3,47_75,3,12
570,5,3,51_77,3,12
571,5,3,55_79,3,12
572,5,3,59_92,3,12
573,5,3,95_98,3,12
574,5,3,99_111,3,12
575,5,3,34_90_112,3,12
576,5,3,40_60_93,3,12
577,5,3,63_64_84,3,12
578,5,3,66_73_86,3,12
579,5,3,67_71_72,3,12
580,5,3,76_78_80,3,12
581,5,3,96_97_104,3,12
582,5,3,100_101_105,3,12
583,5,3,106_107_110,3,12
584,5,3,103_108_109,3,12
585,5,4,2_61,3,15
586,5,4,3_62,3,15
587,5,4,14_65,3,15
588,5,4,22_88,3,15
589,5,4,23_68,3,15
590,5,4,28_69,3,15
591,5,4,32_70,3,15
592,5,4,46_74,3,15
593,5,4,47_75,3,15
594,5,4,51_77,3,15
595,5,4,55_79,3,15
596,5,4,59_92,3,15
597,5,4,95_98,3,15
598,5,4,99_111,3,15
599,5,4,34_90_112,3,15
600,5,4,40_60_93,3,15
601,5,4,63_64_84,3,15
602,5,4,66_73_86,3,15
603,5,4,67_71_72,3,15
604,5,4,76_78_80,3,15
605,5,4,96_97_104,3,15
606,5,4,100_101_105,3,15
607,5,4,106_107_110,3,15
608,5,4,103_108_109,3,15
609,5,5,2_61,3,18
610,5,5,3_62,3,18
611,5,5,14_65,3,18
612,5,5,22_88,3,18
613,5,5,23_68,3,18
614,5,5,28_69,3,18
615,5,5,32_70,3,18
616,5,5,46_74,3,18
617,5,5,47_75,3,18
618,5,5,51_77,3,18
619,5,5,55_79,3,18
620,5,5,59_92,3,18
621,5,5,95_98,3,18
622,5,5,99_111,3,18
623,5,5,34_90_112,3,18
624,5,5,40_60_93,3,18
625,5,5,63_64_84,3,18
626,5,5,66_73_86,3,18
627,5,5,67_71_72,3,18
628,5,5,76_78_80,3,18
629,5,5,96_97_104,3,18
630,5,5,100_101_105,3,18
631,5,5,106_107_110,3,18
632,5,5,103_108_109,3,18
633,5,0,2_61,4,3
634,5,0,3_62,4,3
635,5,0,14_65,4,3
636,5,0,22_88,4,3
637,5,0,23_68,4,3
638,5,0,28_69,4,3
639,5,0,32_70,4,3
640,5,0,46_74,4,3
641,5,0,47_75,4,3
642,5,0,51_77,4,3
643,5,0,55_79,4,3
644,5,0,59_92,4,3
645,5,0,95_98,4,3
646,5,0,99_111,4,3
647,5,0,34_90_112,4,3
648,5,0,40_60_93,4,3
649,5,0,63_64_84,4,3
650,5,0,66_73_86,4,3
651,5,0,67_71_72,4,3
652,5,0,76_78_80,4,3
653,5,0,96_97_104,4,3
654,5,0,100_101_105,4,3
655,5,0,106_107_110,4,3
656,5,0,103_108_109,4,3
657,5,1,2_61,4,6
658,5,1,3_62,4,6
659,5,1,14_65,4,6
660,5,1,22_88,4,6
661,5,1,23_68,4,6
662,5,1,28_69,4,6
663,5,1,32_70,4,6
664,5,1,46_74,4,6
665,5,1,47_75,4,6
666,5,1,51_77,4,6
667,5,1,55_79,4,6
668,5,1,59_92,4,6
669,5,1,95_98,4,6
670,5,1,99_111,4,6
671,5,1,34_90_112,4,6
672,5,1,40_60_93,4,6
673,5,1,63_64_84,4,6
674,5,1,66_73_86,4,6
675,5,1,67_71_72,4,6
676,5,1,76_78_80,4,6
677,5,1,96_97_104,4,6
678,5,1,100_101_105,4,6
679,5,1,106_107_110,4,6
680,5,1,103_108_109,4,6
681,5,2,2_61,4,9
682,5,2,3_62,4,9
683,5,2,14_65,4,9
684,5,2,22_88,4,9
685,5,2,23_68,4,9
686,5,2,28_69,4,9
687,5,2,32_70,4,9
688,5,2,46_74,4,9
689,5,2,47_75,4,9
690,5,2,51_77,4,9
691,5,2,55_79,4,9
692,5,2,59_92,4,9
693,5,2,95_98,4,9
694,5,2,99_111,4,9
695,5,2,34_90_112,4,9
696,5,2,40_60_93,4,9
697,5,2,63_64_84,4,9
698,5,2,66_73_86,4,9
699,5,2,67_71_72,4,9
700,5,2,76_78_80,4,9
701,5,2,96_97_104,4,9
702,5,2,100_101_105,4,9
703,5,2,106_107_110,4,9
704,5,2,103_108_109,4,9
705,5,3,2_61,4,12
706,5,3,3_62,4,12
707,5,3,14_65,4,12
708,5,3,22_88,4,12
709,5,3,23_68,4,12
710,5,3,28_69,4,12
711,5,3,32_70,4,12
712,5,3,46_74,4,12
713,5,3,47_75,4,12
714,5,3,51_77,4,12
715,5,3,55_79,4,12
716,5,3,59_92,4,12
717,5,3,95_98,4,12
718,5,3,99_111,4,12
719,5,3,34_90_112,4,12
720,5,3,40_60_93,4,12
721,5,3,63_64_84,4,12
722,5,3,66_73_86,4,12
723,5,3,67_71_72,4,12
724,5,3,76_78_80,4,12
725,5,3,96_97_104,4,12
726,5,3,100_101_105,4,12
727,5,3,106_107_110,4,12
728,5,3,103_108_109,4,12
729,5,4,2_61,4,15
730,5,4,3_62,4,15
731,5,4,14_65,4,15
732,5,4,22_88,4,15
733,5,4,23_68,4,15
734,5,4,28_69,4,15
735,5,4,32_70,4,15
736,5,4,46_74,4,15
737,5,4,47_75,4,15
738,5,4,51_77,4,15
739,5,4,55_79,4,15
740,5,4,59_92,4,15
741,5,4,95_98,4,15
742,5,4,99_111,4,15
743,5,4,34_90_112,4,15
744,5,4,40_60_93,4,15
745,5,4,63_64_84,4,15
746,5,4,66_73_86,4,15
747,5,4,67_71_72,4,15
748,5,4,76_78_80,4,15
749,5,4,96_97_104,4,15
750,5,4,100_101_105,4,15
751,5,4,106_107_110,4,15
752,5,4,103_108_109,4,15
753,5,5,2_61,4,18
754,5,5,3_62,4,18
755,5,5,14_65,4,18
756,5,5,22_88,4,18
757,5,5,23_68,4,18
758,5,5,28_69,4,18
759,5,5,32_70,4,18
760,5,5,46_74,4,18
761,5,5,47_75,4,18
762,5,5,51_77,4,18
763,5,5,55_79,4,18
764,5,5,59_92,4,18
765,5,5,95_98,4,18
766,5,5,99_111,4,18
767,5,5,34_90_112,4,18
768,5,5,40_60_93,4,18
769,5,5,63_64_84,4,18
770,5,5,66_73_86,4,18
771,5,5,67_71_72,4,18
772,5,5,76_78_80,4,18
773,5,5,96_97_104,4,18
774,5,5,100_101_105,4,18
775,5,5,106_107_110,4,18
776,5,5,103_108_109,4,18
777,5,0,113_114,1,3
778,5,1,113_114,1,6
779,5,2,113_114,1,9
780,5,3,113_114,1,12
781,5,4,113_114,1,15
782,5,5,113_114,1,18
783,5,0,113_114,2,3
784,5,1,113_114,2,6
785,5,2,113_114,2,9
786,5,3,113_114,2,12
787,5,4,113_114,2,15
788,5,5,113_114,2,18
789,5,0,113_114,3,3
790,5,1,113_114,3,6
791,5,2,113_114,3,9
792,5,3,113_114,3,12
793,5,4,113_114,3,15
794,5,5,113_114,3,18
795,5,0,113_114,4,3
796,5,1,113_114,4,6
797,5,2,113_114,4,9
798,5,3,113_114,4,12
799,5,4,113_114,4,15
800,5,5,113_114,4,18
801,5,0,115_116,1,3
802,5,1,115_116,1,6
803,5,2,115_116,1,9
804,5,3,115_116,1,12
805,5,4,115_116,1,15
806,5,5,115_116,1,18
807,5,0,115_116,2,3
808,5,1,115_116,2,6
809,5,2,115_116,2,9
810,5,3,115_116,2,12
811,5,4,115_116,2,15
812,5,5,115_116,2,18
813,5,0,115_116,3,3
814,5,1,115_116,3,6
815,5,2,115_116,3,9
816,5,3,115_116,3,12
817,5,4,115_116,3,15
818,5,5,115_116,3,18
819,5,0,115_116,4,3
820,5,1,115_116,4,6
821,5,2,115_116,4,9
822,5,3,115_116,4,12
823,5,4,115_116,4,15
824,5,5,115_116,4,18
825,5,0,117_118,1,3
826,5,1,117_118,1,6
827,5,2,117_118,1,9
828,5,3,117_118,1,12
829,5,4,117_118,1,15
830,5,5,117_118,1,18
831,5,0,117_118,2,3
832,5,1,117_118,2,6
833,5,2,117_118,2,9
834,5,3,117_118,2,12
835,5,4,117_118,2,15
836,5,5,117_118,2,18
837,5,0,117_118,3,3
838,5,1,117_118,3,6
839,5,2,117_118,3,9
840,5,3,117_118,3,12
841,5,4,117_118,3,15
842,5,5,117_118,3,18
843,5,0,117_118,4,3
844,5,1,117_118,4,6
845,5,2,117_118,4,9
846,5,3,117_118,4,12
847,5,4,117_118,4,15
848,5,5,117_118,4,18
849,5,0,119_120,1,3
850,5,1,119_120,1,6
851,5,2,119_120,1,9
852,5,3,119_120,1,12
853,5,4,119_120,1,15
854,5,5,119_120,1,18
855,5,0,119_120,2,3
856,5,1,119_120,2,6
857,5,2,119_120,2,9
858,5,3,119_120,2,12
859,5,4,119_120,2,15
860,5,5,119_120,2,18
861,5,0,119_120,3,3
862,5,1,119_120,3,6
863,5,2,119_120,3,9
864,5,3,119_120,3,12
865,5,4,119_120,3,15
866,5,5,119_120,3,18
867,5,0,119_120,4,3
868,5,1,119_120,4,6
869,5,2,119_120,4,9
870,5,3,119_120,4,12
871,5,4,119_120,4,15
872,5,5,119_120,4,18
873,5,0,121_122,1,3
874,5,1,121_122,1,6
875,5,2,121_122,1,9
876,5,3,121_122,1,12
877,5,4,121_122,1,15
878,5,5,121_122,1,18
879,5,0,121_122,2,3
880,5,1,121_122,2,6
881,5,2,121_122,2,9
882,5,3,121_122,2,12
883,5,4,121_122,2,15
884,5,5,121_122,2,18
885,5,0,121_122,3,3
886,5,1,121_122,3,6
887,5,2,121_122,3,9
888,5,3,121_122,3,12
889,5,4,121_122,3,15
890,5,5,121_122,3,18
891,5,0,121_122,4,3
892,5,1,121_122,4,6
893,5,2,121_122,4,9
894,5,3,121_122,4,12
895,5,4,121_122,4,15
896,5,5,121_122,4,18
