id,icon,name,rare,type,use_type,gotoPanel,PosType,Effect,Value,timeinfo,des,name_en,des_en,timeinfo_en
1001,m_1001,{领主知识书},4,1,5,LordTalentPanel,0,0,0,0,"{用途}：{领主} {天赋点} +1
{最大使用数量}：200
{提示}:{需要额外消耗领主经验}",Lord Knowledge Book,"Application：Lord Talent Points +1
Max Usage：200
Tips:Requires additional Lord EXP",
1002,m_1002,{落星岛}-{据点建造凭证},4,1,5,NewWorldMapPanel,0,0,0,0,{用途}：{落星岛} {建造},Falling Star Island-Outpost Construction Permit,Application：Falling Star Island Build,
1003,m_1003,{陨铁矿},3,1,5,MarketPanel_12,0,0,0,0,{用途}：{商店购物},Meteoric Iron Mine,Application：Shopping Store,
1004,m_1051,{金币} {补给箱}({大型}),4,1,2,0,0,0,0,0,"{使用后获得}：{金币} x3,888",Gold Coin Supply(L),"After Use Get：Gold Coin x3,888",
1005,m_1005,{红宝石} {补给箱},6,1,2,0,0,0,0,0,{使用后获得}：{红宝石} x888,Gems Supply,After Use Get：Gems x888,
1006,m_1006,{训练手册合集},3,1,2,0,0,0,0,0,"{使用后获得}：{随机} {训练手册}
{或者} {领主经验} x40,000",Training Manuals Compendium,"After Use Get：Random Training Manual
Or Lord Exp x40,000",
1007,m_1006,{训练手册合集},4,1,2,0,0,0,0,0,"{使用后获得}：{随机} {训练手册}
{或者} {领主经验} x100,000",Training Manuals Compendium,"After Use Get：Random Training Manual
Or Lord Exp x100,000",
1008,m_1009,{人物传记集},3,1,2,0,0,0,0,0,"{使用后获得}：{随机} {领主} {传记}
{或者} {领主经验} x20,000",Biographical Collection,"After Use Get：Random Lord Biography
Or Lord Exp x20,000",
1009,m_1009,{人物传记集},4,1,2,0,0,0,0,0,"{使用后获得}：{随机} {领主} {传记}
{或者} {领主经验} x50,000",Biographical Collection,"After Use Get：Random Lord Biography
Or Lord Exp x50,000",
1010,m_1010,{领主银币},5,1,5,SmithyPanel,0,0,0,0,{用途}：{升级} {领主装备},Lord Silver Coins,Application：Upgrade Lord Equipment,
1011,m_1011,{荒原} {宝箱}-20,4,1,1,0,0,0,20,1205_5+1403_100+4_100,"{使用后获得}：
1.{英雄召唤卷} x5
2.{英雄经验书}(III) x100
3.{技能经验} x100",Wilderness Chest-20,"After Use Get：
1.Hero Summon Scroll x5
2.Hero Exp Book(III) x100
3.Skill Exp x100",
1012,m_1011,{荒原} {宝箱}-40,4,1,1,0,0,0,40,1205_5+1403_100+4_100,"{使用后获得}：
1.{英雄召唤卷} x5
2.{英雄经验书}(III) x100
3.{技能经验} x100",Wilderness Chest-40,"After Use Get：
1.Hero Summon Scroll x5
2.Hero Exp Book(III) x100
3.Skill Exp x100",
1013,m_1011,{荒原} {宝箱}-60,4,1,1,0,0,0,60,1205_10+1403_200+4_200,"{使用后获得}：
1.{英雄召唤卷} x10
2.{英雄经验书}(III) x200
3.{技能经验} x200",Wilderness Chest-60,"After Use Get：
1.Hero Summon Scroll x10
2.Hero Exp Book(III) x200
3.Skill Exp x200",
1014,m_1011,{荒原} {宝箱}-80,4,1,1,0,0,0,80,1205_10+1403_200+4_200,"{使用后获得}：
1.{英雄召唤卷} x10
2.{英雄经验书}(III) x200
3.{技能经验} x200",Wilderness Chest-80,"After Use Get：
1.Hero Summon Scroll x10
2.Hero Exp Book(III) x200
3.Skill Exp x200",
1015,m_1012,{荒原} {宝箱}-100,5,1,1,0,0,0,100,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-100,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1016,m_1012,{荒原} {宝箱}-120,5,1,1,0,0,0,120,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-120,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1017,m_1012,{荒原} {宝箱}-140,5,1,1,0,0,0,140,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-140,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1018,m_1012,{荒原} {宝箱}-160,5,1,1,0,0,0,160,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-160,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1019,m_1012,{荒原} {宝箱}-180,5,1,1,0,0,0,180,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-180,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1020,m_1012,{荒原} {宝箱}-200,5,1,1,0,0,0,200,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-200,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1021,m_1012,{荒原} {宝箱}-220,5,1,1,0,0,0,220,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-220,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1022,m_1012,{荒原} {宝箱}-240,5,1,1,0,0,0,240,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-240,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1023,m_1012,{荒原} {宝箱}-260,5,1,1,0,0,0,260,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-260,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1024,m_1012,{荒原} {宝箱}-280,5,1,1,0,0,0,280,1205_20+1403_500+4_500,"{使用后获得}：
1.{英雄召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Wilderness Chest-280,"After Use Get：
1.Hero Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1025,m_1013,{荒原} {宝箱}-300,6,1,1,0,0,0,300,1205_30+1403_1000+4_1000,"{使用后获得}：
1.{英雄召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Wilderness Chest-300,"After Use Get：
1.Hero Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1026,m_1013,{荒原} {宝箱}-320,6,1,1,0,0,0,320,1205_30+1403_1000+4_1000,"{使用后获得}：
1.{英雄召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Wilderness Chest-320,"After Use Get：
1.Hero Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1027,m_1013,{荒原} {宝箱}-340,6,1,1,0,0,0,340,1205_30+1403_1000+4_1000,"{使用后获得}：
1.{英雄召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Wilderness Chest-340,"After Use Get：
1.Hero Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1028,m_1013,{荒原} {宝箱}-360,6,1,1,0,0,0,360,1205_30+1403_1000+4_1000,"{使用后获得}：
1.{英雄召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Wilderness Chest-360,"After Use Get：
1.Hero Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1029,m_1013,{荒原} {宝箱}-380,6,1,1,0,0,0,380,1205_30+1403_1000+4_1000,"{使用后获得}：
1.{英雄召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Wilderness Chest-380,"After Use Get：
1.Hero Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1030,m_1013,{荒原} {宝箱}-400,6,1,1,0,0,0,400,1205_30+1403_1000+4_1000,"{使用后获得}：
1.{英雄召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Wilderness Chest-400,"After Use Get：
1.Hero Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1031,m_1031,{领主} {宝箱}-Lv.10,4,1,1,0,0,0,10,1210_5+1403_100+4_100,"{使用后获得}：
1.{圣物召唤卷} x5
2.{英雄经验书}(III) x100
3.{技能经验} x100",Lord Chest-Lv.10,"After Use Get：
1.Relic Summon Scroll x5
2.Hero Exp Book(III) x100
3.Skill Exp x100",
1032,m_1031,{领主} {宝箱}-Lv.20,4,1,1,0,0,0,20,1210_5+1403_100+4_100,"{使用后获得}：
1.{圣物召唤卷} x5
2.{英雄经验书}(III) x100
3.{技能经验} x100",Lord Chest-Lv.20,"After Use Get：
1.Relic Summon Scroll x5
2.Hero Exp Book(III) x100
3.Skill Exp x100",
1033,m_1031,{领主} {宝箱}-Lv.30,4,1,1,0,0,0,30,1210_10+1403_200+4_200,"{使用后获得}：
1.{圣物召唤卷} x10
2.{英雄经验书}(III) x200
3.{技能经验} x200",Lord Chest-Lv.30,"After Use Get：
1.Relic Summon Scroll x10
2.Hero Exp Book(III) x200
3.Skill Exp x200",
1034,m_1031,{领主} {宝箱}-Lv.40,4,1,1,0,0,0,40,1210_10+1403_200+4_200,"{使用后获得}：
1.{圣物召唤卷} x10
2.{英雄经验书}(III) x200
3.{技能经验} x200",Lord Chest-Lv.40,"After Use Get：
1.Relic Summon Scroll x10
2.Hero Exp Book(III) x200
3.Skill Exp x200",
1035,m_1032,{领主} {宝箱}-Lv.50,5,1,1,0,0,0,50,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.50,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1036,m_1032,{领主} {宝箱}-Lv.60,5,1,1,0,0,0,60,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.60,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1037,m_1032,{领主} {宝箱}-Lv.70,5,1,1,0,0,0,70,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.70,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1038,m_1032,{领主} {宝箱}-Lv.80,5,1,1,0,0,0,80,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.80,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1039,m_1032,{领主} {宝箱}-Lv.90,5,1,1,0,0,0,90,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.90,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1040,m_1032,{领主} {宝箱}-Lv.100,5,1,1,0,0,0,100,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.100,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1041,m_1032,{领主} {宝箱}-Lv.110,5,1,1,0,0,0,110,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.110,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1042,m_1032,{领主} {宝箱}-Lv.120,5,1,1,0,0,0,120,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.120,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1043,m_1032,{领主} {宝箱}-Lv.130,5,1,1,0,0,0,130,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.130,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1044,m_1032,{领主} {宝箱}-Lv.140,5,1,1,0,0,0,140,1210_20+1403_500+4_500,"{使用后获得}：
1.{圣物召唤卷} x20
2.{英雄经验书}(III) x500
3.{技能经验} x500",Lord Chest-Lv.140,"After Use Get：
1.Relic Summon Scroll x20
2.Hero Exp Book(III) x500
3.Skill Exp x500",
1045,m_1033,{领主} {宝箱}-Lv.150,6,1,1,0,0,0,150,1210_30+1403_1000+4_1000,"{使用后获得}：
1.{圣物召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Lord Chest-Lv.150,"After Use Get：
1.Relic Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1046,m_1033,{领主} {宝箱}-Lv.160,6,1,1,0,0,0,160,1210_30+1403_1000+4_1000,"{使用后获得}：
1.{圣物召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Lord Chest-Lv.160,"After Use Get：
1.Relic Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1047,m_1033,{领主} {宝箱}-Lv.170,6,1,1,0,0,0,170,1210_30+1403_1000+4_1000,"{使用后获得}：
1.{圣物召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Lord Chest-Lv.170,"After Use Get：
1.Relic Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1048,m_1033,{领主} {宝箱}-Lv.180,6,1,1,0,0,0,180,1210_30+1403_1000+4_1000,"{使用后获得}：
1.{圣物召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Lord Chest-Lv.180,"After Use Get：
1.Relic Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1049,m_1033,{领主} {宝箱}-Lv.190,6,1,1,0,0,0,190,1210_30+1403_1000+4_1000,"{使用后获得}：
1.{圣物召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Lord Chest-Lv.190,"After Use Get：
1.Relic Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1050,m_1033,{领主} {宝箱}-Lv.200,6,1,1,0,0,0,200,1210_30+1403_1000+4_1000,"{使用后获得}：
1.{圣物召唤卷} x30
2.{英雄经验书}(III) x1000
3.{技能经验} x1000",Lord Chest-Lv.200,"After Use Get：
1.Relic Summon Scroll x30
2.Hero Exp Book(III) x1000
3.Skill Exp x1000",
1051,m_1051,{金币} {补给箱},3,1,2,0,0,0,0,0,"{使用后获得}：{金币} x1,000",Gold Coin Supply,"After Use Get：Gold Coin x1,000",
1052,m_1052,{粮食} {补给箱},2,1,2,0,0,0,0,0,"{使用后获得}：{粮食} x2,000",Food Supply,"After Use Get：Food x2,000",
1053,m_1053,{木材} {补给箱},2,1,2,0,0,0,0,0,"{使用后获得}：{木材} x2,000",Wood Supply,"After Use Get：Wood x2,000",
1054,m_1054,{石料} {补给箱},2,1,2,0,0,0,0,0,"{使用后获得}：{石料} x2,000",Stone Supply,"After Use Get：Stone x2,000",
1055,m_1055,{铁锭} {补给箱},3,1,2,0,0,0,0,0,"{使用后获得}：{铁锭} x1,000",Iron Supply,"After Use Get：Iron x1,000",
1056,m_1057,{知识问答} {宝箱}-V,6,1,2,0,0,0,0,1_288_175+2_25000_1000+3_40_1000+1205_1_288+1094_1_255+1098_1_55,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{英雄召唤卷}、{时装图纸}、{建筑图纸},Knowledge Quiz Chest-V,Randomly Get After Use：Gems、Gold Coin、Speedup Points、Hero Summon Scroll、Fashion Drawings、Building Drawings,
1057,m_1057,{知识问答} {宝箱}-I,3,1,2,0,0,0,0,1_100_150+2_10000_1000+3_15_1000+1205_1_100+1091_1_200+1095_1_33,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{英雄召唤卷}、{时装图纸}、{建筑图纸},Knowledge Quiz Chest-I,Randomly Get After Use：Gems、Gold Coin、Speedup Points、Hero Summon Scroll、Fashion Drawings、Building Drawings,
1058,m_1057,{知识问答} {宝箱}-II,3,1,2,0,0,0,0,1_125_150+2_12500_1000+3_20_1000+1205_1_125+1092_1_200+1096_1_33,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{英雄召唤卷}、{时装图纸}、{建筑图纸},Knowledge Quiz Chest-II,Randomly Get After Use：Gems、Gold Coin、Speedup Points、Hero Summon Scroll、Fashion Drawings、Building Drawings,
1059,m_1057,{知识问答} {宝箱}-III,4,1,2,0,0,0,0,1_150_150+2_15000_1000+3_25_1000+1205_1_150+1093_1_200+1097_1_33,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{英雄召唤卷}、{时装图纸}、{建筑图纸},Knowledge Quiz Chest-III,Randomly Get After Use：Gems、Gold Coin、Speedup Points、Hero Summon Scroll、Fashion Drawings、Building Drawings,
1060,m_1057,{知识问答} {宝箱}-IV,5,1,2,0,0,0,0,1_200_150+2_20000_1000+3_30_1000+1205_1_200+1094_1_200+1098_1_33,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{英雄召唤卷}、{时装图纸}、{建筑图纸},Knowledge Quiz Chest-IV,Randomly Get After Use：Gems、Gold Coin、Speedup Points、Hero Summon Scroll、Fashion Drawings、Building Drawings,
1061,m_1061,{首领} {宝箱}(R3),3,1,2,0,0,0,0,1_100_300+2_10000_400+3_5_1000+1105_10_1000+1205_1_200+1091_1_330+1095_1_50,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{资源}、{英雄召唤卷}、{时装图纸}、{建筑图纸},Leader Chest(R3),Randomly Get After Use：Gems、Gold Coin、Speedup Points、Resources、Hero Summon Scroll、Fashion Drawings、Building Drawings,
1062,m_1061,{首领} {宝箱}(R4),4,1,2,0,0,0,0,1_188_300+2_20000_400+3_10_1000+1105_20_1000+1205_1_300+1092_1_330+1096_1_50,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{资源}、{英雄召唤卷}、{时装图纸}、{建筑图纸},Leader Chest(R4),Randomly Get After Use：Gems、Gold Coin、Speedup Points、Resources、Hero Summon Scroll、Fashion Drawings、Building Drawings,
1063,m_1061,{首领} {宝箱}(R5),5,1,2,0,0,0,0,1_288_300+2_30000_400+3_15_1000+1105_30_1000+1205_1_400+1093_1_330+1097_1_50,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{资源}、{英雄召唤卷}、{时装图纸}、{建筑图纸},Leader Chest(R5),Randomly Get After Use：Gems、Gold Coin、Speedup Points、Resources、Hero Summon Scroll、Fashion Drawings、Building Drawings,
1064,m_1061,{首领} {宝箱}(R6),6,1,2,0,0,0,0,1_388_300+2_40000_400+3_20_1000+1105_40_1000+1205_1_500+1094_1_330+1098_1_50,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{资源}、{英雄召唤卷}、{时装图纸}、{建筑图纸},Leader Chest(R6),Randomly Get After Use：Gems、Gold Coin、Speedup Points、Resources、Hero Summon Scroll、Fashion Drawings、Building Drawings,
1071,m_1071,{领地} {宝箱}(R3),3,1,2,0,0,0,0,1_100_300+2_10000_400+3_5_1000+1105_10_1000+1210_1_200+1091_1_330+1095_1_50,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{资源}、{圣物召唤卷}、{时装图纸}、{建筑图纸},Territory Chest(R3),Randomly Get After Use：Gems、Gold Coin、Speedup Points、Resources、Relic Summon Scroll、Fashion Drawings、Building Drawings,
1072,m_1071,{领地} {宝箱}(R4),4,1,2,0,0,0,0,1_188_300+2_20000_400+3_10_1000+1105_20_1000+1210_1_300+1092_1_330+1096_1_50,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{资源}、{圣物召唤卷}、{时装图纸}、{建筑图纸},Territory Chest(R4),Randomly Get After Use：Gems、Gold Coin、Speedup Points、Resources、Relic Summon Scroll、Fashion Drawings、Building Drawings,
1073,m_1072,{领地} {宝箱}(R5),5,1,2,0,0,0,0,1_288_300+2_30000_400+3_15_1000+1105_30_1000+1210_1_400+1093_1_330+1097_1_50,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{资源}、{圣物召唤卷}、{时装图纸}、{建筑图纸},Territory Chest(R5),Randomly Get After Use：Gems、Gold Coin、Speedup Points、Resources、Relic Summon Scroll、Fashion Drawings、Building Drawings,
1074,m_1073,{领地} {宝箱}(R6),6,1,2,0,0,0,0,1_388_300+2_40000_400+3_20_1000+1105_40_1000+1210_1_500+1094_1_330+1098_1_50,{使用后随机获得}：{红宝石}、{金币}、{加速点}、{资源}、{圣物召唤卷}、{时装图纸}、{建筑图纸},Territory Chest(R6),Randomly Get After Use：Gems、Gold Coin、Speedup Points、Resources、Relic Summon Scroll、Fashion Drawings、Building Drawings,
