TalentType,Name,TalentLv,NeedPoint,Des,Effect,Name_en,Des_en
8,{训练},12,1,{士兵训练速度} +0.6%,13_0.006,Train,Soldier Training Spd +0.6%
8,{训练},13,1,{士兵训练速度} +0.6%,13_0.006,Train,Soldier Training Spd +0.6%
8,{训练},14,1,{士兵训练速度} +0.6%,13_0.006,Train,Soldier Training Spd +0.6%
8,{训练},15,5,{士兵训练速度} +3.6%,13_0.036,Train,Soldier Training Spd +3.6%
8,{训练},16,1,{士兵训练速度} +1.2%,13_0.012,Train,Soldier Training Spd +1.2%
8,{训练},17,1,{士兵训练速度} +1.2%,13_0.012,Train,Soldier Training Spd +1.2%
8,{训练},18,1,{士兵训练速度} +1.2%,13_0.012,Train,Soldier Training Spd +1.2%
8,{训练},19,1,{士兵训练速度} +1.2%,13_0.012,Train,Soldier Training Spd +1.2%
8,{训练},20,10,{士兵训练速度} +9%,13_0.09,Train,Soldier Training Spd +9%
9,{治疗},1,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},2,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},3,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},4,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},5,4,{医院治疗速度} +2.4%,14_0.024,Heal,Hospital Heal Spd +2.4%
9,{治疗},6,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},7,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},8,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},9,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},10,5,{医院治疗速度} +3%,14_0.03,Heal,Hospital Heal Spd +3%
9,{治疗},11,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},12,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},13,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},14,1,{医院治疗速度} +0.6%,14_0.006,Heal,Hospital Heal Spd +0.6%
9,{治疗},15,5,{医院治疗速度} +3.6%,14_0.036,Heal,Hospital Heal Spd +3.6%
9,{治疗},16,1,{医院治疗速度} +1.2%,14_0.012,Heal,Hospital Heal Spd +1.2%
9,{治疗},17,1,{医院治疗速度} +1.2%,14_0.012,Heal,Hospital Heal Spd +1.2%
9,{治疗},18,1,{医院治疗速度} +1.2%,14_0.012,Heal,Hospital Heal Spd +1.2%
9,{治疗},19,1,{医院治疗速度} +1.2%,14_0.012,Heal,Hospital Heal Spd +1.2%
9,{治疗},20,10,{医院治疗速度} +9%,14_0.09,Heal,Hospital Heal Spd +9%
10,{铁匠},1,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},2,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},3,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},4,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},5,4,{铁匠铺制造速度} +2.4%,250_0.024,Blacksmith,Smithy Manufacturing Spd +2.4%
10,{铁匠},6,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},7,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},8,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},9,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},10,5,{铁匠铺制造速度} +3%,250_0.03,Blacksmith,Smithy Manufacturing Spd +3%
10,{铁匠},11,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},12,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},13,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},14,1,{铁匠铺制造速度} +0.6%,250_0.006,Blacksmith,Smithy Manufacturing Spd +0.6%
10,{铁匠},15,5,{铁匠铺制造速度} +3.6%,250_0.036,Blacksmith,Smithy Manufacturing Spd +3.6%
10,{铁匠},16,1,{铁匠铺制造速度} +1.2%,250_0.012,Blacksmith,Smithy Manufacturing Spd +1.2%
10,{铁匠},17,1,{铁匠铺制造速度} +1.2%,250_0.012,Blacksmith,Smithy Manufacturing Spd +1.2%
10,{铁匠},18,1,{铁匠铺制造速度} +1.2%,250_0.012,Blacksmith,Smithy Manufacturing Spd +1.2%
10,{铁匠},19,1,{铁匠铺制造速度} +1.2%,250_0.012,Blacksmith,Smithy Manufacturing Spd +1.2%
10,{铁匠},20,10,{铁匠铺制造速度} +9%,250_0.09,Blacksmith,Smithy Manufacturing Spd +9%
