name,id,lv,power,need_technology,union_Ci,union_Si,union_Fe,union_Ue,union_Gold,time,des,function_val,buff_id,name_en,des_en
{训练有素},5023,1,44,5012_1,400,400,400,200,200,14400,{士兵训练速度}_+1%,0.01,13,Well Trained,Soldier Training Spd_+1%
{训练有素},5023,2,112,0,800,800,800,400,400,14400,{士兵训练速度}_+2%,0.02,13,Well Trained,Soldier Training Spd_+2%
{训练有素},5023,3,211,0,1200,1200,1200,600,600,14400,{士兵训练速度}_+3%,0.03,13,Well Trained,Soldier Training Spd_+3%
{训练有素},5023,4,356,0,1800,1800,1800,900,900,14400,{士兵训练速度}_+4%,0.04,13,Well Trained,Soldier Training Spd_+4%
{训练有素},5023,5,654,0,2160,2160,2160,1080,1080,14400,{士兵训练速度}_+5%,0.05,13,Well Trained,Soldier Training Spd_+5%
{加速愈合},5024,1,44,5012_1,400,400,400,200,200,14400,{治疗速度}_+1%,0.01,14,Healing Speedup,Healing Spd_+1%
{加速愈合},5024,2,112,0,800,800,800,400,400,14400,{治疗速度}_+2%,0.02,14,Healing Speedup,Healing Spd_+2%
{加速愈合},5024,3,211,0,1200,1200,1200,600,600,14400,{治疗速度}_+3%,0.03,14,Healing Speedup,Healing Spd_+3%
{加速愈合},5024,4,356,0,1800,1800,1800,900,900,14400,{治疗速度}_+4%,0.04,14,Healing Speedup,Healing Spd_+4%
{加速愈合},5024,5,654,0,2160,2160,2160,1080,1080,14400,{治疗速度}_+5%,0.05,14,Healing Speedup,Healing Spd_+5%
{硕果累累},5031,1,111,5021_1+5022_1+5023_1+5024_1,2700,2700,2700,1350,1350,28800,{主城所有资源产量}_+1%,0.01,1,Fully Loaded,City All Resource Output_+1%
{硕果累累},5031,2,334,0,5400,5400,5400,2700,2700,28800,{主城所有资源产量}_+2%,0.02,1,Fully Loaded,City All Resource Output_+2%
{硕果累累},5031,3,779,0,8100,8100,8100,4050,4050,28800,{主城所有资源产量}_+3%,0.03,1,Fully Loaded,City All Resource Output_+3%
{硕果累累},5031,4,1666,0,10800,10800,10800,5400,5400,28800,{主城所有资源产量}_+6%,0.06,1,Fully Loaded,City All Resource Output_+6%
{硕果累累},5031,5,3470,0,14400,14400,14400,7200,7200,28800,{主城所有资源产量}_+10%,0.1,1,Fully Loaded,City All Resource Output_+10%
{粮食耕作} I,5041,1,26,5031_1,720,720,720,360,360,28800,{主城农场产量}_+1%,0.01,2,Food Gathering I,City Farm Output_+1%
{粮食耕作} I,5041,2,80,0,1080,1080,1080,540,540,28800,{主城农场产量}_+3%,0.03,2,Food Gathering I,City Farm Output_+3%
{粮食耕作} I,5041,3,187,0,1800,1800,1800,900,900,28800,{主城农场产量}_+6%,0.06,2,Food Gathering I,City Farm Output_+6%
{粮食耕作} I,5041,4,401,0,2700,2700,2700,1350,1350,28800,{主城农场产量}_+10%,0.1,2,Food Gathering I,City Farm Output_+10%
{粮食耕作} I,5041,5,830,0,4500,4500,4500,2250,2250,28800,{主城农场产量}_+15%,0.15,2,Food Gathering I,City Farm Output_+15%
{木材加工} I,5042,1,26,5031_1,720,720,720,360,360,28800,{主城伐木场产量}_+1%,0.01,3,Wood Gathering I,City Sawmill Output_+1%
{木材加工} I,5042,2,80,0,1080,1080,1080,540,540,28800,{主城伐木场产量}_+3%,0.03,3,Wood Gathering I,City Sawmill Output_+3%
{木材加工} I,5042,3,187,0,1800,1800,1800,900,900,28800,{主城伐木场产量}_+6%,0.06,3,Wood Gathering I,City Sawmill Output_+6%
{木材加工} I,5042,4,401,0,2700,2700,2700,1350,1350,28800,{主城伐木场产量}_+10%,0.1,3,Wood Gathering I,City Sawmill Output_+10%
{木材加工} I,5042,5,830,0,4500,4500,4500,2250,2250,28800,{主城伐木场产量}_+15%,0.15,3,Wood Gathering I,City Sawmill Output_+15%
{石料打磨} I,5043,1,97,5031_1,720,720,720,360,360,28800,{主城采石场产量}_+1%,0.01,4,Stone Gathering I,City Quarry Production_+1%
{石料打磨} I,5043,2,277,0,1080,1080,1080,540,540,28800,{主城采石场产量}_+3%,0.03,4,Stone Gathering I,City Quarry Production_+3%
{石料打磨} I,5043,3,621,0,1800,1800,1800,900,900,28800,{主城采石场产量}_+6%,0.06,4,Stone Gathering I,City Quarry Production_+6%
{石料打磨} I,5043,4,1303,0,2700,2700,2700,1350,1350,28800,{主城采石场产量}_+10%,0.1,4,Stone Gathering I,City Quarry Production_+10%
{石料打磨} I,5043,5,2653,0,4500,4500,4500,2250,2250,28800,{主城采石场产量}_+15%,0.15,4,Stone Gathering I,City Quarry Production_+15%
{铁锭锤炼} I,5044,1,97,5031_1,720,720,720,360,360,28800,{主城铁矿场产量}_+1%,0.01,5,Iron Gathering I,City Ironminee Output_+1%
{铁锭锤炼} I,5044,2,277,0,1080,1080,1080,540,540,28800,{主城铁矿场产量}_+3%,0.03,5,Iron Gathering I,City Ironminee Output_+3%
{铁锭锤炼} I,5044,3,621,0,1800,1800,1800,900,900,28800,{主城铁矿场产量}_+6%,0.06,5,Iron Gathering I,City Ironminee Output_+6%
{铁锭锤炼} I,5044,4,1303,0,2700,2700,2700,1350,1350,28800,{主城铁矿场产量}_+10%,0.1,5,Iron Gathering I,City Ironminee Output_+10%
{铁锭锤炼} I,5044,5,2653,0,4500,4500,4500,2250,2250,28800,{主城铁矿场产量}_+15%,0.15,5,Iron Gathering I,City Ironminee Output_+15%
{成员扩充} II,5051,1,338,5041_1+5042_1+5043_1+5044_1,4500,4500,4500,2250,2250,28800,{联盟人数}_+5,5,38,Member Expansing II,Number Of Union Members_+5
{成员扩充} II,5051,2,829,0,7200,7200,7200,3600,3600,28800,{联盟人数}_+10,10,38,Member Expansing II,Number Of Union Members_+10
{成员扩充} II,5051,3,1537,0,10800,10800,10800,5400,5400,28800,{联盟人数}_+15,15,38,Member Expansing II,Number Of Union Members_+15
{成员扩充} II,5051,4,2552,0,14400,14400,14400,7200,7200,28800,{联盟人数}_+20,20,38,Member Expansing II,Number Of Union Members_+20
{成员扩充} II,5051,5,4019,0,18000,18000,18000,9000,9000,28800,{联盟人数}_+25,25,38,Member Expansing II,Number Of Union Members_+25
{成员扩充} II,5051,6,6184,0,21600,21600,21600,10800,10800,28800,{联盟人数}_+30,30,38,Member Expansing II,Number Of Union Members_+30
{成员扩充} II,5051,7,9332,0,27000,27000,27000,13500,13500,28800,{联盟人数}_+35,35,38,Member Expansing II,Number Of Union Members_+35
{成员扩充} II,5051,8,13842,0,32400,32400,32400,16200,16200,28800,{联盟人数}_+40,40,38,Member Expansing II,Number Of Union Members_+40
{成员扩充} II,5051,9,20323,0,37800,37800,37800,18900,18900,28800,{联盟人数}_+45,45,38,Member Expansing II,Number Of Union Members_+45
{成员扩充} II,5051,10,30129,0,45000,45000,45000,22500,22500,28800,{联盟人数}_+50,50,38,Member Expansing II,Number Of Union Members_+50
{建筑技巧} II,5061,1,338,5051_1,4500,4500,4500,2250,2250,28800,{建造速度}_+1%,0.01,11,Building Technique II,Build Spd_+1%
{建筑技巧} II,5061,2,829,0,7200,7200,7200,3600,3600,28800,{建造速度}_+2%,0.02,11,Building Technique II,Build Spd_+2%
{建筑技巧} II,5061,3,1537,0,10800,10800,10800,5400,5400,28800,{建造速度}_+3%,0.03,11,Building Technique II,Build Spd_+3%
{建筑技巧} II,5061,4,2552,0,14400,14400,14400,7200,7200,28800,{建造速度}_+4%,0.04,11,Building Technique II,Build Spd_+4%
{建筑技巧} II,5061,5,4019,5021_5,18000,18000,18000,9000,9000,28800,{建造速度}_+5%,0.05,11,Building Technique II,Build Spd_+5%
{建筑技巧} II,5061,6,6184,0,21600,21600,21600,10800,10800,28800,{建造速度}_+6%,0.06,11,Building Technique II,Build Spd_+6%
{建筑技巧} II,5061,7,9332,0,27000,27000,27000,13500,13500,28800,{建造速度}_+7%,0.07,11,Building Technique II,Build Spd_+7%
{建筑技巧} II,5061,8,13842,0,32400,32400,32400,16200,16200,28800,{建造速度}_+8%,0.08,11,Building Technique II,Build Spd_+8%
{建筑技巧} II,5061,9,20323,0,37800,37800,37800,18900,18900,28800,{建造速度}_+9%,0.09,11,Building Technique II,Build Spd_+9%
{建筑技巧} II,5061,10,30129,5051_10,45000,45000,45000,22500,22500,28800,{建造速度}_+10%,0.1,11,Building Technique II,Build Spd_+10%
{科研} II,5062,1,338,5051_1,4500,4500,4500,2250,2250,28800,{研究速度}_+1%,0.01,12,Research II,Research Spd_+1%
{科研} II,5062,2,829,0,7200,7200,7200,3600,3600,28800,{研究速度}_+2%,0.02,12,Research II,Research Spd_+2%
{科研} II,5062,3,1537,0,10800,10800,10800,5400,5400,28800,{研究速度}_+3%,0.03,12,Research II,Research Spd_+3%
{科研} II,5062,4,2552,0,14400,14400,14400,7200,7200,28800,{研究速度}_+4%,0.04,12,Research II,Research Spd_+4%
{科研} II,5062,5,4019,5022_5,18000,18000,18000,9000,9000,28800,{研究速度}_+5%,0.05,12,Research II,Research Spd_+5%
{科研} II,5062,6,6184,0,21600,21600,21600,10800,10800,28800,{研究速度}_+6%,0.06,12,Research II,Research Spd_+6%
{科研} II,5062,7,9332,0,27000,27000,27000,13500,13500,28800,{研究速度}_+7%,0.07,12,Research II,Research Spd_+7%
{科研} II,5062,8,13842,0,32400,32400,32400,16200,16200,28800,{研究速度}_+8%,0.08,12,Research II,Research Spd_+8%
{科研} II,5062,9,20323,0,37800,37800,37800,18900,18900,28800,{研究速度}_+9%,0.09,12,Research II,Research Spd_+9%
{科研} II,5062,10,30129,5051_10,45000,45000,45000,22500,22500,28800,{研究速度}_+10%,0.1,12,Research II,Research Spd_+10%
{训练有素} II,5063,1,338,5051_1,4500,4500,4500,2250,2250,28800,{士兵训练速度}_+1%,0.01,13,Well Trained II,Soldier Training Spd_+1%
{训练有素} II,5063,2,829,0,7200,7200,7200,3600,3600,28800,{士兵训练速度}_+2%,0.02,13,Well Trained II,Soldier Training Spd_+2%
{训练有素} II,5063,3,1537,0,10800,10800,10800,5400,5400,28800,{士兵训练速度}_+3%,0.03,13,Well Trained II,Soldier Training Spd_+3%
{训练有素} II,5063,4,2552,0,14400,14400,14400,7200,7200,28800,{士兵训练速度}_+4%,0.04,13,Well Trained II,Soldier Training Spd_+4%
{训练有素} II,5063,5,4019,5023_5,18000,18000,18000,9000,9000,28800,{士兵训练速度}_+5%,0.05,13,Well Trained II,Soldier Training Spd_+5%
{训练有素} II,5063,6,6184,0,21600,21600,21600,10800,10800,28800,{士兵训练速度}_+7%,0.07,13,Well Trained II,Soldier Training Spd_+7%
{训练有素} II,5063,7,9332,0,27000,27000,27000,13500,13500,28800,{士兵训练速度}_+9%,0.09,13,Well Trained II,Soldier Training Spd_+9%
{训练有素} II,5063,8,13842,0,32400,32400,32400,16200,16200,28800,{士兵训练速度}_+11%,0.11,13,Well Trained II,Soldier Training Spd_+11%
{训练有素} II,5063,9,20323,0,37800,37800,37800,18900,18900,28800,{士兵训练速度}_+13%,0.13,13,Well Trained II,Soldier Training Spd_+13%
{训练有素} II,5063,10,30129,5051_10,45000,45000,45000,22500,22500,28800,{士兵训练速度}_+15%,0.15,13,Well Trained II,Soldier Training Spd_+15%
{加速愈合} II,5064,1,338,5051_1,4500,4500,4500,2250,2250,28800,{治疗速度}_+1%,0.01,14,Healing Speedup II,Healing Spd_+1%
{加速愈合} II,5064,2,829,0,7200,7200,7200,3600,3600,28800,{治疗速度}_+2%,0.02,14,Healing Speedup II,Healing Spd_+2%
{加速愈合} II,5064,3,1537,0,10800,10800,10800,5400,5400,28800,{治疗速度}_+3%,0.03,14,Healing Speedup II,Healing Spd_+3%
{加速愈合} II,5064,4,2552,0,14400,14400,14400,7200,7200,28800,{治疗速度}_+4%,0.04,14,Healing Speedup II,Healing Spd_+4%
{加速愈合} II,5064,5,4019,5024_5,18000,18000,18000,9000,9000,28800,{治疗速度}_+5%,0.05,14,Healing Speedup II,Healing Spd_+5%
{加速愈合} II,5064,6,6184,0,21600,21600,21600,10800,10800,28800,{治疗速度}_+7%,0.07,14,Healing Speedup II,Healing Spd_+7%
{加速愈合} II,5064,7,9332,0,27000,27000,27000,13500,13500,28800,{治疗速度}_+9%,0.09,14,Healing Speedup II,Healing Spd_+9%
{加速愈合} II,5064,8,13842,0,32400,32400,32400,16200,16200,28800,{治疗速度}_+11%,0.11,14,Healing Speedup II,Healing Spd_+11%
{加速愈合} II,5064,9,20323,0,37800,37800,37800,18900,18900,28800,{治疗速度}_+13%,0.13,14,Healing Speedup II,Healing Spd_+13%
{加速愈合} II,5064,10,30129,5051_10,45000,45000,45000,22500,22500,28800,{治疗速度}_+15%,0.15,14,Healing Speedup II,Healing Spd_+15%
{远征军},5071,1,338,5061_1+5062_1+5063_1+5064_1,7200,7200,7200,3600,3600,43200,{战车} {对城墙造成伤害}_+2%,0.02,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+2%
{远征军},5071,2,829,0,10800,10800,10800,5400,5400,43200,{战车} {对城墙造成伤害}_+4%,0.04,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+4%
{远征军},5071,3,1537,0,14400,14400,14400,7200,7200,43200,{战车} {对城墙造成伤害}_+6%,0.06,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+6%
{远征军},5071,4,2552,0,18000,18000,18000,9000,9000,43200,{战车} {对城墙造成伤害}_+8%,0.08,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+8%
{远征军},5071,5,4019,5061_5+5062_5+5063_5+5064_5,21600,21600,21600,10800,10800,43200,{战车} {对城墙造成伤害}_+10%,0.1,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+10%
{远征军},5071,6,6184,0,27000,27000,27000,13500,13500,43200,{战车} {对城墙造成伤害}_+14%,0.14,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+14%
{远征军},5071,7,9332,0,32400,32400,32400,16200,16200,43200,{战车} {对城墙造成伤害}_+18%,0.18,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+18%
{远征军},5071,8,13842,0,37800,37800,37800,18900,18900,43200,{战车} {对城墙造成伤害}_+22%,0.22,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+22%
{远征军},5071,9,20323,0,45000,45000,45000,22500,22500,43200,{战车} {对城墙造成伤害}_+26%,0.26,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+26%
{远征军},5071,10,30129,5061_10+5062_10+5063_10+5064_10,54000,54000,54000,27000,27000,43200,{战车} {对城墙造成伤害}_+30%,0.3,320,Expeditionary Corps,Chariot Deal DMG To The Wall_+30%
{粮食耕作} II,5081,1,338,5071_1,7200,7200,7200,3600,3600,43200,{大世界农场产量}_+1%,0.01,7,Food Gathering II,Great World Farm Output_+1%
{粮食耕作} II,5081,2,829,0,10800,10800,10800,5400,5400,43200,{大世界农场产量}_+2%,0.02,7,Food Gathering II,Great World Farm Output_+2%
{粮食耕作} II,5081,3,1537,0,14400,14400,14400,7200,7200,43200,{大世界农场产量}_+3%,0.03,7,Food Gathering II,Great World Farm Output_+3%
{粮食耕作} II,5081,4,2552,0,18000,18000,18000,9000,9000,43200,{大世界农场产量}_+4%,0.04,7,Food Gathering II,Great World Farm Output_+4%
{粮食耕作} II,5081,5,4019,0,21600,21600,21600,10800,10800,43200,{大世界农场产量}_+6%,0.06,7,Food Gathering II,Great World Farm Output_+6%
{粮食耕作} II,5081,6,6184,0,27000,27000,27000,13500,13500,43200,{大世界农场产量}_+8%,0.08,7,Food Gathering II,Great World Farm Output_+8%
{粮食耕作} II,5081,7,9332,0,32400,32400,32400,16200,16200,43200,{大世界农场产量}_+10%,0.1,7,Food Gathering II,Great World Farm Output_+10%
{粮食耕作} II,5081,8,13842,0,37800,37800,37800,18900,18900,43200,{大世界农场产量}_+12%,0.12,7,Food Gathering II,Great World Farm Output_+12%
{粮食耕作} II,5081,9,20323,0,45000,45000,45000,22500,22500,43200,{大世界农场产量}_+15%,0.15,7,Food Gathering II,Great World Farm Output_+15%
{粮食耕作} II,5081,10,30129,5071_10,54000,54000,54000,27000,27000,43200,{大世界农场产量}_+20%,0.2,7,Food Gathering II,Great World Farm Output_+20%
{木材加工} II,5082,1,338,5071_1,7200,7200,7200,3600,3600,43200,{大世界伐木场产量}_+1%,0.01,8,Wood Gathering II,Great World Sawmill Output_+1%
{木材加工} II,5082,2,829,0,10800,10800,10800,5400,5400,43200,{大世界伐木场产量}_+2%,0.02,8,Wood Gathering II,Great World Sawmill Output_+2%
{木材加工} II,5082,3,1537,0,14400,14400,14400,7200,7200,43200,{大世界伐木场产量}_+3%,0.03,8,Wood Gathering II,Great World Sawmill Output_+3%
{木材加工} II,5082,4,2552,0,18000,18000,18000,9000,9000,43200,{大世界伐木场产量}_+4%,0.04,8,Wood Gathering II,Great World Sawmill Output_+4%
{木材加工} II,5082,5,4019,0,21600,21600,21600,10800,10800,43200,{大世界伐木场产量}_+6%,0.06,8,Wood Gathering II,Great World Sawmill Output_+6%
{木材加工} II,5082,6,6184,0,27000,27000,27000,13500,13500,43200,{大世界伐木场产量}_+8%,0.08,8,Wood Gathering II,Great World Sawmill Output_+8%
{木材加工} II,5082,7,9332,0,32400,32400,32400,16200,16200,43200,{大世界伐木场产量}_+10%,0.1,8,Wood Gathering II,Great World Sawmill Output_+10%
{木材加工} II,5082,8,13842,0,37800,37800,37800,18900,18900,43200,{大世界伐木场产量}_+12%,0.12,8,Wood Gathering II,Great World Sawmill Output_+12%
{木材加工} II,5082,9,20323,0,45000,45000,45000,22500,22500,43200,{大世界伐木场产量}_+15%,0.15,8,Wood Gathering II,Great World Sawmill Output_+15%
{木材加工} II,5082,10,30129,5071_10,54000,54000,54000,27000,27000,43200,{大世界伐木场产量}_+20%,0.2,8,Wood Gathering II,Great World Sawmill Output_+20%
{石料打磨} II,5083,1,338,5071_1,7200,7200,7200,3600,3600,43200,{大世界采石场产量}_+1%,0.01,9,Stone Gathering II,Great World Quarry Output_+1%
{石料打磨} II,5083,2,829,0,10800,10800,10800,5400,5400,43200,{大世界采石场产量}_+2%,0.02,9,Stone Gathering II,Great World Quarry Output_+2%
{石料打磨} II,5083,3,1537,0,14400,14400,14400,7200,7200,43200,{大世界采石场产量}_+3%,0.03,9,Stone Gathering II,Great World Quarry Output_+3%
{石料打磨} II,5083,4,2552,0,18000,18000,18000,9000,9000,43200,{大世界采石场产量}_+4%,0.04,9,Stone Gathering II,Great World Quarry Output_+4%
{石料打磨} II,5083,5,4019,0,21600,21600,21600,10800,10800,43200,{大世界采石场产量}_+6%,0.06,9,Stone Gathering II,Great World Quarry Output_+6%
{石料打磨} II,5083,6,6184,0,27000,27000,27000,13500,13500,43200,{大世界采石场产量}_+8%,0.08,9,Stone Gathering II,Great World Quarry Output_+8%
{石料打磨} II,5083,7,9332,0,32400,32400,32400,16200,16200,43200,{大世界采石场产量}_+10%,0.1,9,Stone Gathering II,Great World Quarry Output_+10%
{石料打磨} II,5083,8,13842,0,37800,37800,37800,18900,18900,43200,{大世界采石场产量}_+12%,0.12,9,Stone Gathering II,Great World Quarry Output_+12%
{石料打磨} II,5083,9,20323,0,45000,45000,45000,22500,22500,43200,{大世界采石场产量}_+15%,0.15,9,Stone Gathering II,Great World Quarry Output_+15%
{石料打磨} II,5083,10,30129,5071_10,54000,54000,54000,27000,27000,43200,{大世界采石场产量}_+20%,0.2,9,Stone Gathering II,Great World Quarry Output_+20%
{铁锭锤炼} II,5084,1,338,5071_1,7200,7200,7200,3600,3600,43200,{大世界铁矿场产量}_+1%,0.01,10,Iron Gathering II,Great World Ironmine Output_+1%
{铁锭锤炼} II,5084,2,829,0,10800,10800,10800,5400,5400,43200,{大世界铁矿场产量}_+2%,0.02,10,Iron Gathering II,Great World Ironmine Output_+2%
{铁锭锤炼} II,5084,3,1537,0,14400,14400,14400,7200,7200,43200,{大世界铁矿场产量}_+3%,0.03,10,Iron Gathering II,Great World Ironmine Output_+3%
{铁锭锤炼} II,5084,4,2552,0,18000,18000,18000,9000,9000,43200,{大世界铁矿场产量}_+4%,0.04,10,Iron Gathering II,Great World Ironmine Output_+4%
{铁锭锤炼} II,5084,5,4019,0,21600,21600,21600,10800,10800,43200,{大世界铁矿场产量}_+6%,0.06,10,Iron Gathering II,Great World Ironmine Output_+6%
{铁锭锤炼} II,5084,6,6184,0,27000,27000,27000,13500,13500,43200,{大世界铁矿场产量}_+8%,0.08,10,Iron Gathering II,Great World Ironmine Output_+8%
{铁锭锤炼} II,5084,7,9332,0,32400,32400,32400,16200,16200,43200,{大世界铁矿场产量}_+10%,0.1,10,Iron Gathering II,Great World Ironmine Output_+10%
{铁锭锤炼} II,5084,8,13842,0,37800,37800,37800,18900,18900,43200,{大世界铁矿场产量}_+12%,0.12,10,Iron Gathering II,Great World Ironmine Output_+12%
{铁锭锤炼} II,5084,9,20323,0,45000,45000,45000,22500,22500,43200,{大世界铁矿场产量}_+15%,0.15,10,Iron Gathering II,Great World Ironmine Output_+15%
{铁锭锤炼} II,5084,10,30129,5071_10,54000,54000,54000,27000,27000,43200,{大世界铁矿场产量}_+20%,0.2,10,Iron Gathering II,Great World Ironmine Output_+20%
{步兵} {集训} I,6011,1,30,0,300,300,300,150,150,14400,{步兵} {攻击}_+1%,0.01,18,Infantry Intensive Training I,Infantry ATK_+1%
{步兵} {集训} I,6011,2,72,0,600,600,600,300,300,14400,{步兵} {攻击}_+2%,0.02,18,Infantry Intensive Training I,Infantry ATK_+2%
{步兵} {集训} I,6011,3,149,0,900,900,900,450,450,14400,{步兵} {攻击}_+3%,0.03,18,Infantry Intensive Training I,Infantry ATK_+3%
{步兵} {集训} I,6011,4,273,0,1350,1350,1350,675,675,14400,{步兵} {攻击}_+4%,0.04,18,Infantry Intensive Training I,Infantry ATK_+4%
{步兵} {集训} I,6011,5,487,0,1620,1620,1620,810,810,14400,{步兵} {攻击}_+5%,0.05,18,Infantry Intensive Training I,Infantry ATK_+5%
{弓兵} {集训} I,6012,1,30,0,300,300,300,150,150,14400,{弓兵} {攻击}_+1%,0.01,19,Archer Intensive Training I,Archer ATK_+1%
{弓兵} {集训} I,6012,2,72,0,600,600,600,300,300,14400,{弓兵} {攻击}_+2%,0.02,19,Archer Intensive Training I,Archer ATK_+2%
{弓兵} {集训} I,6012,3,149,0,900,900,900,450,450,14400,{弓兵} {攻击}_+3%,0.03,19,Archer Intensive Training I,Archer ATK_+3%
{弓兵} {集训} I,6012,4,273,0,1350,1350,1350,675,675,14400,{弓兵} {攻击}_+4%,0.04,19,Archer Intensive Training I,Archer ATK_+4%
{弓兵} {集训} I,6012,5,487,0,1620,1620,1620,810,810,14400,{弓兵} {攻击}_+5%,0.05,19,Archer Intensive Training I,Archer ATK_+5%
{骑兵} {集训} I,6013,1,30,0,300,300,300,150,150,14400,{骑兵} {攻击}_+1%,0.01,20,Cavalry Intensive Training I,Cavalry ATK_+1%
{骑兵} {集训} I,6013,2,72,0,600,600,600,300,300,14400,{骑兵} {攻击}_+2%,0.02,20,Cavalry Intensive Training I,Cavalry ATK_+2%
{骑兵} {集训} I,6013,3,149,0,900,900,900,450,450,14400,{骑兵} {攻击}_+3%,0.03,20,Cavalry Intensive Training I,Cavalry ATK_+3%
{骑兵} {集训} I,6013,4,273,0,1350,1350,1350,675,675,14400,{骑兵} {攻击}_+4%,0.04,20,Cavalry Intensive Training I,Cavalry ATK_+4%
{骑兵} {集训} I,6013,5,487,0,1620,1620,1620,810,810,14400,{骑兵} {攻击}_+5%,0.05,20,Cavalry Intensive Training I,Cavalry ATK_+5%
{战车} {加固} I,6014,1,30,0,300,300,300,150,150,14400,{战车} {攻击}_+1%,0.01,21,Chariot Reinforcement I,Chariot ATK_+1%
{战车} {加固} I,6014,2,72,0,600,600,600,300,300,14400,{战车} {攻击}_+2%,0.02,21,Chariot Reinforcement I,Chariot ATK_+2%
{战车} {加固} I,6014,3,149,0,900,900,900,450,450,14400,{战车} {攻击}_+3%,0.03,21,Chariot Reinforcement I,Chariot ATK_+3%
{战车} {加固} I,6014,4,273,0,1350,1350,1350,675,675,14400,{战车} {攻击}_+4%,0.04,21,Chariot Reinforcement I,Chariot ATK_+4%
{战车} {加固} I,6014,5,487,0,1620,1620,1620,810,810,14400,{战车} {攻击}_+5%,0.05,21,Chariot Reinforcement I,Chariot ATK_+5%
{健步如飞} I,6021,1,338,6011_1+6012_1+6013_1+6014_1,540,540,540,270,270,14400,{所有士兵} {行军速度}_+1%,0.01,30,Fast Movement I,All Soldiers March Spd_+1%
{健步如飞} I,6021,2,829,0,720,720,720,360,360,14400,{所有士兵} {行军速度}_+2%,0.02,30,Fast Movement I,All Soldiers March Spd_+2%
{健步如飞} I,6021,3,1537,0,1080,1080,1080,540,540,14400,{所有士兵} {行军速度}_+3%,0.03,30,Fast Movement I,All Soldiers March Spd_+3%
{健步如飞} I,6021,4,2552,0,1800,1800,1800,900,900,14400,{所有士兵} {行军速度}_+4%,0.04,30,Fast Movement I,All Soldiers March Spd_+4%
