Type,Lv,Name,OutInfo,FirstAward,PassAward,AiInfo,MaxGetCount,ResetHPTime,ProTime,Name_en
3,9,{卡塔},0,75057_1+3406_1+3407_1,11_760000+12_760000+1064_1+1363_80,"30025,30026,30027,30028,30029_70_1.3_1.7",0,0,0,Carta
4,1,{农场}({等级} 1),21_360,1205_1+4_50,11_500+12_500+21_600+3_1,10101_5_0.4_1.0,0,5,0,Farm(Lv 1)
4,2,{农场}({等级} 2),21_480,1205_1+4_50,11_2000+12_2000+21_800+3_1,10102_10_0.6_1.0,0,5,0,Farm(Lv 2)
4,3,{农场}({等级} 3),21_720,1205_1+4_100,11_4500+12_4500+21_1200+3_1,10104_15_0.8_1.1,0,5,0,Farm(Lv 3)
4,4,{农场}({等级} 4),21_840,1205_1+4_100,11_8000+12_8000+21_1400+3_1,10106_20_0.9_1.1,0,5,0,Farm(Lv 4)
4,5,{农场}({等级} 5),21_1080,1205_2+4_150,11_15000+12_15000+21_1800+3_1,"10109,10110_30_1.0_1.2",0,5,0,Farm(Lv 5)
4,6,{农场}({等级} 6),21_1200,1205_2+4_150,11_24000+12_24000+21_2000+3_1,"10112,10113_40_1.0_1.3",0,5,0,Farm(Lv 6)
4,7,{农场}({等级} 7),21_1440,1205_3+4_200,11_38500+12_38500+21_2400+3_1,"10116,10117,10118_50_1.1_1.4",0,10,0,Farm(Lv 7)
4,8,{农场}({等级} 8),21_1560,1205_3+4_200,11_55000+12_55000+21_2600+3_1,"10120,10121,10122_55_1.2_1.6",0,10,0,Farm(Lv 8)
4,9,{农场}({等级} 9),21_1800,1205_5+4_300,11_84000+12_84000+21_3000+3_1,"10125,10126,10127_65_1.3_1.8",0,10,0,Farm(Lv 9)
5,1,{伐木场}({等级} 1),22_360,1205_1+4_50,11_500+12_500+22_600+3_1,10201_5_0.4_1.0,0,5,0,Sawmill(Lv 1)
5,2,{伐木场}({等级} 2),22_480,1205_1+4_50,11_2000+12_2000+22_800+3_1,10202_10_0.6_1.0,0,5,0,Sawmill(Lv 2)
5,3,{伐木场}({等级} 3),22_720,1205_1+4_100,11_4500+12_4500+22_1200+3_1,10204_15_0.8_1.1,0,5,0,Sawmill(Lv 3)
5,4,{伐木场}({等级} 4),22_840,1205_1+4_100,11_8000+12_8000+22_1400+3_1,10206_20_0.9_1.1,0,5,0,Sawmill(Lv 4)
5,5,{伐木场}({等级} 5),22_1080,1205_2+4_150,11_15000+12_15000+22_1800+3_1,"10209,10210_30_1.0_1.2",0,5,0,Sawmill(Lv 5)
5,6,{伐木场}({等级} 6),22_1200,1205_2+4_150,11_24000+12_24000+22_2000+3_1,"10212,10213_40_1.0_1.3",0,5,0,Sawmill(Lv 6)
5,7,{伐木场}({等级} 7),22_1440,1205_3+4_200,11_38500+12_38500+22_2400+3_1,"10216,10217,10218_50_1.1_1.4",0,10,0,Sawmill(Lv 7)
5,8,{伐木场}({等级} 8),22_1560,1205_3+4_200,11_55000+12_55000+22_2600+3_1,"10220,10221,10222_55_1.2_1.6",0,10,0,Sawmill(Lv 8)
5,9,{伐木场}({等级} 9),22_1800,1205_5+4_300,11_84000+12_84000+22_3000+3_1,"10225,10226,10227_65_1.3_1.8",0,10,0,Sawmill(Lv 9)
6,1,{采石场}({等级} 1),23_360,1205_1+4_50,11_500+12_500+23_600+3_1,10301_5_0.4_1.0,0,5,0,Quarry(Lv 1)
6,2,{采石场}({等级} 2),23_480,1205_1+4_50,11_2000+12_2000+23_800+3_1,10302_10_0.6_1.0,0,5,0,Quarry(Lv 2)
6,3,{采石场}({等级} 3),23_720,1205_1+4_100,11_4500+12_4500+23_1200+3_1,10304_15_0.8_1.1,0,5,0,Quarry(Lv 3)
6,4,{采石场}({等级} 4),23_840,1205_1+4_100,11_8000+12_8000+23_1400+3_1,10306_20_0.9_1.1,0,5,0,Quarry(Lv 4)
6,5,{采石场}({等级} 5),23_1080,1205_2+4_150,11_15000+12_15000+23_1800+3_1,"10309,10310_30_1.0_1.2",0,5,0,Quarry(Lv 5)
6,6,{采石场}({等级} 6),23_1200,1205_2+4_150,11_24000+12_24000+23_2000+3_1,"10312,10313_40_1.0_1.3",0,5,0,Quarry(Lv 6)
6,7,{采石场}({等级} 7),23_1440,1205_3+4_200,11_38500+12_38500+23_2400+3_1,"10316,10317,10318_50_1.1_1.4",0,10,0,Quarry(Lv 7)
6,8,{采石场}({等级} 8),23_1560,1205_3+4_200,11_55000+12_55000+23_2600+3_1,"10320,10321,10322_55_1.2_1.6",0,10,0,Quarry(Lv 8)
6,9,{采石场}({等级} 9),23_1800,1205_5+4_300,11_84000+12_84000+23_3000+3_1,"10325,10326,10327_65_1.3_1.8",0,10,0,Quarry(Lv 9)
7,1,{铁矿场}({等级} 1),24_180,1205_1+4_50,11_500+12_500+24_300+3_1,10401_5_0.4_1.0,0,5,0,Ironmine(Lv 1)
7,2,{铁矿场}({等级} 2),24_240,1205_1+4_50,11_2000+12_2000+24_400+3_1,10402_10_0.6_1.0,0,5,0,Ironmine(Lv 2)
7,3,{铁矿场}({等级} 3),24_360,1205_1+4_100,11_4500+12_4500+24_600+3_1,10404_15_0.8_1.1,0,5,0,Ironmine(Lv 3)
7,4,{铁矿场}({等级} 4),24_420,1205_1+4_100,11_8000+12_8000+24_700+3_1,10406_20_0.9_1.1,0,5,0,Ironmine(Lv 4)
7,5,{铁矿场}({等级} 5),24_540,1205_2+4_150,11_15000+12_15000+24_900+3_1,"10409,10410_30_1.0_1.2",0,5,0,Ironmine(Lv 5)
7,6,{铁矿场}({等级} 6),24_600,1205_2+4_150,11_24000+12_24000+24_1000+3_1,"10412,10413_40_1.0_1.3",0,5,0,Ironmine(Lv 6)
7,7,{铁矿场}({等级} 7),24_720,1205_3+4_200,11_38500+12_38500+24_1200+3_1,"10416,10417,10418_50_1.1_1.4",0,10,0,Ironmine(Lv 7)
7,8,{铁矿场}({等级} 8),24_780,1205_3+4_200,11_55000+12_55000+24_1300+3_1,"10420,10421,10422_55_1.2_1.6",0,10,0,Ironmine(Lv 8)
7,9,{铁矿场}({等级} 9),24_900,1205_5+4_300,11_84000+12_84000+24_1500+3_1,"10425,10426,10427_65_1.3_1.8",0,10,0,Ironmine(Lv 9)
10,1,{村庄},221_300+222_300+223_300+224_150+225_150,1205_3+4_200,1008_2+1071_3+1105_200+11_120000+12_120000+8_1200,"50101,50102,50103,50104,50105,50106,50107,50108,50109,50110,50101,50102,50103,50104,50105,50106,50107,50108,50109,50110,50101,50102,50103,50104,50105,50106,50107,50108,50109,50173_35_1.5_1.5",4,30,48,Village
10,2,{小型要塞},221_500+222_500+223_500+224_250+225_250,1205_5+4_300,1008_2+1071_3+1105_250+11_200000+12_200000+8_2000,"50111,50112,50113,50114,50115,50116,50117,50118,50119,50120,50111,50112,50113,50114,50172,50111,50112,50113,50114,50115,50116,50117,50118,50119,50120,50111,50112,50113,50114,50171,50111,50112,50113,50114,50115,50116,50117,50118,50119,50120,50111,50112,50113,50114,50170_40_1.7_1.7",1,45,168,Small Fortress
10,3,{小型城镇},221_600+222_600+223_600+224_300+225_300,1205_6+4_400,1008_2+1072_3+1105_300+11_320000+12_320000+8_3200,"50111,50112,50113,50114,50115,50116,50117,50118,50119,50120,50111,50112,50113,50114,50115,50116,50117,50118,50119,50168,50111,50112,50113,50114,50115,50116,50117,50118,50119,50120,50111,50112,50113,50114,50115,50116,50117,50118,50119,50169,50111,50112,50113,50114,50115,50116,50117,50118,50119,50120,50111,50112,50113,50114,50115,50116,50117,50118,50119,50167_45_1.9_1.9",2,45,336,Small Town
10,4,{中型要塞},221_800+222_800+223_800+224_400+225_400,1205_10+4_500,1008_3+1072_3+1105_350+11_480000+12_480000+8_4800,"50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50165,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50166,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50164_50_2.1_2.1",1,60,504,Medium Fortress
10,5,{中型城镇},221_1000+222_1000+223_1000+224_500+225_500,1205_12+4_600,1008_3+1072_3+1105_400+11_680000+12_680000+8_6800,"50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50162,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50163,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50130,50121,50122,50123,50124,50125,50126,50127,50128,50129,50161_55_2.3_2.3",1,60,672,Medium Town
10,6,{大型要塞},221_1200+222_1200+223_1200+224_600+225_600,1205_20+4_1000,1009_2+1073_3+1105_450+11_920000+12_920000+8_9200,"50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50159,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50160,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50158_60_2.6_2.6",1,90,1008,Large Fortress
10,7,{大型城镇},221_1500+222_1500+223_1500+224_750+225_750,1205_25+4_1250,1009_2+1073_3+1105_500+11_1200000+12_1200000+8_12000,"50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50156,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50157,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50140,50131,50132,50133,50134,50135,50136,50137,50138,50139,50155_70_2.9_2.9",1,90,1440,Large Town
10,8,{首都王城},221_2000+222_2000+223_2000+224_1000+225_1000,1205_50+4_2500,1009_3+1074_3+1105_600+11_1520000+12_1520000+8_15200,"50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50152,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50153,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50154,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50150,50141,50142,50143,50144,50145,50146,50147,50148,50149,50151_80_3.2_3.2",1,90,2160,Capital City
15,1,{野蛮人营地}({等级} 1),0,0,1631_3+1361_3+1380_3+1380_3+1382_3+1386_3+1382_3+1386_3+1382_3+1386_3,10401_5_0.4_1.0,6,10,0,Barbarian Camp(Lv 1)
15,2,{野蛮人营地}({等级} 2),0,0,1631_3+1361_3+1380_3+1380_3+1382_3+1386_3+1382_3+1386_3+1382_3+1386_3,10402_10_0.6_1.0,9,10,0,Barbarian Camp(Lv 2)
15,3,{野蛮人营地}({等级} 3),0,0,1631_3+1361_3+1380_3+1380_3+1382_3+1386_3+1382_3+1386_3+1382_3+1386_3,10404_15_0.8_1.1,12,10,0,Barbarian Camp(Lv 3)
15,4,{野蛮人营地}({等级} 4),0,0,1631_3+1631_3+1362_3+1380_3+1380_3+1382_3+1386_3+1382_3+1386_3+1383_3+1387_3,10406_20_0.9_1.1,12,15,0,Barbarian Camp(Lv 4)
15,5,{野蛮人营地}({等级} 5),0,0,1631_3+1631_3+1362_3+1380_3+1380_3+1382_3+1386_3+1382_3+1386_3+1383_3+1387_3,"10409,10410_30_1.0_1.2",15,15,0,Barbarian Camp(Lv 5)
15,6,{野蛮人营地}({等级} 6),0,0,1631_3+1631_3+1362_3+1380_3+1380_3+1382_3+1386_3+1382_3+1386_3+1383_3+1387_3,"10412,10413_40_1.0_1.3",18,15,0,Barbarian Camp(Lv 6)
15,7,{野蛮人营地}({等级} 7),0,0,1631_3+1631_3+1631_3+1363_3+1380_3+1380_3+1382_3+1386_3+1383_3+1387_3+1384_3+1388_3,"10416,10417,10418_50_1.1_1.4",12,20,0,Barbarian Camp(Lv 7)
15,8,{野蛮人营地}({等级} 8),0,0,1631_3+1631_3+1631_3+1363_3+1380_3+1380_3+1382_3+1386_3+1383_3+1387_3+1384_3+1388_3,"10420,10421,10422_55_1.2_1.6",15,20,0,Barbarian Camp(Lv 8)
15,9,{野蛮人营地}({等级} 9),0,0,1631_3+1631_3+1631_3+1363_3+1380_3+1380_3+1382_3+1386_3+1383_3+1387_3+1384_3+1388_3,"10425,10426,10427_65_1.3_1.8",20,20,0,Barbarian Camp(Lv 9)
18,9,{陨铁矿}({等级} 9),24_1200,1205_10+1379_100,11_84000+12_84000+2_800+24_800+1003_1+1379_2,"10425,10426,10427_70_1.4_2.0",0,15,0,Meteoric Iron Mine(Lv 9)
