RecId,Des,HeroNum1,SkillNum1,HeroNum2,SkillNum2,HeroNum3,SkillNum3,Des_en
1028,{热门方案}_25,93,2_95+3_26+2_101+2_112,65,2_68+2_141+1_46+1_74,64,2_74+1_32+1_31+1_34,Popular Plan_25
1029,{热门方案}_26,93,2_95+3_26+2_101+2_112,68,1_36+1_83+2_58+2_140,2,1_43+1_33+1_35+1_32,Popular Plan_26
1030,{热门方案}_27,103,2_115+3_25+2_126+2_66,97,1_52+2_58+1_28+1_46,110,1_71+1_72+1_59+2_136,Popular Plan_27
1031,{热门方案}_28,103,2_115+3_25+2_126+2_66,3,2_75+1_76+1_49+2_36,72,1_37+1_28+1_29+2_58,Popular Plan_28
1032,{热门方案}_29,95,2_97+2_66+2_126+2_144,40,1_26+3_16+1_46+2_141,66,1_42+1_32+2_99+2_136,Popular Plan_29
1033,{热门方案}_30,22,2_76+3_25+2_144+2_66,61,1_44+1_32+1_35+2_99,80,2_88+2_58+2_141+1_77,Popular Plan_30
1034,{热门方案}_31,22,2_76+2_66+2_144+2_35,55,2_84+1_28+1_58+2_134,66,1_42+1_32+1_31+1_13,Popular Plan_31
1035,{热门方案}_32,3,2_75+1_76+2_59+2_134,65,2_68+2_141+1_46+1_74,79,2_85+3_25+2_65+2_64,Popular Plan_32
1036,{热门方案}_33,59,1_39+2_141+2_58+2_99,2,1_43+1_33+1_35+1_32,79,2_85+2_65+3_27+2_64,Popular Plan_33
1037,{热门方案}_34,14,2_78+2_144+3_23+2_66,64,2_74+1_32+1_31+1_34,68,1_36+1_46+1_56+2_58,Popular Plan_34
1038,{热门方案}_35,14,2_78+2_144+3_23+2_66,3,2_75+1_76+2_59+2_134,97,1_52+2_58+1_28+1_46,Popular Plan_35
1039,{热门方案}_36,73,4_15+4_23+3_32+4_22,62,1_38+2_134+1_28+1_58,66,1_42+1_32+1_34+2_122,Popular Plan_36
1040,{热门方案}_37,88,1_50+1_79+4_27+4_17,111,1_73+2_58+2_59+2_134,73,4_15+4_16+1_48+4_21,Popular Plan_37
1041,{热门方案}_38,78,4_26+1_48+4_12+4_13,40,1_26+1_56+2_141+2_140,88,1_50+1_79+4_27+4_17,Popular Plan_38
1042,{热门方案}_39,28,4_14+4_12+4_13+4_24,62,1_38+1_66+1_58+1_10,88,1_50+1_79+4_27+4_17,Popular Plan_39
1043,{热门方案}_40,78,4_26+1_48+4_12+4_13,80,2_88+2_58+2_141+1_77,110,1_71+1_81+1_70+1_72,Popular Plan_40
1044,{热门方案}_41,28,4_14+4_12+4_13+4_24,113,1_84+1_46+1_82+1_28,72,1_37+1_64+1_83+2_58,Popular Plan_41
1045,{热门方案}_42,47,2_69+2_87+2_66+2_126,71,1_47+1_70+2_99+2_136,84,2_86+1_56+1_28+2_140,Popular Plan_42
1046,{热门方案}_43,47,2_69+2_87+2_66+2_126,59,1_39+2_141+2_58+2_99,2,1_43+1_33+1_35+1_32,Popular Plan_43
1047,{热门方案}_44,96,2_98+2_66+2_126+2_125,68,1_36+1_74+1_28+2_141,101,1_63+1_60+1_64+2_58,Popular Plan_44
1048,{热门方案}_45,96,2_98+2_66+2_126+2_125,66,1_42+1_32+1_34+2_122,92,2_94+1_28+1_74+1_46,Popular Plan_45
1049,{热门方案}_46,111,1_73+1_64+2_58+2_140,110,1_71+1_72+1_59+2_136,98,2_111+3_26+3_25+2_101,Popular Plan_46
1050,{热门方案}_47,98,2_111+3_26+3_25+2_101,72,1_37+2_114+1_56+2_141,64,2_74+1_32+1_31+1_34,Popular Plan_47
1051,{热门方案}_48,71,1_47+1_70+2_122+2_135,75,2_77+2_65+2_66+2_102,111,1_73+2_58+2_59+2_134,Popular Plan_48
1052,{热门方案}_49,46,3_20+3_36+4_28+4_20,113,1_84+1_46+1_82+1_28,40,1_26+3_16+2_63+2_58,Popular Plan_49
1053,{热门方案}_50,46,3_20+3_36+3_37+4_28,109,2_119+2_141+1_58+1_28,110,1_71+1_81+1_70+1_72,Popular Plan_50
1054,{热门方案}_51,100,3_29+2_101+2_144+2_112,107,1_67+1_61+2_110+2_59,92,2_94+1_74+1_28+2_58,Popular Plan_51
1055,{热门方案}_52,100,3_29+2_66+2_87+2_126,84,2_86+1_56+1_28+2_140,111,1_73+2_58+2_59+2_134,Popular Plan_52
1056,{热门方案}_53,110,1_71+1_72+1_59+2_136,63,2_82+2_139+2_127+2_128,109,2_119+2_58+1_28+1_29,Popular Plan_53
1057,{热门方案}_54,63,2_82+2_127+2_128+2_132,64,2_74+1_32+1_31+1_34,80,2_88+2_58+2_141+1_77,Popular Plan_54
1058,{热门方案}_55,32,2_79+3_15+2_66+2_126,64,2_74+1_32+1_31+1_34,97,1_52+2_99+2_58+1_46,Popular Plan_55
1059,{热门方案}_56,104,3_30+2_65+2_64+2_139,3,2_75+1_76+2_59+2_134,68,1_36+1_83+2_58+2_140,Popular Plan_56
1060,{热门方案}_57,104,3_30+2_126+2_87+2_66,112,1_75+2_114+1_64+2_141,92,2_94+1_28+1_74+1_46,Popular Plan_57
1061,{热门方案}_58,97,1_52+3_24+1_77+2_62,40,1_26+3_15+3_22+3_16,67,1_41+3_17+1_68+1_27,Popular Plan_58
1062,{热门方案}_59,114,2_145+3_27+2_65+2_146,34,1_40+1_46+1_49+2_99,72,1_37+2_114+1_28+1_56,Popular Plan_59
1063,{热门方案}_60,114,2_145+3_15+2_65+2_64,90,2_93+1_56+1_46+1_58,112,1_75+1_64+1_60+2_58,Popular Plan_60
1064,★{初心者} {方案}1★,52,1_14+2_42+2_12,37,2_56+1_13+2_12,57,2_47+1_19+2_22,★Beginner Plan1★
1065,★{初心者} {方案}2★,52,1_14+2_42+2_12,37,2_56+1_13+2_12,39,1_15+2_22+1_19,★Beginner Plan2★
1066,{热门方案}_61,20,2_51+2_35+2_37,5,1_16+1_21+2_22,36,1_23+1_13+2_109,Popular Plan_61
1067,{热门方案}_62,89,1_51+1_8+2_32,16,2_45+2_34+2_103,12,2_55+2_90+2_44,Popular Plan_62
1068,{热门方案}_63,20,2_51+2_35+2_37,39,1_15+2_49+1_19,1,3_12+1_8+2_105,Popular Plan_63
1069,{热门方案}_64,52,1_14+2_38+2_42,5,1_16+1_21+2_22,36,1_23+1_13+2_109,Popular Plan_64
1070,{热门方案}_65,85,2_89+2_34+2_42,39,1_15+1_8+2_22,89,1_51+2_106+2_36,Popular Plan_65
1071,{热门方案}_66,35,2_54+2_37+2_39,13,3_11+2_36+2_105,5,1_16+1_8+2_32,Popular Plan_66
1072,{热门方案}_67,35,2_54+2_37+2_39,7,1_24+1_19+2_106,9,1_22+2_108+2_36,Popular Plan_67
1073,{热门方案}_68,50,3_10+4_4+4_5,7,1_24+1_10+1_9,27,1_17+2_32+2_106,Popular Plan_68
1074,{热门方案}_69,16,2_45+2_34+2_103,36,1_23+1_13+2_109,57,2_47+2_32+1_8,Popular Plan_69
1075,{热门方案}_70,29,1_20+1_19+2_36,16,2_45+2_34+2_103,27,1_17+1_8+2_32,Popular Plan_70
1076,{热门方案}_71,94,2_96+2_43+1_13,85,2_89+2_38+2_35,29,1_20+1_19+2_36,Popular Plan_71
1077,{热门方案}_72,89,1_51+2_106+2_36,37,2_56+2_42+2_27,9,1_22+2_22+1_21,Popular Plan_72
1078,{热门方案}_73,87,2_92+2_34+2_33,9,1_22+2_108+2_36,6,1_18+2_104+2_105,Popular Plan_73
1079,{热门方案}_74,87,2_92+2_38+2_33,94,2_96+2_43+1_13,15,2_48+2_23+1_8,Popular Plan_74
1080,{热门方案}_75,6,1_18+2_104+2_105,38,2_53+2_39+2_42,37,2_56+2_27+2_41,Popular Plan_75
1081,{热门方案}_76,38,2_53+2_39+2_42,18,2_50+1_69+2_43,15,2_48+2_32+2_49,Popular Plan_76
1082,{热门方案}_77,58,4_10+4_4+4_5,7,1_24+1_10+1_9,11,2_46+2_105+1_45,Popular Plan_77
1083,{热门方案}_78,91,3_21+2_103+2_34,11,2_46+2_105+1_45,18,2_50+1_69+2_43,Popular Plan_78
1084,{热门方案}_79,12,2_55+2_90+2_44,91,3_21+2_103+2_34,13,3_11+2_36+2_105,Popular Plan_79
1085,{热门方案}_80,33,2_52+2_26+2_25,36,1_23+1_13+2_109,1,3_12+1_8+2_105,Popular Plan_80
1086,{热门方案}_81,33,2_52+2_33+2_29,5,1_16+1_21+2_22,94,2_96+2_43+1_13,Popular Plan_81
1087,{热门方案}_82,58,4_10+4_4+4_5,7,1_24+1_10+1_9,27,1_17+1_21+2_22,Popular Plan_82
1088,{热门方案}_83,50,3_10+4_4+4_5,29,1_20+1_9+1_10,39,1_15+2_49+1_19,Popular Plan_83
1089,{热门方案}_84,49,2_57+2_35+2_38,15,2_48+1_8+2_106,12,2_55+2_90+2_44,Popular Plan_84
1090,{热门方案}_85,49,2_57+2_35+2_38,18,2_50+1_69+2_43,57,2_47+1_8+2_105,Popular Plan_85
1091,{热门方案}_86,4,2_5+2_12+2_19,10,2_6+1_5+1_3,24,1_7+2_3+1_2,Popular Plan_86
1092,{热门方案}_87,4,2_5+2_12+2_19,21,2_1+1_5+2_16,25,2_2+1_2+1_4,Popular Plan_87
1093,{热门方案}_88,24,1_7+2_3+1_2,25,2_2+1_3+2_8,26,2_15+2_12+3_4,Popular Plan_88
1094,{热门方案}_89,26,2_15+2_12+3_4,30,2_11+1_3+2_8,48,1_1+2_3+2_16,Popular Plan_89
1095,{热门方案}_90,17,2_13+2_12+2_20,10,2_6+1_5+2_3,30,2_11+1_3+2_8,Popular Plan_90
1096,{热门方案}_91,17,2_13+2_12+2_20,21,2_1+1_5+2_16,31,2_14+1_4+1_6,Popular Plan_91
1097,{热门方案}_92,53,2_10+1_2+2_9,56,2_4+2_3+1_5,54,2_17+2_12+3_1,Popular Plan_92
1098,{热门方案}_93,31,2_14+2_12+2_19,56,2_4+2_3+1_5,19,2_7+1_6+2_8,Popular Plan_93
1099,{热门方案}_94,8,2_18+2_12+3_3,19,2_7+1_6+2_8,48,1_1+2_3+2_16,Popular Plan_94
1100,{热门方案}_95,8,2_18+2_12+3_3,53,2_10+1_2+2_9,54,2_17+2_8+1_6,Popular Plan_95
1101,{热门方案}_96,46,3_20+4_20+4_16+3_28,115,1_86+1_29+1_76+1_58,72,1_37+1_28+1_56+1_88,Popular Plan_96
1102,{热门方案}_97,23,2_67+2_102+3_26+2_100,115,1_86+2_114+1_88+1_76,66,1_42+1_56+1_32+1_35,Popular Plan_97
1103,{热门方案}_98,93,2_95+3_26+3_38+3_23,66,1_42+1_32+1_35+1_56,116,2_147+1_29+1_76+1_49,Popular Plan_98
1104,{热门方案}_99,98,2_111+2_101+3_26+2_144,116,2_147+1_76+1_56+1_29,92,2_94+1_88+2_110+1_28,Popular Plan_99
