Day,ID,Des,ConType,NeedVal,Reward,GoPanel,Des_en
2,15,{庄园} {收获} x6,15,6,1200_1+1_50+3_12+1110_5,FarmPanel,Manor Harvest x6
3,15,{庄园} {收获} x9,15,9,1200_1+1_50+3_15+1110_6,FarmPanel,Manor Harvest x9
4,15,{庄园} {收获} x12,15,12,1200_1+1_50+3_17+1110_7,FarmPanel,Manor Harvest x12
5,15,{庄园} {收获} x15,15,15,1200_1+1_50+3_20+1110_8,FarmPanel,Manor Harvest x15
6,15,{庄园} {收获} x18,15,18,1200_1+1_50+3_22+1110_9,FarmPanel,Manor Harvest x18
7,15,{庄园} {收获} x21,15,21,1200_1+1_50+3_25+1110_10,FarmPanel,Manor Harvest x21
1,16,{讨伐} {野蛮人要塞} x3,16,3,1200_1+1_50+3_10+1110_4,"WildPos_-37,11",Raid Barbarian Fortress x3
2,16,{讨伐} {野蛮人要塞} x6,16,6,1200_1+1_50+3_12+1110_5,"WildPos_-37,11",Raid Barbarian Fortress x6
3,16,{讨伐} {野蛮人要塞} x9,16,9,1200_1+1_50+3_15+1110_6,"WildPos_-37,11",Raid Barbarian Fortress x9
4,16,{讨伐} {野蛮人要塞} x12,16,12,1200_1+1_50+3_17+1110_7,"WildPos_-37,11",Raid Barbarian Fortress x12
5,16,{讨伐} {野蛮人要塞} x15,16,15,1200_1+1_50+3_20+1110_8,"WildPos_-37,11",Raid Barbarian Fortress x15
6,16,{讨伐} {野蛮人要塞} x18,16,18,1200_1+1_50+3_22+1110_9,"WildPos_-37,11",Raid Barbarian Fortress x18
7,16,{讨伐} {野蛮人要塞} x21,16,21,1200_1+1_50+3_25+1110_10,"WildPos_-37,11",Raid Barbarian Fortress x21
1,17,{完成} {委托任务} x10,17,10,1200_1+1_50+3_10+1110_4,VipPanel,Complete Delegate Quest x10
2,17,{完成} {委托任务} x20,17,20,1200_1+1_50+3_12+1110_5,VipPanel,Complete Delegate Quest x20
3,17,{完成} {委托任务} x30,17,30,1200_1+1_50+3_15+1110_6,VipPanel,Complete Delegate Quest x30
4,17,{完成} {委托任务} x40,17,40,1200_1+1_50+3_17+1110_7,VipPanel,Complete Delegate Quest x40
5,17,{完成} {委托任务} x50,17,50,1200_1+1_50+3_20+1110_8,VipPanel,Complete Delegate Quest x50
6,17,{完成} {委托任务} x60,17,60,1200_1+1_50+3_22+1110_9,VipPanel,Complete Delegate Quest x60
7,17,{完成} {委托任务} x70,17,70,1200_1+1_50+3_25+1110_10,VipPanel,Complete Delegate Quest x70
1,20,{召唤英雄} x10,20,10,1200_1+1_50+3_10+1110_4,SumPanel_1,Summon Hero x10
2,20,{召唤英雄} x20,20,20,1200_1+1_50+3_12+1110_5,SumPanel_1,Summon Hero x20
3,20,{召唤英雄} x30,20,30,1200_1+1_50+3_15+1110_6,SumPanel_1,Summon Hero x30
4,20,{召唤英雄} x40,20,40,1200_1+1_50+3_17+1110_7,SumPanel_1,Summon Hero x40
5,20,{召唤英雄} x50,20,50,1200_1+1_50+3_20+1110_8,SumPanel_1,Summon Hero x50
6,20,{召唤英雄} x60,20,60,1200_1+1_50+3_22+1110_9,SumPanel_1,Summon Hero x60
7,20,{召唤英雄} x70,20,70,1200_1+1_50+3_25+1110_10,SumPanel_1,Summon Hero x70
1,9,{占领}/{扫荡} {农场}(Lv.1) x1,41,1,1200_1+1_50+3_10+1110_4,"WorldPanel_4,1,0",Occupy/Sweep Farm(Lv.1) x1
2,9,{占领}/{扫荡} {农场}(Lv.2) x1,42,1,1200_1+1_50+3_12+1110_5,"WorldPanel_4,2,0",Occupy/Sweep Farm(Lv.2) x1
3,9,{占领}/{扫荡} {农场}(Lv.3) x1,43,1,1200_1+1_50+3_15+1110_6,"WorldPanel_4,3,0",Occupy/Sweep Farm(Lv.3) x1
4,9,{占领}/{扫荡} {农场}(Lv.4) x1,44,1,1200_1+1_50+3_17+1110_7,"WorldPanel_4,4,0",Occupy/Sweep Farm(Lv.4) x1
5,9,{占领}/{扫荡} {农场}(Lv.4) x2,44,2,1200_1+1_50+3_20+1110_8,"WorldPanel_4,4,0",Occupy/Sweep Farm(Lv.4) x2
6,9,{占领}/{扫荡} {农场}(Lv.4) x3,44,3,1200_1+1_50+3_22+1110_9,"WorldPanel_4,4,0",Occupy/Sweep Farm(Lv.4) x3
7,9,{占领}/{扫荡} {农场}(Lv.4) x4,44,4,1200_1+1_50+3_25+1110_10,"WorldPanel_4,4,0",Occupy/Sweep Farm(Lv.4) x4
1,10,{占领}/{扫荡} {伐木场}(Lv.1) x1,51,1,1200_1+1_50+3_10+1110_4,"WorldPanel_5,1,0",Occupy/Sweep Sawmill(Lv.1) x1
2,10,{占领}/{扫荡} {伐木场}(Lv.2) x1,52,1,1200_1+1_50+3_12+1110_5,"WorldPanel_5,2,0",Occupy/Sweep Sawmill(Lv.2) x1
3,10,{占领}/{扫荡} {伐木场}(Lv.3) x1,53,1,1200_1+1_50+3_15+1110_6,"WorldPanel_5,3,0",Occupy/Sweep Sawmill(Lv.3) x1
4,10,{占领}/{扫荡} {伐木场}(Lv.4) x1,54,1,1200_1+1_50+3_17+1110_7,"WorldPanel_5,4,0",Occupy/Sweep Sawmill(Lv.4) x1
5,10,{占领}/{扫荡} {伐木场}(Lv.4) x2,54,2,1200_1+1_50+3_20+1110_8,"WorldPanel_5,4,0",Occupy/Sweep Sawmill(Lv.4) x2
6,10,{占领}/{扫荡} {伐木场}(Lv.4) x3,54,3,1200_1+1_50+3_22+1110_9,"WorldPanel_5,4,0",Occupy/Sweep Sawmill(Lv.4) x3
7,10,{占领}/{扫荡} {伐木场}(Lv.4) x4,54,4,1200_1+1_50+3_25+1110_10,"WorldPanel_5,4,0",Occupy/Sweep Sawmill(Lv.4) x4
1,11,{占领}/{扫荡} {采石场}(Lv.1) x1,61,1,1200_1+1_50+3_10+1110_4,"WorldPanel_6,1,0",Occupy/Sweep Quarry(Lv.1) x1
2,11,{占领}/{扫荡} {采石场}(Lv.2) x1,62,1,1200_1+1_50+3_12+1110_5,"WorldPanel_6,2,0",Occupy/Sweep Quarry(Lv.2) x1
3,11,{占领}/{扫荡} {采石场}(Lv.3) x1,63,1,1200_1+1_50+3_15+1110_6,"WorldPanel_6,3,0",Occupy/Sweep Quarry(Lv.3) x1
4,11,{占领}/{扫荡} {采石场}(Lv.4) x1,64,1,1200_1+1_50+3_17+1110_7,"WorldPanel_6,4,0",Occupy/Sweep Quarry(Lv.4) x1
5,11,{占领}/{扫荡} {采石场}(Lv.4) x2,64,2,1200_1+1_50+3_20+1110_8,"WorldPanel_6,4,0",Occupy/Sweep Quarry(Lv.4) x2
6,11,{占领}/{扫荡} {采石场}(Lv.4) x3,64,3,1200_1+1_50+3_22+1110_9,"WorldPanel_6,4,0",Occupy/Sweep Quarry(Lv.4) x3
7,11,{占领}/{扫荡} {采石场}(Lv.4) x4,64,4,1200_1+1_50+3_25+1110_10,"WorldPanel_6,4,0",Occupy/Sweep Quarry(Lv.4) x4
1,12,{占领}/{扫荡} {铁矿场}(Lv.1) x1,71,1,1200_1+1_50+3_10+1110_4,"WorldPanel_7,1,0",Occupy/Sweep Ironmine(Lv.1) x1
2,12,{占领}/{扫荡} {铁矿场}(Lv.2) x1,72,1,1200_1+1_50+3_12+1110_5,"WorldPanel_7,2,0",Occupy/Sweep Ironmine(Lv.2) x1
3,12,{占领}/{扫荡} {铁矿场}(Lv.3) x1,73,1,1200_1+1_50+3_15+1110_6,"WorldPanel_7,3,0",Occupy/Sweep Ironmine(Lv.3) x1
4,12,{占领}/{扫荡} {铁矿场}(Lv.4) x1,74,1,1200_1+1_50+3_17+1110_7,"WorldPanel_7,4,0",Occupy/Sweep Ironmine(Lv.4) x1
5,12,{占领}/{扫荡} {铁矿场}(Lv.4) x2,74,2,1200_1+1_50+3_20+1110_8,"WorldPanel_7,4,0",Occupy/Sweep Ironmine(Lv.4) x2
6,12,{占领}/{扫荡} {铁矿场}(Lv.4) x3,74,3,1200_1+1_50+3_22+1110_9,"WorldPanel_7,4,0",Occupy/Sweep Ironmine(Lv.4) x3
7,12,{占领}/{扫荡} {铁矿场}(Lv.4) x4,74,4,1200_1+1_50+3_25+1110_10,"WorldPanel_7,4,0",Occupy/Sweep Ironmine(Lv.4) x4
1,14,{通关} {遗迹}x1,14,1,1200_1+1_50+3_10+1110_4,"TeamInfoPanel_1,0,1",Clearance Ruinsx1
2,14,{通关} {遗迹}x2,14,2,1200_1+1_50+3_12+1110_5,"TeamInfoPanel_1,0,1",Clearance Ruinsx2
3,14,{通关} {遗迹}x3,14,3,1200_1+1_50+3_15+1110_6,"TeamInfoPanel_1,0,1",Clearance Ruinsx3
4,14,{通关} {遗迹}x4,14,4,1200_1+1_50+3_17+1110_7,"TeamInfoPanel_1,0,1",Clearance Ruinsx4
5,14,{通关} {遗迹}x5,14,5,1200_1+1_50+3_20+1110_8,"TeamInfoPanel_1,0,1",Clearance Ruinsx5
6,14,{通关} {遗迹}x6,14,6,1200_1+1_50+3_22+1110_9,"TeamInfoPanel_1,0,1",Clearance Ruinsx6
7,14,{通关} {遗迹}x7,14,7,1200_1+1_50+3_25+1110_10,"TeamInfoPanel_1,0,1",Clearance Ruinsx7
1,18,{特产运输} x2,18,2,1200_1+1_50+3_10+1110_4,PVEPanel,Specialty Transport x2
2,18,{特产运输} x4,18,4,1200_1+1_50+3_12+1110_5,PVEPanel,Specialty Transport x4
3,18,{特产运输} x6,18,6,1200_1+1_50+3_15+1110_6,PVEPanel,Specialty Transport x6
4,18,{特产运输} x8,18,8,1200_1+1_50+3_17+1110_7,PVEPanel,Specialty Transport x8
5,18,{特产运输} x10,18,10,1200_1+1_50+3_20+1110_8,PVEPanel,Specialty Transport x10
6,18,{特产运输} x12,18,12,1200_1+1_50+3_22+1110_9,PVEPanel,Specialty Transport x12
7,18,{特产运输} x14,18,14,1200_1+1_50+3_25+1110_10,PVEPanel,Specialty Transport x14
2,13,{挑战} {竞技场} x3,13,3,1200_1+1_50+3_12+1110_5,PVPPanel_1,Challenge Arena x3
3,13,{挑战} {竞技场} x6,13,6,1200_1+1_50+3_15+1110_6,PVPPanel_1,Challenge Arena x6
4,13,{挑战} {竞技场} x9,13,9,1200_1+1_50+3_17+1110_7,PVPPanel_1,Challenge Arena x9
5,13,{挑战} {竞技场} x12,13,12,1200_1+1_50+3_20+1110_8,PVPPanel_1,Challenge Arena x12
6,13,{挑战} {竞技场} x15,13,15,1200_1+1_50+3_22+1110_9,PVPPanel_1,Challenge Arena x15
7,13,{挑战} {竞技场} x18,13,18,1200_1+1_50+3_25+1110_10,PVPPanel_1,Challenge Arena x18
4,19,{通关} {神魔试炼} x2,19,2,1200_1+1_50+3_17+1110_7,PVEPanel,Clearance Divine Demon Trial x2
5,19,{通关} {神魔试炼} x4,19,4,1200_1+1_50+3_20+1110_8,PVEPanel,Clearance Divine Demon Trial x4
6,19,{通关} {神魔试炼} x6,19,6,1200_1+1_50+3_22+1110_9,PVEPanel,Clearance Divine Demon Trial x6
7,19,{通关} {神魔试炼} x8,19,8,1200_1+1_50+3_25+1110_10,PVEPanel,Clearance Divine Demon Trial x8
5,21,{圣物召唤} x10,21,10,1200_1+1_50+3_20+1110_8,SumPanel_4,Relic Summon x10
6,21,{圣物召唤} x20,21,20,1200_1+1_50+3_22+1110_9,SumPanel_4,Relic Summon x20
7,21,{圣物召唤} x30,21,30,1200_1+1_50+3_25+1110_10,SumPanel_4,Relic Summon x30
1,22,{回收} {装饰建筑},22,1,1861_20+1862_20+1865_20+1866_20,0,Recycle Decorative Building
2,23,{使用} {装饰建筑},23,1,1863_20+1864_20+1867_20+1868_20,0,Use Decorative Building
-1,1,0,0,15,1141_1,0,
-1,2,0,0,30,1142_1,0,
-1,3,0,0,45,1143_1,0,
-1,4,0,0,60,1144_1,0,
-1,5,0,0,90,1145_1,0,
-1,6,0,0,110,1146_1,0,
-1,7,0,0,130,1147_1,0,
