skill_type,skill_id,Lv,Effecs,des,des_en
1,33,2,32_0.036,{战术技能伤害降低} +3.6%({不受属性影响}),Tactical Skill DMG Dealt Reduced +3.6%(Not Affected By Attribute)
1,33,3,32_0.054,{战术技能伤害降低} +5.4%({不受属性影响}),Tactical Skill DMG Dealt Reduced +5.4%(Not Affected By Attribute)
1,33,4,32_0.072,{战术技能伤害降低} +7.2%({不受属性影响}),Tactical Skill DMG Dealt Reduced +7.2%(Not Affected By Attribute)
1,33,5,32_0.090,{战术技能伤害降低} +9.0%({不受属性影响}),Tactical Skill DMG Dealt Reduced +9.0%(Not Affected By Attribute)
1,76,1,31_0.018,{战术技能伤害提高} +1.8%({不受属性影响}),Tactical Skill DMG Dealt Increased +1.8%(Not Affected By Attribute)
1,76,2,31_0.036,{战术技能伤害提高} +3.6%({不受属性影响}),Tactical Skill DMG Dealt Increased +3.6%(Not Affected By Attribute)
1,76,3,31_0.054,{战术技能伤害提高} +5.4%({不受属性影响}),Tactical Skill DMG Dealt Increased +5.4%(Not Affected By Attribute)
1,76,4,31_0.072,{战术技能伤害提高} +7.2%({不受属性影响}),Tactical Skill DMG Dealt Increased +7.2%(Not Affected By Attribute)
1,76,5,31_0.090,{战术技能伤害提高} +9.0%({不受属性影响}),Tactical Skill DMG Dealt Increased +9.0%(Not Affected By Attribute)
1,57,1,34_0.018,{追击技能伤害降低} +1.8%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +1.8%(Not Affected By Attribute)
1,57,2,34_0.036,{追击技能伤害降低} +3.6%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +3.6%(Not Affected By Attribute)
1,57,3,34_0.054,{追击技能伤害降低} +5.4%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +5.4%(Not Affected By Attribute)
1,57,4,34_0.072,{追击技能伤害降低} +7.2%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +7.2%(Not Affected By Attribute)
1,57,5,34_0.090,{追击技能伤害降低} +9.0%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +9.0%(Not Affected By Attribute)
1,79,1,33_0.018,{追击技能伤害提高} +1.8%({不受属性影响}),Pursuit Skill DMG Dealt Increased +1.8%(Not Affected By Attribute)
1,79,2,33_0.036,{追击技能伤害提高} +3.6%({不受属性影响}),Pursuit Skill DMG Dealt Increased +3.6%(Not Affected By Attribute)
1,79,3,33_0.054,{追击技能伤害提高} +5.4%({不受属性影响}),Pursuit Skill DMG Dealt Increased +5.4%(Not Affected By Attribute)
1,79,4,33_0.072,{追击技能伤害提高} +7.2%({不受属性影响}),Pursuit Skill DMG Dealt Increased +7.2%(Not Affected By Attribute)
1,79,5,33_0.090,{追击技能伤害提高} +9.0%({不受属性影响}),Pursuit Skill DMG Dealt Increased +9.0%(Not Affected By Attribute)
1,74,1,38_0.018,{受到战术技能伤害降低} +1.8%({不受属性影响}),Reduce Tactical Skill DMG received +1.8%(Not Affected By Attribute)
1,74,2,38_0.036,{受到战术技能伤害降低} +3.6%({不受属性影响}),Reduce Tactical Skill DMG received +3.6%(Not Affected By Attribute)
1,74,3,38_0.054,{受到战术技能伤害降低} +5.4%({不受属性影响}),Reduce Tactical Skill DMG received +5.4%(Not Affected By Attribute)
1,74,4,38_0.072,{受到战术技能伤害降低} +7.2%({不受属性影响}),Reduce Tactical Skill DMG received +7.2%(Not Affected By Attribute)
1,74,5,38_0.090,{受到战术技能伤害降低} +9.0%({不受属性影响}),Reduce Tactical Skill DMG received +9.0%(Not Affected By Attribute)
1,78,1,40_0.018,{受到追击技能伤害降低} +1.8%({不受属性影响}),Pursuit Skill DMG Taken Reduced +1.8%(Not Affected By Attribute)
1,78,2,40_0.036,{受到追击技能伤害降低} +3.6%({不受属性影响}),Pursuit Skill DMG Taken Reduced +3.6%(Not Affected By Attribute)
1,78,3,40_0.054,{受到追击技能伤害降低} +5.4%({不受属性影响}),Pursuit Skill DMG Taken Reduced +5.4%(Not Affected By Attribute)
1,78,4,40_0.072,{受到追击技能伤害降低} +7.2%({不受属性影响}),Pursuit Skill DMG Taken Reduced +7.2%(Not Affected By Attribute)
1,78,5,40_0.090,{受到追击技能伤害降低} +9.0%({不受属性影响}),Pursuit Skill DMG Taken Reduced +9.0%(Not Affected By Attribute)
1,64,1,8_0.018,{受到伤害降低} +1.8%({不受属性影响}),DMG Taken Reduced +1.8%(Not Affected By Attribute)
1,64,2,8_0.036,{受到伤害降低} +3.6%({不受属性影响}),DMG Taken Reduced +3.6%(Not Affected By Attribute)
1,64,3,8_0.054,{受到伤害降低} +5.4%({不受属性影响}),DMG Taken Reduced +5.4%(Not Affected By Attribute)
1,64,4,8_0.072,{受到伤害降低} +7.2%({不受属性影响}),DMG Taken Reduced +7.2%(Not Affected By Attribute)
1,64,5,8_0.090,{受到伤害降低} +9.0%({不受属性影响}),DMG Taken Reduced +9.0%(Not Affected By Attribute)
1,60,1,5_0.018,{造成伤害提高} +1.8%({不受属性影响}),DMG Dealt Increased +1.8%(Not Affected By Attribute)
1,60,2,5_0.036,{造成伤害提高} +3.6%({不受属性影响}),DMG Dealt Increased +3.6%(Not Affected By Attribute)
1,60,3,5_0.054,{造成伤害提高} +5.4%({不受属性影响}),DMG Dealt Increased +5.4%(Not Affected By Attribute)
1,60,4,5_0.072,{造成伤害提高} +7.2%({不受属性影响}),DMG Dealt Increased +7.2%(Not Affected By Attribute)
1,60,5,5_0.090,{造成伤害提高} +9.0%({不受属性影响}),DMG Dealt Increased +9.0%(Not Affected By Attribute)
1,70,1,6_0.018,{造成伤害降低} +1.8%({不受属性影响}),DMG Dealt Reduced +1.8%(Not Affected By Attribute)
1,70,2,6_0.036,{造成伤害降低} +3.6%({不受属性影响}),DMG Dealt Reduced +3.6%(Not Affected By Attribute)
1,70,3,6_0.054,{造成伤害降低} +5.4%({不受属性影响}),DMG Dealt Reduced +5.4%(Not Affected By Attribute)
1,70,4,6_0.072,{造成伤害降低} +7.2%({不受属性影响}),DMG Dealt Reduced +7.2%(Not Affected By Attribute)
1,70,5,6_0.090,{造成伤害降低} +9.0%({不受属性影响}),DMG Dealt Reduced +9.0%(Not Affected By Attribute)
1,72,1,7_0.018,{受到伤害提高} +1.8%({不受属性影响}),DMG Taken Increased +1.8%(Not Affected By Attribute)
1,72,2,7_0.036,{受到伤害提高} +3.6%({不受属性影响}),DMG Taken Increased +3.6%(Not Affected By Attribute)
1,72,3,7_0.054,{受到伤害提高} +5.4%({不受属性影响}),DMG Taken Increased +5.4%(Not Affected By Attribute)
1,72,4,7_0.072,{受到伤害提高} +7.2%({不受属性影响}),DMG Taken Increased +7.2%(Not Affected By Attribute)
1,72,5,7_0.090,{受到伤害提高} +9.0%({不受属性影响}),DMG Taken Increased +9.0%(Not Affected By Attribute)
1,30,1,32_0.018,{战术技能伤害降低} +1.8%({不受属性影响}),Tactical Skill DMG Dealt Reduced +1.8%(Not Affected By Attribute)
1,30,2,32_0.036,{战术技能伤害降低} +3.6%({不受属性影响}),Tactical Skill DMG Dealt Reduced +3.6%(Not Affected By Attribute)
1,30,3,32_0.054,{战术技能伤害降低} +5.4%({不受属性影响}),Tactical Skill DMG Dealt Reduced +5.4%(Not Affected By Attribute)
1,30,4,32_0.072,{战术技能伤害降低} +7.2%({不受属性影响}),Tactical Skill DMG Dealt Reduced +7.2%(Not Affected By Attribute)
1,30,5,32_0.090,{战术技能伤害降低} +9.0%({不受属性影响}),Tactical Skill DMG Dealt Reduced +9.0%(Not Affected By Attribute)
1,81,1,34_0.018,{追击技能伤害降低} +1.8%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +1.8%(Not Affected By Attribute)
1,81,2,34_0.036,{追击技能伤害降低} +3.6%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +3.6%(Not Affected By Attribute)
1,81,3,34_0.054,{追击技能伤害降低} +5.4%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +5.4%(Not Affected By Attribute)
1,81,4,34_0.072,{追击技能伤害降低} +7.2%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +7.2%(Not Affected By Attribute)
1,81,5,34_0.090,{追击技能伤害降低} +9.0%({不受属性影响}),Pursuit Skill DMG Dealt Reduced +9.0%(Not Affected By Attribute)
1,80,1,33_0.018,{追击技能伤害提高} +1.8%({不受属性影响}),Pursuit Skill DMG Dealt Increased +1.8%(Not Affected By Attribute)
1,80,2,33_0.036,{追击技能伤害提高} +3.6%({不受属性影响}),Pursuit Skill DMG Dealt Increased +3.6%(Not Affected By Attribute)
1,80,3,33_0.054,{追击技能伤害提高} +5.4%({不受属性影响}),Pursuit Skill DMG Dealt Increased +5.4%(Not Affected By Attribute)
1,80,4,33_0.072,{追击技能伤害提高} +7.2%({不受属性影响}),Pursuit Skill DMG Dealt Increased +7.2%(Not Affected By Attribute)
1,80,5,33_0.090,{追击技能伤害提高} +9.0%({不受属性影响}),Pursuit Skill DMG Dealt Increased +9.0%(Not Affected By Attribute)
1,83,1,40_0.018,{受到追击技能伤害降低} +1.8%({不受属性影响}),Pursuit Skill DMG Taken Reduced +1.8%(Not Affected By Attribute)
1,83,2,40_0.036,{受到追击技能伤害降低} +3.6%({不受属性影响}),Pursuit Skill DMG Taken Reduced +3.6%(Not Affected By Attribute)
1,83,3,40_0.054,{受到追击技能伤害降低} +5.4%({不受属性影响}),Pursuit Skill DMG Taken Reduced +5.4%(Not Affected By Attribute)
1,83,4,40_0.072,{受到追击技能伤害降低} +7.2%({不受属性影响}),Pursuit Skill DMG Taken Reduced +7.2%(Not Affected By Attribute)
1,83,5,40_0.090,{受到追击技能伤害降低} +9.0%({不受属性影响}),Pursuit Skill DMG Taken Reduced +9.0%(Not Affected By Attribute)
1,77,1,8_0.014,{受到伤害降低} +1.4%({不受属性影响}),DMG Taken Reduced +1.4%(Not Affected By Attribute)
1,77,2,8_0.028,{受到伤害降低} +2.8%({不受属性影响}),DMG Taken Reduced +2.8%(Not Affected By Attribute)
1,77,3,8_0.042,{受到伤害降低} +4.2%({不受属性影响}),DMG Taken Reduced +4.2%(Not Affected By Attribute)
1,77,4,8_0.056,{受到伤害降低} +5.6%({不受属性影响}),DMG Taken Reduced +5.6%(Not Affected By Attribute)
1,77,5,8_0.070,{受到伤害降低} +7.0%({不受属性影响}),DMG Taken Reduced +7.0%(Not Affected By Attribute)
1,62,1,6_0.014,{造成伤害降低} +1.4%({不受属性影响}),DMG Dealt Reduced +1.4%(Not Affected By Attribute)
1,62,2,6_0.028,{造成伤害降低} +2.8%({不受属性影响}),DMG Dealt Reduced +2.8%(Not Affected By Attribute)
1,62,3,6_0.042,{造成伤害降低} +4.2%({不受属性影响}),DMG Dealt Reduced +4.2%(Not Affected By Attribute)
1,62,4,6_0.056,{造成伤害降低} +5.6%({不受属性影响}),DMG Dealt Reduced +5.6%(Not Affected By Attribute)
1,62,5,6_0.070,{造成伤害降低} +7.0%({不受属性影响}),DMG Dealt Reduced +7.0%(Not Affected By Attribute)
1,34,1,1_0.024,{效果触发概率} +2.4%,Effect Trigger Probability +2.4%
1,34,2,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,34,3,1_0.072,{效果触发概率} +7.2%,Effect Trigger Probability +7.2%
1,34,4,1_0.096,{效果触发概率} +9.6%,Effect Trigger Probability +9.6%
1,34,5,1_0.120,{效果触发概率} +12.0%,Effect Trigger Probability +12.0%
1,49,1,1_0.024,{效果触发概率} +2.4%,Effect Trigger Probability +2.4%
1,49,2,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,49,3,1_0.072,{效果触发概率} +7.2%,Effect Trigger Probability +7.2%
1,49,4,1_0.096,{效果触发概率} +9.6%,Effect Trigger Probability +9.6%
1,49,5,1_0.120,{效果触发概率} +12.0%,Effect Trigger Probability +12.0%
1,59,1,1_0.016,{效果触发概率} +1.6%,Effect Trigger Probability +1.6%
1,59,2,1_0.032,{效果触发概率} +3.2%,Effect Trigger Probability +3.2%
1,59,3,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,59,4,1_0.064,{效果触发概率} +6.4%,Effect Trigger Probability +6.4%
1,59,5,1_0.080,{效果触发概率} +8.0%,Effect Trigger Probability +8.0%
1,82,1,2_0.048,{伤害系数} +0.048,DMG Coefficient +0.048
1,82,2,2_0.096,{伤害系数} +0.096,DMG Coefficient +0.096
1,82,3,2_0.144,{伤害系数} +0.144,DMG Coefficient +0.144
1,82,4,2_0.192,{伤害系数} +0.192,DMG Coefficient +0.192
1,82,5,2_0.240,{伤害系数} +0.240,DMG Coefficient +0.240
1,58,1,13_3.2,{所有属性提高} +3.2({不受属性影响}),Increase All Attributes +3.2(Not Affected By Attribute)
1,58,2,13_6.4,{所有属性提高} +6.4({不受属性影响}),Increase All Attributes +6.4(Not Affected By Attribute)
1,58,3,13_9.6,{所有属性提高} +9.6({不受属性影响}),Increase All Attributes +9.6(Not Affected By Attribute)
1,58,4,13_12.8,{所有属性提高} +12.8({不受属性影响}),Increase All Attributes +12.8(Not Affected By Attribute)
1,58,5,13_16.0,{所有属性提高} +16.0({不受属性影响}),Increase All Attributes +16.0(Not Affected By Attribute)
1,35,1,18_3.2,{所有属性降低} +3.2({不受属性影响}),All Attributes Reduced +3.2(Not Affected By Attribute)
1,35,2,18_6.4,{所有属性降低} +6.4({不受属性影响}),All Attributes Reduced +6.4(Not Affected By Attribute)
1,35,3,18_9.6,{所有属性降低} +9.6({不受属性影响}),All Attributes Reduced +9.6(Not Affected By Attribute)
1,35,4,18_12.8,{所有属性降低} +12.8({不受属性影响}),All Attributes Reduced +12.8(Not Affected By Attribute)
1,35,5,18_16.0,{所有属性降低} +16.0({不受属性影响}),All Attributes Reduced +16.0(Not Affected By Attribute)
1,48,1,9_6,{攻击属性提高} +6({不受属性影响}),ATK Attribute Increased +6(Not Affected By Attribute)
1,48,2,9_12,{攻击属性提高} +12({不受属性影响}),ATK Attribute Increased +12(Not Affected By Attribute)
1,48,3,9_18,{攻击属性提高} +18({不受属性影响}),ATK Attribute Increased +18(Not Affected By Attribute)
1,48,4,9_24,{攻击属性提高} +24({不受属性影响}),ATK Attribute Increased +24(Not Affected By Attribute)
1,48,5,9_30,{攻击属性提高} +30({不受属性影响}),ATK Attribute Increased +30(Not Affected By Attribute)
1,66,1,41_1.2,{真实伤害基数} +1.2,Real DMG Base +1.2
1,66,2,41_2.4,{真实伤害基数} +2.4,Real DMG Base +2.4
1,66,3,41_3.6,{真实伤害基数} +3.6,Real DMG Base +3.6
1,66,4,41_4.8,{真实伤害基数} +4.8,Real DMG Base +4.8
1,66,5,41_6.0,{真实伤害基数} +6.0,Real DMG Base +6.0
1,68,1,1_0.024,{效果触发概率} +2.4%,Effect Trigger Probability +2.4%
1,68,2,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,68,3,1_0.072,{效果触发概率} +7.2%,Effect Trigger Probability +7.2%
1,68,4,1_0.096,{效果触发概率} +9.6%,Effect Trigger Probability +9.6%
1,68,5,1_0.120,{效果触发概率} +12.0%,Effect Trigger Probability +12.0%
1,25,1,1_0.024,{效果触发概率} +2.4%,Effect Trigger Probability +2.4%
1,25,2,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,25,3,1_0.072,{效果触发概率} +7.2%,Effect Trigger Probability +7.2%
1,25,4,1_0.096,{效果触发概率} +9.6%,Effect Trigger Probability +9.6%
1,25,5,1_0.120,{效果触发概率} +12.0%,Effect Trigger Probability +12.0%
1,85,1,46_0.004,{所有追击技能发动概率提高} +0.4%,All Pursuit Skill Probabilities Increased +0.4%
1,85,2,46_0.008,{所有追击技能发动概率提高} +0.8%,All Pursuit Skill Probabilities Increased +0.8%
1,85,3,46_0.012,{所有追击技能发动概率提高} +1.2%,All Pursuit Skill Probabilities Increased +1.2%
1,85,4,46_0.016,{所有追击技能发动概率提高} +1.6%,All Pursuit Skill Probabilities Increased +1.6%
1,85,5,46_0.020,{所有追击技能发动概率提高} +2.0%,All Pursuit Skill Probabilities Increased +2.0%
1,87,1,1_0.024,{效果触发概率} +2.4%,Effect Trigger Probability +2.4%
1,87,2,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,87,3,1_0.072,{效果触发概率} +7.2%,Effect Trigger Probability +7.2%
1,87,4,1_0.096,{效果触发概率} +9.6%,Effect Trigger Probability +9.6%
1,87,5,1_0.120,{效果触发概率} +12.0%,Effect Trigger Probability +12.0%
1,88,1,1_0.0144,{效果触发概率} +1.44%,Effect Trigger Probability +1.44%
1,88,2,1_0.0288,{效果触发概率} +2.88%,Effect Trigger Probability +2.88%
1,88,3,1_0.0432,{效果触发概率} +4.32%,Effect Trigger Probability +4.32%
1,88,4,1_0.0576,{效果触发概率} +5.76%,Effect Trigger Probability +5.76%
1,88,5,1_0.0720,{效果触发概率} +7.20%,Effect Trigger Probability +7.20%
1,89,1,1_0.03,{效果触发概率} +3%,Effect Trigger Probability +3%
1,89,2,1_0.06,{效果触发概率} +6%,Effect Trigger Probability +6%
1,89,3,1_0.09,{效果触发概率} +9%,Effect Trigger Probability +9%
1,89,4,1_0.12,{效果触发概率} +12%,Effect Trigger Probability +12%
1,89,5,1_0.15,{效果触发概率} +15%,Effect Trigger Probability +15%
1,91,1,1_0.03,{效果触发概率} +3%,Effect Trigger Probability +3%
1,91,2,1_0.06,{效果触发概率} +6%,Effect Trigger Probability +6%
1,91,3,1_0.09,{效果触发概率} +9%,Effect Trigger Probability +9%
1,91,4,1_0.12,{效果触发概率} +12%,Effect Trigger Probability +12%
1,91,5,1_0.15,{效果触发概率} +15%,Effect Trigger Probability +15%
1,92,1,1_0.03,{效果触发概率} +3%,Effect Trigger Probability +3%
1,92,2,1_0.06,{效果触发概率} +6%,Effect Trigger Probability +6%
1,92,3,1_0.09,{效果触发概率} +9%,Effect Trigger Probability +9%
1,92,4,1_0.12,{效果触发概率} +12%,Effect Trigger Probability +12%
1,92,5,1_0.15,{效果触发概率} +15%,Effect Trigger Probability +15%
1,95,1,47_0.018,{造成真实伤害提高} +1.8%({不受属性影响}),Real DMG Dealt Increased +1.8%(Not Affected By Attribute)
1,95,2,47_0.036,{造成真实伤害提高} +3.6%({不受属性影响}),Real DMG Dealt Increased +3.6%(Not Affected By Attribute)
1,95,3,47_0.054,{造成真实伤害提高} +5.4%({不受属性影响}),Real DMG Dealt Increased +5.4%(Not Affected By Attribute)
1,95,4,47_0.072,{造成真实伤害提高} +7.2%({不受属性影响}),Real DMG Dealt Increased +7.2%(Not Affected By Attribute)
1,95,5,47_0.090,{造成真实伤害提高} +9.0%({不受属性影响}),Real DMG Dealt Increased +9.0%(Not Affected By Attribute)
