BoxId,BoxType,Awards,AiInfo
310,2,11_15900+1200_1+1403_10,"83004,83006_54_1_2.545"
311,2,11_16000+1_160,0
312,2,11_16100+21_16100+22_16100+23_16100+24_8050,"83012,83013_54_1_2.555"
313,2,11_16200+3_27+4_27,0
314,2,11_16300+1402_32+1403_16,"82004,82006,82007_55_1_2.565"
315,2,11_16400+1200_1+1403_10,0
316,2,11_16500+1_165,"82012,82013,82014_55_1_2.575"
317,2,11_16600+21_16600+22_16600+23_16600+24_8300,0
318,2,11_16700+3_27+4_27,"83004,83006,83007_55_1_2.585"
319,2,11_16800+1402_32+1403_16,0
320,2,11_16900+1200_1+1403_11,"83012,83013,83014_56_1_2.595"
321,2,11_17000+1_170,0
322,2,11_17100+21_17100+22_17100+23_17100+24_8550,"82004,82006,82007_56_1_2.605"
323,2,11_17200+3_28+4_28,0
324,2,11_17300+1402_34+1403_17,"82012,82013,82014_56_1_2.615"
325,2,11_17400+1200_1+1403_11,0
326,2,11_17500+1_175,"83004,83006,83007_57_1_2.625"
327,2,11_17600+21_17600+22_17600+23_17600+24_8800,0
328,2,11_17700+3_29+4_29,"83012,83013,83014_57_1_2.635"
329,2,11_17800+1402_34+1403_17,0
330,2,11_17900+1200_1+1403_11,"82004,82006,82007_57_1_2.645"
331,2,11_18000+1_180,0
332,2,11_18100+21_18100+22_18100+23_18100+24_9050,"82012,82013,82014_58_1_2.655"
333,2,11_18200+3_30+4_30,0
334,2,11_18300+1402_36+1403_18,"83004,83006,83007_58_1_2.665"
335,2,11_18400+1200_1+1403_12,0
336,2,11_18500+1_185,"83012,83013,83014_58_1_2.675"
337,2,11_18600+21_18600+22_18600+23_18600+24_9300,0
338,2,11_18700+3_31+4_31,"82004,82006,82007_59_1_2.685"
339,2,11_18800+1402_36+1403_18,0
340,2,11_18900+1200_1+1403_12,"82012,82013,82014_59_1_2.695"
341,2,11_19000+1_190,0
342,2,11_19100+21_19100+22_19100+23_19100+24_9550,"83004,83006,83007_59_1_2.705"
343,2,11_19200+3_32+4_32,0
344,2,11_19300+1402_38+1403_19,"83012,83013,83014_60_1_2.715"
345,2,11_19400+1200_1+1403_12,0
346,2,11_19500+1_195,"82004,82006,82007_60_1_2.725"
347,2,11_19600+21_19600+22_19600+23_19600+24_9800,0
348,2,11_19700+3_32+4_32,"82012,82013,82014_60_1_2.735"
349,2,11_19800+1402_38+1403_19,0
350,2,11_19900+1200_1+1403_13,"83004,83006,83007_61_1_2.745"
351,2,11_20000+1_200,0
352,2,11_20100+21_20100+22_20100+23_20100+24_10050,"83012,83013,83014_61_1_2.755"
353,2,11_20200+3_33+4_33,0
354,2,11_20300+1402_40+1403_20,"82004,82006,82007_61_1_2.765"
355,2,11_20400+1200_1+1403_13,0
356,2,11_20500+1_205,"82012,82013,82014_61_1_2.775"
357,2,11_20600+21_20600+22_20600+23_20600+24_10300,0
358,2,11_20700+3_34+4_34,"83004,83006,83007_62_1_2.785"
359,2,11_20800+1402_40+1403_20,0
360,2,11_20900+1200_1+1403_13,"83012,83013,83014_62_1_2.795"
361,2,11_21000+1_210,0
362,2,11_21100+21_21100+22_21100+23_21100+24_10550,"82004,82006,82007_62_1_2.805"
363,2,11_21200+3_35+4_35,0
364,2,11_21300+1402_42+1403_21,"82012,82013,82014_63_1_2.815"
365,2,11_21400+1200_1+1403_14,0
366,2,11_21500+1_215,"83004,83006,83007_63_1_2.825"
367,2,11_21600+21_21600+22_21600+23_21600+24_10800,0
368,2,11_21700+3_36+4_36,"83012,83013,83014_63_1_2.835"
369,2,11_21800+1402_42+1403_21,0
370,2,11_21900+1200_1+1403_14,"82004,82006,82007_64_1_2.845"
371,2,11_22000+1_220,0
372,2,11_22100+21_22100+22_22100+23_22100+24_11050,"82012,82013,82014_64_1_2.855"
373,2,11_22200+3_37+4_37,0
374,2,11_22300+1402_44+1403_22,"83004,83006,83007_64_1_2.865"
375,2,11_22400+1200_1+1403_14,0
376,2,11_22500+1_225,"83012,83013,83014_65_1_2.875"
377,2,11_22600+21_22600+22_22600+23_22600+24_11300,0
378,2,11_22700+3_37+4_37,"82004,82006,82007_65_1_2.885"
379,2,11_22800+1402_44+1403_22,0
380,2,11_22900+1200_1+1403_15,"82012,82013,82014_65_1_2.895"
381,2,11_23000+1_230,0
382,2,11_23100+21_23100+22_23100+23_23100+24_11550,"83004,83006,83007_66_1_2.905"
383,2,11_23200+3_38+4_38,0
384,2,11_23300+1402_46+1403_23,"83012,83013,83014_66_1_2.915"
385,2,11_23400+1200_1+1403_15,0
386,2,11_23500+1_235,"82004,82006,82007_66_1_2.925"
387,2,11_23600+21_23600+22_23600+23_23600+24_11800,0
388,2,11_23700+3_39+4_39,"82012,82013,82014_67_1_2.935"
389,2,11_23800+1402_46+1403_23,0
390,2,11_23900+1200_1+1403_15,"83004,83006,83007_67_1_2.945"
391,2,11_24000+1_240,0
392,2,11_24100+21_24100+22_24100+23_24100+24_12050,"83012,83013,83014_67_1_2.955"
393,2,11_24200+3_40+4_40,0
394,2,11_24300+1402_48+1403_24,"82004,82006,82007_68_1_2.965"
395,2,11_24400+1200_1+1403_16,0
396,2,11_24500+1_245,"82012,82013,82014_68_1_2.975"
397,2,11_24600+21_24600+22_24600+23_24600+24_12300,0
398,2,11_24700+3_41+4_41,"83004,83006,83007_68_1_2.985"
399,2,11_24800+1402_48+1403_24,0
400,2,11_24900+1200_1+1403_16,"83012,83013,83014_69_1_2.995"
401,3,11_30000+1_300,"82001,82002,82003_69_1_3"
402,3,11_30100+21_30100+22_30100+23_30100+24_15050,"82004,82006,82007_69_1_3.005"
403,3,11_30300+3_50+4_50,"82008,82009,82011_69_1_3.01"
404,3,11_30400+1402_60+1403_30,"82012,82013,82014_69_1_3.015"
405,3,11_30600+1205_2+1403_20,"83001,83002,83003_69_1_3.02"
406,3,11_30700+1_307,"83004,83006,83007_69_1_3.025"
407,3,11_30900+21_30900+22_30900+23_30900+24_15450,"83008,83009,83011_70_1_3.03"
408,3,11_31000+3_51+4_51,"83012,83013,83014_70_1_3.035"
409,3,11_31200+1402_62+1403_31,"82001,82002,82003_70_1_3.04"
410,3,11_31300+1205_2+1403_20,"82004,82006,82007_70_1_3.045"
411,3,11_31500+1_315,"82008,82009,82011_70_1_3.05"
412,3,11_31600+21_31600+22_31600+23_31600+24_15800,"82012,82013,82014_70_1_3.055"
413,3,11_31800+3_53+4_53,"83001,83002,83003_71_1_3.06"
414,3,11_31900+1402_62+1403_31,"83004,83006,83007_71_1_3.065"
415,3,11_32100+1205_2+1403_21,"83008,83009,83011_71_1_3.07"
416,3,11_32200+1_322,"83012,83013,83014_71_1_3.075"
417,3,11_32400+21_32400+22_32400+23_32400+24_16200,"82001,82002,82003_71_1_3.08"
418,3,11_32500+3_54+4_54,"82004,82006,82007_71_1_3.085"
419,3,11_32700+1402_64+1403_32,"82008,82009,82011_72_1_3.09"
420,3,11_32800+1205_2+1403_21,"82012,82013,82014_72_1_3.095"
421,3,11_33000+1_330,"83001,83002,83003_72_1_3.1"
422,3,11_33100+21_33100+22_33100+23_33100+24_16550,"83004,83006,83007_72_1_3.105"
423,3,11_33300+3_55+4_55,"83008,83009,83011_72_1_3.11"
424,3,11_33400+1402_66+1403_33,"83012,83013,83014_72_1_3.115"
425,3,11_33600+1205_2+1403_22,"82001,82002,82003_73_1_3.12"
426,3,11_33700+1_337,"82004,82006,82007_73_1_3.125"
427,3,11_33900+21_33900+22_33900+23_33900+24_16950,"82008,82009,82011_73_1_3.13"
428,3,11_34000+3_56+4_56,"82012,82013,82014_73_1_3.135"
429,3,11_34200+1402_68+1403_34,"83001,83002,83003_73_1_3.14"
430,3,11_34300+1205_2+1403_22,"83004,83006,83007_73_1_3.145"
431,3,11_34500+1_345,"83008,83009,83011_73_1_3.15"
432,3,11_34600+21_34600+22_34600+23_34600+24_17300,"83012,83013,83014_74_1_3.155"
433,3,11_34800+3_58+4_58,"82001,82002,82003_74_1_3.16"
434,3,11_34900+1402_68+1403_34,"82004,82006,82007_74_1_3.165"
435,3,11_35100+1205_2+1403_23,"82008,82009,82011_74_1_3.17"
436,3,11_35200+1_352,"82012,82013,82014_74_1_3.175"
437,3,11_35400+21_35400+22_35400+23_35400+24_17700,"83001,83002,83003_74_1_3.18"
438,3,11_35500+3_59+4_59,"83004,83006,83007_75_1_3.185"
439,3,11_35700+1402_70+1403_35,"83008,83009,83011_75_1_3.19"
440,3,11_35800+1205_2+1403_23,"83012,83013,83014_75_1_3.195"
441,3,11_36000+1_360,"82001,82002,82003_75_1_3.2"
442,3,11_36100+21_36100+22_36100+23_36100+24_18050,"82004,82006,82007_75_1_3.205"
443,3,11_36300+3_60+4_60,"82008,82009,82011_75_1_3.21"
444,3,11_36400+1402_72+1403_36,"82012,82013,82014_76_1_3.215"
445,3,11_36600+1205_2+1403_24,"83001,83002,83003_76_1_3.22"
446,3,11_36700+1_367,"83004,83006,83007_76_1_3.225"
447,3,11_36900+21_36900+22_36900+23_36900+24_18450,"83008,83009,83011_76_1_3.23"
448,3,11_37000+3_61+4_61,"83012,83013,83014_76_1_3.235"
449,3,11_37200+1402_74+1403_37,"82001,82002,82003_76_1_3.24"
450,3,11_37300+1205_2+1403_24,"82004,82006,82007_77_1_3.245"
451,3,11_37500+1_375,"82008,82009,82011_77_1_3.25"
452,3,11_37600+21_37600+22_37600+23_37600+24_18800,"82012,82013,82014_77_1_3.255"
453,3,11_37800+3_63+4_63,"83001,83002,83003_77_1_3.26"
454,3,11_37900+1402_74+1403_37,"83004,83006,83007_77_1_3.265"
455,3,11_38100+1205_2+1403_25,"83008,83009,83011_77_1_3.27"
456,3,11_38200+1_382,"83012,83013,83014_77_1_3.275"
457,3,11_38400+21_38400+22_38400+23_38400+24_19200,"82001,82002,82003_78_1_3.28"
458,3,11_38500+3_64+4_64,"82004,82006,82007_78_1_3.285"
459,3,11_38700+1402_76+1403_38,"82008,82009,82011_78_1_3.29"
460,3,11_38800+1205_2+1403_25,"82012,82013,82014_78_1_3.295"
461,3,11_39000+1_390,"83001,83002,83003_78_1_3.3"
462,3,11_39100+21_39100+22_39100+23_39100+24_19550,"83004,83006,83007_78_1_3.305"
463,3,11_39300+3_65+4_65,"83008,83009,83011_79_1_3.31"
464,3,11_39400+1402_78+1403_39,"83012,83013,83014_79_1_3.315"
465,3,11_39600+1205_2+1403_26,"82001,82002,82003_79_1_3.32"
466,3,11_39700+1_397,"82004,82006,82007_79_1_3.325"
467,3,11_39900+21_39900+22_39900+23_39900+24_19950,"82008,82009,82011_79_1_3.33"
468,3,11_40000+3_66+4_66,"82012,82013,82014_79_1_3.335"
469,3,11_40200+1402_80+1403_40,"83001,83002,83003_80_1_3.34"
470,3,11_40300+1205_2+1403_26,"83004,83006,83007_80_1_3.345"
471,3,11_40500+1_405,"83008,83009,83011_80_1_3.35"
472,3,11_40600+21_40600+22_40600+23_40600+24_20300,"83012,83013,83014_80_1_3.355"
473,3,11_40800+3_68+4_68,"82001,82002,82003_80_1_3.36"
