AiNum,GroupType,Des,HeroNum1,SkillNum1,HeroNum2,SkillNum2,HeroNum3,SkillNum3,Des_en
10109,1,大世界农场等级5_1,1011,2_1+2_3,1013,2_2+2_12,1010,2_7+2_20,
10110,1,大世界农场等级5_2,1010,2_13+2_12,1011,2_4+2_3,1013,1_7+2_8,
10111,1,大世界农场等级5_3,1010,2_18+2_19,1011,1_1+1_5,1013,2_11+2_9,
10112,1,大世界农场等级6_1,1014,2_45+2_19,1016,1_23+1_6,1015,2_48+2_3,
10113,1,大世界农场等级6_2,1014,2_52+1_4,1017,1_20+2_19,1015,2_96+2_8,
10114,1,大世界农场等级6_3,1014,2_56+2_20,1015,3_12+2_16,1014,3_10+4_2,
10115,1,大世界农场等级6_4,1017,2_55+2_12,1014,2_92+2_20,1015,3_11+2_3,
10116,1,大世界农场等级7_1,1015,1_17+1_12+2_16,1016,2_46+2_36+1_6,1014,2_92+2_42+2_12,
10117,1,大世界农场等级7_2,1015,1_22+1_8+1_5,1016,1_23+1_13+1_4,1014,2_89+2_24+2_12,
10118,1,大世界农场等级7_3,1014,2_51+2_24+2_12,1014,2_56+2_35+2_19,1015,2_47+1_8+2_3,
10119,1,大世界农场等级7_4,1015,3_12+1_53+2_9,1014,2_52+2_24+2_12,1015,1_18+1_69+1_3,
10120,1,大世界农场等级8_1,1018,2_85+2_37+2_31,1019,1_37+1_8+2_106,1020,1_41+1_13+1_9,
10121,1,大世界农场等级8_2,1019,1_73+2_23+2_104,1019,1_36+2_22+2_106,1018,4_19+4_9+1_55,
10122,1,大世界农场等级8_3,1018,2_115+3_8+2_42,1019,2_94+2_90+2_49,1020,1_42+1_13+2_109,
10123,1,大世界农场等级8_4,1019,1_52+2_41+2_49,1020,2_74+2_90+2_39,1018,2_81+2_34+2_103,
10124,1,大世界农场等级8_5,1018,2_71+2_33+2_38,1019,2_119+2_105+1_19,1021,2_68+1_21+2_32,
10125,1,大世界农场等级9_1,1019,2_88+1_56+2_32+2_23,1018,2_70+2_112+2_40+2_44,1020,1_47+2_135+2_109+1_69,
10126,1,大世界农场等级9_2,1018,2_72+3_27+2_28+2_29,1019,1_26+1_46+2_21+2_104,1021,2_75+1_76+2_36+2_41,
10127,1,大世界农场等级9_3,1019,1_63+2_114+2_22+2_41,1018,2_113+2_138+2_24+2_25,1018,2_98+3_26+2_38+2_42,
10128,1,大世界农场等级9_4,1018,3_30+2_61+2_34+2_103,1019,1_36+1_28+2_106+1_12,1018,2_76+3_23+2_35+2_42,
10129,1,大世界农场等级9_5,1019,1_37+1_46+2_106+2_108,1018,4_15+3_32+4_4+4_5,1019,1_38+1_28+1_21+2_104,
10201,1,大世界伐木场等级1,1011,3_2,1010,3_5,1013,3_4,
10202,1,大世界伐木场等级2_1,1010,2_5,1013,2_7,1011,2_2,
10203,1,大世界伐木场等级2_2,1010,2_18,1011,2_4,1013,2_10,
10204,1,大世界伐木场等级3_1,1013,1_7,1010,2_5,1011,1_1,
10205,1,大世界伐木场等级3_2,1013,2_11,1010,2_15,1011,2_6,
10206,1,大世界伐木场等级4_1,1011,1_1+1_5,1010,2_18+2_12,1013,2_11+2_9,
10207,1,大世界伐木场等级4_2,1011,2_6+2_16,1010,2_14+2_20,1013,1_7+2_8,
10208,1,大世界伐木场等级4_3,1010,2_5+4_3,1010,2_17+4_1,1011,2_4+2_3,
10209,1,大世界伐木场等级5_1,1010,2_15+1_4,1011,2_1+2_16,1013,2_10+2_8,
10210,1,大世界伐木场等级5_2,1011,2_6+1_3,1013,1_7+2_3,1010,2_13+2_19,
10211,1,大世界伐木场等级5_3,1010,2_5+2_12,1011,1_1+1_5,1013,2_7+2_19,
10212,1,大世界伐木场等级6_1,1015,2_48+2_16,1017,1_20+4_2,1014,2_92+4_3,
10213,1,大世界伐木场等级6_2,1014,2_46+4_3,1016,1_23+1_6,1015,1_16+1_5,
10214,1,大世界伐木场等级6_3,1015,2_47+2_3,1014,2_51+2_12,1017,2_55+2_20,
10215,1,大世界伐木场等级6_4,1014,2_56+2_12,1017,1_20+2_19,1016,2_53+1_4,
10216,1,大世界伐木场等级7_1,1014,3_10+4_5+4_2,1015,2_48+2_49+1_5,1017,1_14+1_45+2_8,
10217,1,大世界伐木场等级7_2,1014,2_57+2_38+2_19,1016,1_23+2_109+1_6,1015,1_15+2_49+1_5,
10218,1,大世界伐木场等级7_3,1017,1_51+2_36+2_8,1014,3_21+2_103+2_12,1015,1_17+1_8+1_5,
10219,1,大世界伐木场等级7_4,1015,1_22+2_22+1_5,1014,2_54+2_28+2_12,1016,2_50+1_21+1_2,
10220,1,大世界伐木场等级8_1,1018,2_67+2_35+2_37,1019,1_37+1_19+2_32,1020,1_41+1_13+1_9,
10221,1,大世界伐木场等级8_2,1019,1_73+1_11+1_69,1019,2_119+2_105+1_19,1018,4_19+4_9+1_55,
10222,1,大世界伐木场等级8_3,1018,2_115+3_8+2_42,1019,2_94+2_49+2_22,1020,1_42+1_13+2_109,
10223,1,大世界伐木场等级8_4,1019,1_36+2_22+2_106,1019,1_52+2_23+2_41,1018,2_81+2_25+2_31,
10224,1,大世界伐木场等级8_5,1018,3_18+2_40+2_39,1021,2_93+2_36+2_49,1019,1_26+2_21+2_22,
10225,1,大世界伐木场等级9_1,1018,2_82+2_128+2_25+2_24,1018,2_73+1_31+2_43+2_44,1019,2_84+1_58+2_32+2_22,
10226,1,大世界伐木场等级9_2,1019,1_52+1_74+1_45+2_105,1018,2_70+3_26+2_24+2_25,1020,1_41+1_31+1_13+2_44,
10227,1,大世界伐木场等级9_3,1018,2_69+3_26+2_35+2_38,1019,1_73+2_58+2_32+2_107,1020,1_47+2_135+2_109+1_69,
10228,1,大世界伐木场等级9_4,1019,1_36+1_56+1_12+1_21,1018,2_116+3_34+2_34+2_103,1019,1_65+1_28+2_105+2_104,
10229,1,大世界伐木场等级9_5,1018,3_20+1_48+4_5+4_4,1019,1_38+1_28+1_12+1_21,1021,1_50+1_80+2_22+2_108,
10301,1,大世界采石场等级1,1013,3_4,1010,3_1,1012,3_3,
10302,1,大世界采石场等级2_1,1013,1_7,1010,2_5,1011,2_4,
10303,1,大世界采石场等级2_2,1010,2_13,1010,2_15,1011,1_1,
10304,1,大世界采石场等级3_1,1010,2_7,1011,2_6,1010,2_14,
10305,1,大世界采石场等级3_2,1011,2_1,1013,1_7,1010,2_17,
10306,1,大世界采石场等级4_1,1013,2_11+2_9,1010,2_14+2_20,1011,2_6+1_5,
10307,1,大世界采石场等级4_2,1013,1_7+2_3,1010,2_15+2_12,1010,2_13+2_19,
10308,1,大世界采石场等级4_3,1011,1_1+2_16,1013,2_10+2_8,1010,2_5+2_19,
10309,1,大世界采石场等级5_1,1011,2_1+2_3,1013,2_2+2_12,1010,2_7+2_20,
10310,1,大世界采石场等级5_2,1010,2_13+2_12,1011,2_4+2_3,1013,1_7+2_8,
10311,1,大世界采石场等级5_3,1010,2_18+2_19,1011,1_1+1_5,1013,2_11+2_9,
10312,1,大世界采石场等级6_1,1014,2_45+2_19,1016,1_23+1_6,1015,2_48+2_3,
10313,1,大世界采石场等级6_2,1014,2_52+1_4,1017,1_20+2_19,1015,2_96+2_8,
10314,1,大世界采石场等级6_3,1014,2_56+2_20,1015,3_12+2_16,1014,3_10+4_2,
10315,1,大世界采石场等级6_4,1017,2_55+2_12,1014,2_92+2_20,1015,3_11+2_3,
10316,1,大世界采石场等级7_1,1015,1_18+1_19+1_2,1016,2_55+2_44+2_9,1014,2_92+2_42+2_12,
10317,1,大世界采石场等级7_2,1015,1_16+2_32+2_16,1016,2_96+2_90+1_6,1014,2_53+2_39+2_12,
10318,1,大世界采石场等级7_3,1014,2_89+2_24+2_12,1014,1_51+2_36+2_9,1015,2_48+2_49+1_5,
10319,1,大世界采石场等级7_4,1017,3_12+2_23+2_8,1014,4_10+4_9+4_2,1015,2_47+2_22+1_5,
10320,1,大世界采石场等级8_1,1019,1_52+2_23+2_41,1020,1_41+1_13+1_9,1018,2_71+2_33+2_38,
10321,1,大世界采石场等级8_2,1018,2_85+2_37+2_31,1018,2_82+2_25+2_39,1019,2_94+2_49+2_22,
10322,1,大世界采石场等级8_3,1021,2_93+2_36+2_49,1019,2_119+2_105+1_19,1018,4_26+4_4+4_5,
10323,1,大世界采石场等级8_4,1018,2_81+2_42+2_34,1020,1_43+1_13+2_109,1019,1_52+2_41+2_49,
10324,1,大世界采石场等级8_5,1019,1_37+2_32+1_12,1020,1_42+1_13+2_109,1018,2_115+3_8+2_38,
10325,1,大世界采石场等级9_1,1019,2_94+1_64+2_22+2_49,1020,2_74+2_137+2_43+2_90,1018,2_81+2_102+2_34+2_103,
10326,1,大世界采石场等级9_2,1018,2_71+2_100+2_38+2_33,1019,1_37+1_64+1_8+2_32,1020,1_41+1_31+1_13+2_44,
10327,1,大世界采石场等级9_3,1019,1_26+3_16+2_21+2_106,1019,1_38+1_28+1_21+2_104,1018,4_19+4_18+4_11+4_5,
10328,1,大世界采石场等级9_4,1018,3_30+2_61+2_34+2_103,1019,1_36+1_28+2_106+1_12,1020,1_42+1_32+1_10+1_13,
10329,1,大世界采石场等级9_5,1019,1_37+1_64+1_8+2_32,1018,4_15+3_32+4_4+4_5,1021,1_50+1_80+2_22+2_108,
10401,1,大世界铁矿场等级1,1011,3_2,1010,3_5,1013,3_4,
10402,1,大世界铁矿场等级2_1,1010,2_5,1013,2_7,1011,2_2,
10403,1,大世界铁矿场等级2_2,1010,2_18,1011,2_4,1013,2_10,
10404,1,大世界铁矿场等级3_1,1013,1_7,1010,2_5,1011,1_1,
10405,1,大世界铁矿场等级3_2,1013,2_11,1010,2_15,1011,2_6,
10406,1,大世界铁矿场等级4_1,1011,1_1+1_5,1010,2_18+2_12,1013,2_11+2_9,
10407,1,大世界铁矿场等级4_2,1011,2_6+2_16,1010,2_14+2_20,1013,1_7+2_8,
10408,1,大世界铁矿场等级4_3,1010,2_5+4_3,1010,2_17+4_1,1011,2_4+2_3,
10409,1,大世界铁矿场等级5_1,1010,2_15+1_4,1011,2_1+2_16,1013,2_10+2_8,
10410,1,大世界铁矿场等级5_2,1011,2_6+1_3,1013,1_7+2_3,1010,2_13+2_19,
10411,1,大世界铁矿场等级5_3,1010,2_5+2_12,1011,1_1+1_5,1013,2_7+2_19,
10412,1,大世界铁矿场等级6_1,1015,2_48+2_16,1017,1_20+4_2,1014,2_92+4_3,
10413,1,大世界铁矿场等级6_2,1014,2_46+4_3,1016,1_23+1_6,1015,1_16+1_5,
10414,1,大世界铁矿场等级6_3,1015,2_47+2_3,1014,2_51+2_12,1017,2_55+2_20,
10415,1,大世界铁矿场等级6_4,1014,2_56+2_12,1017,1_20+2_19,1016,2_53+1_4,
10416,1,大世界铁矿场等级7_1,1014,3_10+4_4+4_2,1017,1_20+1_11+2_9,1015,1_15+1_8+1_5,
10417,1,大世界铁矿场等级7_2,1014,2_52+2_44+2_12,1015,1_24+2_32+2_3,1014,2_56+2_35+2_19,
10418,1,大世界铁矿场等级7_3,1017,1_14+2_42+2_20,1014,2_57+2_26+2_12,1015,1_22+1_8+1_5,
10419,1,大世界铁矿场等级7_4,1015,2_47+2_22+1_5,1014,3_21+2_103+2_12,1016,2_55+2_44+2_9,
10420,1,大世界铁矿场等级8_1,1018,2_85+2_37+2_31,1019,1_37+1_8+2_106,1020,1_41+1_13+1_9,
10421,1,大世界铁矿场等级8_2,1019,1_73+2_23+2_104,1019,1_36+2_22+2_106,1018,4_19+4_9+1_55,
10422,1,大世界铁矿场等级8_3,1018,2_115+3_8+2_42,1019,2_94+2_90+2_49,1020,1_42+1_13+2_109,
10423,1,大世界铁矿场等级8_4,1019,1_52+2_41+2_49,1020,2_74+2_90+2_39,1018,2_81+2_34+2_103,
10424,1,大世界铁矿场等级8_5,1018,2_71+2_33+2_38,1019,2_119+2_105+1_19,1021,2_68+1_21+2_32,
10425,1,大世界铁矿场等级9_1,1019,1_52+2_141+2_49+2_23,1021,2_75+1_76+2_36+2_41,1018,2_78+3_27+2_33+2_26,
10426,1,大世界铁矿场等级9_2,1020,1_40+1_34+1_9+1_10,1018,2_69+3_25+2_38+2_42,1019,1_36+1_28+2_106+1_12,
10427,1,大世界铁矿场等级9_3,1019,2_88+1_56+2_32+2_23,1018,2_70+2_112+2_40+2_44,1020,1_47+2_135+2_109+1_69,
10428,1,大世界铁矿场等级9_4,1018,2_81+2_100+2_103+2_34,1019,2_94+1_64+2_22+2_49,1020,1_42+1_32+1_10+1_13,
10429,1,大世界铁矿场等级9_5,1019,1_63+2_114+2_22+2_41,1018,2_113+2_138+2_24+2_25,1018,2_98+3_26+2_38+2_42,
30001,3,野外BOSS-铁甲将军简单,1001,1_1001+2_1001+2_1010,1031,1_1010,1031,1_1010,
30002,3,野外BOSS-摩因简单_1,1032,2_18,1030,1_7,1031,1_1,
30003,3,野外BOSS-摩因简单_2,1002,1_1002+2_1002+2_1011,1031,1_1010,1031,1_1010,
30004,3,野外BOSS-库里蒙雷简单_1,1031,2_6+2_16,1032,2_13+2_20,1033,2_17+1_4,
30005,3,野外BOSS-库里蒙雷简单_2,1003,1_1003+2_1003+2_1012,1031,1_1010,1031,1_1010,
30006,3,野外BOSS-赤达鲁简单_1,1035,2_47+2_3,1036,2_51+2_20,1034,2_50+2_9,
30007,3,野外BOSS-赤达鲁简单_2,1036,4_10+4_2,1037,2_96+2_19,1035,1_22+2_16,
30008,3,野外BOSS-赤达鲁简单_3,1004,1_1004+2_1004+2_1013,1035,1_1010,1035,1_1010,
30009,3,野外BOSS-莫里卡特简单-1,1037,1_23+1_13+1_6,1036,2_89+2_24+2_12,1035,3_11+2_105+2_16,
30010,3,野外BOSS-莫里卡特简单-2,1034,1_51+2_36+2_8,1036,2_92+2_42+2_12,1035,1_15+1_8+1_5,
30011,3,野外BOSS-莫里卡特简单-3,1005,1_1005+2_1005+2_1014,1035,1_1010,1035,1_1010,
30012,3,野外BOSS-杜丽莎简单_1,1035,1_17+1_21+2_16,1036,2_56+2_35+2_12,1037,2_46+2_36+1_6,
30013,3,野外BOSS-杜丽莎简单_2,1036,2_89+2_24+2_12,1036,1_14+2_42+2_20,1035,3_11+2_104+2_16,
30014,3,野外BOSS-杜丽莎简单_3,1035,2_48+1_8+2_3,1036,2_52+2_25+2_12,1034,1_20+1_11+2_9,
30015,3,野外BOSS-杜丽莎简单_4,1006,1_1006+2_1006+2_1015,1035,1_1010,1035,1_1010,
30016,3,野外BOSS-克拉肯简单_1,1040,2_85+2_37+2_31,1039,1_37+1_12+1_21,1041,1_41+1_13+1_9,
30017,3,野外BOSS-克拉肯简单_2,1039,1_73+1_11+1_69,1041,1_43+2_40+2_24,1040,4_19+4_9+1_55,
30018,3,野外BOSS-克拉肯简单_3,1040,2_115+3_8+2_42,1039,2_94+2_90+2_49,1041,1_42+1_13+2_109,
30019,3,野外BOSS-克拉肯简单_4,1007,1_1007+2_1007+2_1016+1_1011,1039,1_1010,1039,1_1010,
30020,3,野外BOSS-贝塞德简单_1,1039,2_88+1_56+2_32+2_23,1040,2_70+2_112+2_40+2_44,1041,1_47+2_135+2_109+1_69,
30021,3,野外BOSS-贝塞德简单_2,1040,2_81+2_100+2_103+2_34,1039,2_94+1_64+2_22+2_49,1041,1_42+1_32+1_10+1_13,
30022,3,野外BOSS-贝塞德简单_3,1039,1_63+2_114+2_22+2_41,1040,2_113+2_138+2_24+2_25,1040,2_98+3_26+2_38+2_42,
30023,3,野外BOSS-贝塞德简单_4,1040,2_116+2_61+2_34+2_103,1039,1_39+2_58+1_8+2_22,1040,1_44+2_137+2_25+2_29,
30024,3,野外BOSS-贝塞德简单_5,1008,1_1008+2_1008+2_1017+1_1011,1039,1_1010,1039,1_1010,
30025,3,野外BOSS-卡塔简单_1,1040,3_19+4_20+4_4+1_55,1040,2_95+2_66+2_103+2_42,1038,1_67+1_64+2_107+2_23,
30026,3,野外BOSS-卡塔简单_2,1038,2_75+1_76+2_36+2_41,1039,1_39+2_58+1_8+2_22,1040,2_85+2_62+2_31+2_37,
30027,3,野外BOSS-卡塔简单_3,1040,3_18+2_64+2_26+2_33,1039,1_36+1_46+1_21+2_108,1040,2_82+2_128+2_25+2_39,
30028,3,野外BOSS-卡塔简单_4,1038,1_50+1_80+2_22+2_108,1039,1_73+1_58+2_49+2_107,1040,3_20+4_18+4_9+4_4,
30029,3,野外BOSS-卡塔简单_5,1009,1_1009+2_1009+2_1018+1_1011,1039,1_1010,1039,1_1010,
30030,3,野外BOSS-铁甲将军困难_1,1034,1_51+4_3,1036,4_10+4_1,1035,1_22+1_5,
30031,3,野外BOSS-铁甲将军困难_2,1036,1_14+2_9,1035,2_47+2_3,1036,3_10+4_2,
30032,3,野外BOSS-铁甲将军困难_3,1001,1_1001+2_1001+2_1010,1035,1_1010,1035,1_1010,
30033,3,野外BOSS-摩因困难_1,1036,2_56+2_30+2_12,1037,2_50+2_31+2_16,1035,2_47+2_49+2_3,
30034,3,野外BOSS-摩因困难_2,1035,1_17+1_21+2_3,1036,2_51+2_24+2_12,1037,2_96+2_90+1_6,
30035,3,野外BOSS-摩因困难_3,1002,1_1002+2_1002+2_1011,1035,1_1010,1035,1_1010,
30036,3,野外BOSS-库里蒙雷困难_1,1038,2_68+1_21+2_32,1039,1_37+1_8+2_106,1040,2_71+2_33+2_38,
30037,3,野外BOSS-库里蒙雷困难_2,1040,2_79+2_38+2_42,1039,2_94+2_90+2_49,1041,1_42+1_13+2_109,
30038,3,野外BOSS-库里蒙雷困难_3,1003,1_1003+2_1003+2_1012,1039,1_1010,1039,1_1010,
30039,3,野外BOSS-赤达鲁困难_1,1040,2_81+2_42+2_34,1040,1_44+2_30+2_25,1039,1_52+2_41+2_49,
30040,3,野外BOSS-赤达鲁困难_2,1039,1_37+2_32+1_12,1041,1_42+1_13+2_109,1040,2_115+3_8+2_42,
30041,3,野外BOSS-赤达鲁困难_3,1040,2_85+2_37+2_31,1039,1_37+2_105+2_23,1041,1_41+1_13+1_9,
30042,3,野外BOSS-赤达鲁困难_4,1039,1_73+1_8+1_69,1041,1_43+1_13+2_109,1040,4_19+4_9+1_55,
30043,3,野外BOSS-赤达鲁困难_5,1004,1_1004+2_1004+2_1013,1039,1_1010,1039,1_1010,
30044,3,野外BOSS-莫里卡特困难-1,1040,2_81+2_100+2_103+2_34,1039,1_52+2_141+2_49+2_23,1041,1_43+2_122+1_13+2_90,
30045,3,野外BOSS-莫里卡特困难-2,1038,1_50+1_80+2_22+2_108,1039,1_38+1_28+1_12+1_21,1040,3_19+4_16+4_4+1_55,
30046,3,野外BOSS-莫里卡特困难-3,1040,2_72+2_137+2_24+2_25,1038,1_75+1_70+1_69+1_11,1039,1_52+1_74+1_45+2_105,
30047,3,野外BOSS-莫里卡特困难-4,1039,1_73+1_58+2_49+2_107,1040,3_30+3_23+2_42+2_103,1040,2_111+2_123+2_38+2_35,
30048,3,野外BOSS-莫里卡特困难-5,1005,1_1005+2_1005+2_1014,1039,1_1010,1039,1_1010,
30049,3,野外BOSS-杜丽莎困难_1,1040,2_116+2_61+2_34+2_103,1039,1_39+2_58+1_8+2_22,1040,1_44+2_137+2_25+2_29,
30050,3,野外BOSS-杜丽莎困难_2,1039,1_26+1_46+2_21+2_104,1038,2_75+1_76+2_36+2_41,1040,2_72+3_27+2_28+2_29,
30051,3,野外BOSS-杜丽莎困难_3,1040,3_20+1_48+4_5+4_4,1039,1_38+1_28+1_12+1_21,1038,1_50+1_80+2_22+2_108,
30052,3,野外BOSS-杜丽莎困难_4,1039,2_94+1_64+2_22+2_49,1041,2_74+1_56+1_13+2_90,1040,2_81+2_102+2_34+2_103,
30053,3,野外BOSS-杜丽莎困难_5,1006,1_1006+2_1006+2_1015,1039,1_1010,1039,1_1010,
30054,3,野外BOSS-克拉肯困难_1,1039,1_37+1_46+2_58+2_107,1040,2_80+2_61+2_100+2_34,1041,1_71+1_81+1_70+1_69,
30055,3,野外BOSS-克拉肯困难_2,1040,3_29+2_61+2_100+2_34,1039,2_94+1_64+2_59+2_105,1038,1_67+1_68+2_99+2_41,
30056,3,野外BOSS-克拉肯困难_3,1039,2_84+2_134+1_64+1_8,1040,2_72+3_27+2_137+2_39,1040,2_113+2_127+2_131+2_25,
30057,3,野外BOSS-克拉肯困难_4,1040,2_81+3_26+2_102+2_34,1039,1_26+3_16+1_34+2_21,1041,1_47+1_70+1_30+2_109,
30058,3,野外BOSS-克拉肯困难_5,1039,1_73+1_77+2_134+1_8,1040,4_15+1_48+4_21+4_9,1039,2_86+1_56+1_74+1_21,
30059,3,野外BOSS-克拉肯困难_6,1040,2_71+3_27+2_142+2_26,1039,1_65+1_76+2_59+1_13,1039,1_36+1_56+1_28+1_21,
30060,3,野外BOSS-克拉肯困难_7,1007,1_1007+2_1007+2_1016+1_1011,1039,1_1010,1039,1_1010,
30061,3,野外BOSS-贝塞德困难_1,1039,1_37+1_46+2_58+2_107,1038,1_67+1_68+2_99+2_41,1040,2_67+3_34+2_100+2_34,
30062,3,野外BOSS-贝塞德困难_2,1040,2_115+3_25+2_126+2_38,1038,2_68+1_34+2_141+2_22,1040,2_95+2_139+2_130+2_44,
30063,3,野外BOSS-贝塞德困难_3,1038,2_93+2_83+1_25+2_36,1040,3_18+2_64+2_65+2_37,1039,1_26+3_16+2_58+2_21,
30064,3,野外BOSS-贝塞德困难_4,1040,2_69+2_126+2_87+2_38,1039,2_88+2_99+1_34+1_19,1041,1_71+1_72+1_70+1_11,
30065,3,野外BOSS-贝塞德困难_5,1039,1_52+1_33+2_58+1_21,1040,2_77+3_27+2_65+2_33,1040,2_76+3_23+2_144+2_35,
30066,3,野外BOSS-贝塞德困难_6,1041,1_47+2_135+2_109+1_69,1040,2_77+3_25+2_38+2_42,1041,1_41+1_31+1_13+2_44,
30067,3,野外BOSS-贝塞德困难_7,1008,1_1008+2_1008+2_1017+1_1011,1039,1_1010,1039,1_1010,
30068,3,野外BOSS-卡塔困难_1,1040,2_70+2_66+2_139+2_129,1039,2_86+1_56+1_28+2_140,1040,2_69+2_64+2_65+2_112,
30069,3,野外BOSS-卡塔困难_2,1039,1_37+1_28+1_56+2_141,1040,2_111+2_123+2_126+2_129,1041,1_41+1_31+1_33+1_35,
30070,3,野外BOSS-卡塔困难_3,1040,3_18+2_61+2_65+2_64,1039,1_73+1_64+1_83+1_59,1041,1_71+1_72+1_70+1_81,
30071,3,野外BOSS-卡塔困难_4,1038,1_50+1_64+1_80+3_17,1041,1_43+1_33+1_35+1_32,1040,3_19+3_36+4_13+4_12,
30072,3,野外BOSS-卡塔困难_5,1040,4_14+3_33+4_16+4_12,1039,1_73+1_64+2_58+2_140,1041,1_43+1_33+1_35+1_32,
30073,3,野外BOSS-卡塔困难_6,1039,2_94+1_28+1_74+1_46,1040,2_115+3_25+2_126+2_66,1041,1_42+1_32+2_114+1_31,
30074,3,野外BOSS-卡塔困难_7,1009,1_1009+2_1009+2_1018+1_1011,1039,1_1010,1039,1_1010,
30101,3,{神魔试炼}({光明})-I,3001,1_1029+2_1022+2_1023+1_1011,1041,1_43+1_33+1_35+1_32,1040,2_67+3_34+2_100+2_102,Divine Demon Trial(Light)-I
30102,3,{神魔试炼}({光明})-II,3003,1_1031+2_1024+2_1025+1_1011,1039,1_36+1_83+2_58+2_140,1040,2_70+2_112+2_128+2_133,Divine Demon Trial(Light)-II
