HeroIcon,SkinId,posx,posy,size,EffectPos1,EffectPos2,EnjoyPos,OnClick
112,0,-135,-192,1,0_-350,-49_-337,0,en10
113,0,-76,-63,1,119_-210,74_-242,0,a2
113,1,0,0,1,119_-210,74_-242,0,a2
114,0,-64,-260,1,42_-400,39_-395,0,damei2
114,1,9,-22,1,42_-300,3_-305,0,heng5
115,0,9,-50,1,180_-150,151_-226,0,heng8
116,0,-80,60,1,28_-127,-5_-156,0,en10
117,0,-197,73,0.85,-53_-66,-60_-116,0,ahehe3
117,1,0,0,0.9,-101_-112,0_0,0,ahehe3
118,0,-80,-95,0.85,80_-252,48_-276,0,ahehe2
119,0,-107,-139,0.8,0_-303,15_-295,0,en2
119,1,50,0,0.95,74_-209,0_0,0,en2
120,0,-119,-172,0.7,-63_-341,-62_-347,0,e6
121,0,-150,-130,0.9,-63_-341,-51_-331,0,e7
121,1,0,0,1,-63_-341,-51_-331,0,e7
122,0,-70,-230,0.85,76_-433,42_-400,0,ahehe2
1001,0,-22,-41,0.8,200_-180,0_0,0,0
1002,0,-85,-11,0.8,100_-150,0_0,0,0
1003,0,-27,-73,0.8,150_-200,0_0,0,0
1004,0,-27,-73,0.8,150_-200,0_0,0,0
1005,0,-52,-26,1,80_-100,0_0,0,0
1006,0,-80,-18,0.8,70_-100,0_0,0,0
1007,0,-91,-23,0.95,50_-20,0_0,0,0
1008,0,-164,-5,0.85,50_-140,0_0,0,0
1009,0,-164,11,0.85,50_-150,0_0,0,0
1010,0,-164,-77,1,40_-250,0_0,0,0
2000,0,-112,20,0.8,80_-200_1.2,0_0,0,0
2001,0,-113,-24,1,40_-170,0_0,0,0
2002,0,-140,-24,1,30_-170,0_0,0,0
2003,0,-176,-24,1,20_-170,0_0,0,0
2004,0,-140,-24,1,30_-180,0_0,0,0
